wbe;jahr;11_motorisierungsgrad
162;2015;247
011;2009;373
011;2010;341
011;2011;347
011;2012;357
011;2013;354
011;2014;376
011;2015;378
012;2009;237
012;2010;210
012;2011;231
012;2012;255
012;2013;226
012;2014;223
012;2015;225
013;2009;231
013;2010;226
013;2011;230
013;2012;240
013;2013;236
013;2014;217
013;2015;208
014;2009;233
014;2010;239
014;2011;243
014;2012;235
014;2013;238
014;2014;232
014;2015;237
021;2009;238
021;2010;218
021;2011;212
021;2012;218
021;2013;216
021;2014;209
021;2015;216
022;2009;201
022;2010;196
022;2011;211
022;2012;212
022;2013;206
022;2014;205
022;2015;200
023;2009;168
023;2010;154
023;2011;159
023;2012;161
023;2013;151
023;2014;152
023;2015;164
024;2009;202
024;2010;184
024;2011;196
024;2012;184
024;2013;175
024;2014;170
024;2015;192
025;2009;312
025;2010;301
025;2011;319
025;2012;309
025;2013;301
025;2014;324
025;2015;334
026;2009;374
026;2010;322
026;2011;365
026;2012;340
026;2013;352
026;2014;379
026;2015;347
031;2009;198
031;2010;187
031;2011;188
031;2012;192
031;2013;184
031;2014;177
031;2015;185
032;2009;244
032;2010;244
032;2011;243
032;2012;246
032;2013;240
032;2014;241
032;2015;247
033;2009;242
033;2010;231
033;2011;235
033;2012;229
033;2013;228
033;2014;220
033;2015;226
034;2009;180
034;2010;187
034;2011;188
034;2012;206
034;2013;215
034;2014;187
034;2015;215
041;2009;263
041;2010;255
041;2011;261
041;2012;264
041;2013;263
041;2014;255
041;2015;264
042;2009;267
042;2010;266
042;2011;272
042;2012;270
042;2013;268
042;2014;260
042;2015;275
051;2009;143
051;2010;195
051;2011;184
051;2012;178
051;2013;163
051;2014;143
051;2015;175
052;2009;282
052;2010;269
052;2011;283
052;2012;275
052;2013;270
052;2014;263
052;2015;280
053;2009;317
053;2010;310
053;2011;313
053;2012;312
053;2013;307
053;2014;304
053;2015;311
054;2009;315
054;2010;311
054;2011;318
054;2012;328
054;2013;318
054;2014;309
054;2015;302
055;2009;291
055;2010;267
055;2011;274
055;2012;282
055;2013;268
055;2014;234
055;2015;235
061;2009;218
061;2010;210
061;2011;216
061;2012;220
061;2013;209
061;2014;207
061;2015;210
062;2009;201
062;2010;199
062;2011;202
062;2012;199
062;2013;193
062;2014;183
062;2015;192
063;2009;209
063;2010;203
063;2011;214
063;2012;209
063;2013;205
063;2014;184
063;2015;193
071;2009;316
071;2010;308
071;2011;313
071;2012;315
071;2013;310
071;2014;304
071;2015;312
072;2009;345
072;2010;335
072;2011;334
072;2012;341
072;2013;343
072;2014;331
072;2015;347
073;2009;383
073;2010;362
073;2011;401
073;2012;377
073;2013;358
073;2014;390
073;2015;411
081;2009;284
081;2010;269
081;2011;273
081;2012;273
081;2013;276
081;2014;273
081;2015;267
082;2009;324
082;2010;326
082;2011;315
082;2012;328
082;2013;319
082;2014;313
082;2015;317
083;2009;242
083;2010;241
083;2011;245
083;2012;243
083;2013;232
083;2014;242
083;2015;246
084;2009;275
084;2010;267
084;2011;279
084;2012;270
084;2013;264
084;2014;254
084;2015;253
085;2009;294
085;2010;290
085;2011;295
085;2012;293
085;2013;290
085;2014;277
085;2015;275
091;2009;217
091;2010;202
091;2011;211
091;2012;209
091;2013;211
091;2014;203
091;2015;209
092;2009;271
092;2010;264
092;2011;262
092;2012;261
092;2013;261
092;2014;257
092;2015;255
101;2009;214
101;2010;212
101;2011;218
101;2012;218
101;2013;214
101;2014;205
101;2015;208
102;2009;239
102;2010;220
102;2011;220
102;2012;212
102;2013;214
102;2014;210
102;2015;215
103;2009;252
103;2010;243
103;2011;242
103;2012;244
103;2013;233
103;2014;231
103;2015;234
111;2009;196
111;2010;196
111;2011;198
111;2012;196
111;2013;191
111;2014;185
111;2015;191
112;2009;216
112;2010;209
112;2011;210
112;2012;213
112;2013;212
112;2014;198
112;2015;212
113;2009;186
113;2010;178
113;2011;178
113;2012;181
113;2013;177
113;2014;179
113;2015;188
114;2009;173
114;2010;200
114;2011;198
114;2012;199
114;2013;188
114;2014;181
114;2015;201
115;2009;252
115;2010;248
115;2011;255
115;2012;253
115;2013;245
115;2014;238
115;2015;242
121;2009;178
121;2010;174
121;2011;178
121;2012;170
121;2013;171
121;2014;166
121;2015;168
122;2009;223
122;2010;202
122;2011;209
122;2012;207
122;2013;186
122;2014;157
122;2015;164
131;2009;415
131;2010;522
131;2011;436
131;2012;446
131;2013;404
131;2014;542
131;2015;441
132;2009;201
132;2010;198
132;2011;184
132;2012;188
132;2013;186
132;2014;175
132;2015;184
141;2009;244
141;2010;236
141;2011;235
141;2012;240
141;2013;245
141;2014;230
141;2015;240
142;2009;276
142;2010;278
142;2011;281
142;2012;287
142;2013;291
142;2014;270
142;2015;281
151;2009;275
151;2010;282
151;2011;271
151;2012;265
151;2013;271
151;2014;269
151;2015;273
152;2009;291
152;2010;296
152;2011;289
152;2012;288
152;2013;293
152;2014;284
152;2015;287
153;2009;302
153;2010;295
153;2011;305
153;2012;305
153;2013;298
153;2014;296
153;2015;303
161;2009;194
161;2010;187
161;2011;190
161;2012;199
161;2013;189
161;2014;182
161;2015;191
162;2009;244
162;2010;245
162;2011;219
162;2012;234
162;2013;235
162;2014;352
171;2009;212
171;2010;212
171;2011;220
171;2012;219
171;2013;221
171;2014;203
171;2015;215
172;2009;188
172;2010;173
172;2011;181
172;2012;180
172;2013;177
172;2014;166
172;2015;169
173;2009;175
173;2010;150
173;2011;160
173;2012;161
173;2013;166
173;2014;164
173;2015;163
174;2009;172
174;2010;165
174;2011;165
174;2012;169
174;2013;164
174;2014;161
174;2015;167
180;2009;237
180;2010;235
180;2011;237
180;2012;236
180;2013;235
180;2014;227
180;2015;226
190;2009;264
190;2010;254
190;2011;268
190;2012;255
190;2013;253
190;2014;245
190;2015;270
201;2009;306
201;2010;300
201;2011;306
201;2012;298
201;2013;319
201;2014;309
201;2015;309
202;2009;346
202;2010;337
202;2011;337
202;2012;344
202;2013;343
202;2014;340
202;2015;344
203;2009;482
203;2010;451
203;2011;450
203;2012;439
203;2013;443
203;2014;451
203;2015;453
204;2009;438
204;2010;430
204;2011;418
204;2012;437
204;2013;426
204;2014;421
204;2015;443
205;2009;517
205;2010;498
205;2011;508
205;2012;519
205;2013;510
205;2014;522
205;2015;520
206;2009;391
206;2010;385
206;2011;385
206;2012;383
206;2013;376
206;2014;375
206;2015;385
207;2009;312
207;2010;309
207;2011;314
207;2012;318
207;2013;318
207;2014;316
207;2015;321
208;2009;391
208;2010;383
208;2011;386
208;2012;391
208;2013;396
208;2014;385
208;2015;381
301;2009;462
301;2010;466
301;2011;477
301;2012;469
301;2013;485
301;2014;471
301;2015;484
302;2009;139
302;2010;138
302;2011;132
302;2012;148
302;2013;135
302;2014;138
302;2015;168
