wbe;jahr;alter20
011;2000;223
011;2001;217
011;2002;211
011;2003;209
011;2004;211
011;2005;221
011;2006;218
011;2007;222
011;2008;201
011;2009;187
011;2010;163
011;2011;154
011;2012;156
011;2013;163
011;2014;171
011;2015;161
012;2000;306
012;2001;299
012;2002;289
012;2003;294
012;2004;283
012;2005;291
012;2006;277
012;2007;289
012;2008;283
012;2009;291
012;2010;302
012;2011;292
012;2012;291
012;2013;291
012;2014;283
012;2015;299
013;2000;428
013;2001;436
013;2002;433
013;2003;417
013;2004;417
013;2005;405
013;2006;404
013;2007;411
013;2008;413
013;2009;401
013;2010;387
013;2011;401
013;2012;401
013;2013;412
013;2014;424
013;2015;415
014;2000;660
014;2001;645
014;2002;650
014;2003;656
014;2004;643
014;2005;643
014;2006;613
014;2007;596
014;2008;594
014;2009;546
014;2010;550
014;2011;556
014;2012;587
014;2013;581
014;2014;566
014;2015;576
021;2000;1018
021;2001;1003
021;2002;1018
021;2003;991
021;2004;978
021;2005;961
021;2006;932
021;2007;912
021;2008;941
021;2009;950
021;2010;905
021;2011;925
021;2012;966
021;2013;1001
021;2014;998
021;2015;979
022;2000;340
022;2001;344
022;2002;339
022;2003;329
022;2004;334
022;2005;360
022;2006;365
022;2007;363
022;2008;382
022;2009;381
022;2010;383
022;2011;372
022;2012;363
022;2013;374
022;2014;367
022;2015;398
023;2000;539
023;2001;550
023;2002;554
023;2003;564
023;2004;551
023;2005;542
023;2006;574
023;2007;572
023;2008;581
023;2009;573
023;2010;578
023;2011;557
023;2012;559
023;2013;558
023;2014;575
023;2015;561
024;2000;393
024;2001;392
024;2002;394
024;2003;390
024;2004;386
024;2005;388
024;2006;387
024;2007;385
024;2008;403
024;2009;433
024;2010;443
024;2011;424
024;2012;418
024;2013;455
024;2014;436
024;2015;447
025;2000;657
025;2001;656
025;2002;649
025;2003;629
025;2004;621
025;2005;607
025;2006;627
025;2007;602
025;2008;626
025;2009;643
025;2010;637
025;2011;614
025;2012;603
025;2013;626
025;2014;675
025;2015;686
026;2000;158
026;2001;161
026;2002;170
026;2003;166
026;2004;169
026;2005;173
026;2006;175
026;2007;182
026;2008;155
026;2009;149
026;2010;152
026;2011;145
026;2012;141
026;2013;139
026;2014;146
026;2015;133
031;2000;2140
031;2001;2100
031;2002;2104
031;2003;2146
031;2004;2138
031;2005;2085
031;2006;2057
031;2007;2053
031;2008;2069
031;2009;2073
031;2010;2062
031;2011;2075
031;2012;2051
031;2013;2149
031;2014;2153
031;2015;2137
032;2000;2218
032;2001;2199
032;2002;2232
032;2003;2218
032;2004;2291
032;2005;2294
032;2006;2280
032;2007;2271
032;2008;2280
032;2009;2256
032;2010;2189
032;2011;2240
032;2012;2234
032;2013;2233
032;2014;2238
032;2015;2287
033;2000;2254
033;2001;2188
033;2002;2160
033;2003;2168
033;2004;2192
033;2005;2199
033;2006;2135
033;2007;2136
033;2008;2147
033;2009;2165
033;2010;2214
033;2011;2253
033;2012;2270
033;2013;2279
033;2014;2208
033;2015;2210
034;2000;156
034;2001;140
034;2002;146
034;2003;144
034;2004;159
034;2005;178
034;2006;186
034;2007;172
034;2008;166
034;2009;170
034;2010;145
034;2011;132
034;2012;164
034;2013;188
034;2014;175
034;2015;161
041;2000;2660
041;2001;2685
041;2002;2591
041;2003;2635
041;2004;2600
041;2005;2593
041;2006;2592
041;2007;2631
041;2008;2630
041;2009;2602
041;2010;2634
041;2011;2686
041;2012;2732
041;2013;2813
041;2014;2808
041;2015;2831
042;2000;2639
042;2001;2580
042;2002;2500
042;2003;2489
042;2004;2523
042;2005;2546
042;2006;2612
042;2007;2598
042;2008;2610
042;2009;2607
042;2010;2641
042;2011;2661
042;2012;2721
042;2013;2769
042;2014;2849
042;2015;2849
051;2000;54
051;2001;67
051;2002;60
051;2003;48
051;2004;47
051;2005;47
051;2006;62
051;2007;68
051;2008;63
051;2009;56
051;2010;38
051;2011;36
051;2012;40
051;2013;44
051;2014;46
051;2015;47
052;2000;575
052;2001;570
052;2002;576
052;2003;572
052;2004;582
052;2005;579
052;2006;597
052;2007;586
052;2008;640
052;2009;649
052;2010;642
052;2011;642
052;2012;647
052;2013;662
052;2014;679
052;2015;650
053;2000;3395
053;2001;3391
053;2002;3422
053;2003;3357
053;2004;3416
053;2005;3427
053;2006;3484
053;2007;3483
053;2008;3540
053;2009;3560
053;2010;3579
053;2011;3607
053;2012;3663
053;2013;3751
053;2014;3695
053;2015;3704
054;2000;1049
054;2001;1014
054;2002;1038
054;2003;1003
054;2004;1067
054;2005;1084
054;2006;1082
054;2007;1118
054;2008;1141
054;2009;1125
054;2010;1158
054;2011;1172
054;2012;1182
054;2013;1179
054;2014;1200
054;2015;1226
055;2000;448
055;2001;446
055;2002;460
055;2003;458
055;2004;441
055;2005;436
055;2006;399
055;2007;400
055;2008;449
055;2009;497
055;2010;500
055;2011;514
055;2012;509
055;2013;514
055;2014;539
055;2015;534
061;2000;4069
061;2001;4027
061;2002;4048
061;2003;4074
061;2004;4020
061;2005;3978
061;2006;4063
061;2007;4023
061;2008;4065
061;2009;4131
061;2010;4128
061;2011;4140
061;2012;4108
061;2013;4173
061;2014;4197
061;2015;4239
062;2000;4947
062;2001;4878
062;2002;4852
062;2003;4969
062;2004;5056
062;2005;5116
062;2006;5106
062;2007;5150
062;2008;5260
062;2009;5227
062;2010;5122
062;2011;5211
062;2012;5269
062;2013;5289
062;2014;5293
062;2015;5209
063;2000;3518
063;2001;3592
063;2002;3606
063;2003;3605
063;2004;3640
063;2005;3563
063;2006;3623
063;2007;3729
063;2008;3763
063;2009;3780
063;2010;3760
063;2011;3760
063;2012;3809
063;2013;3831
063;2014;3845
063;2015;3825
071;2000;2954
071;2001;2920
071;2002;2869
071;2003;2861
071;2004;2857
