wbe;jahr;ant_geschieden
011;2000;8.0
011;2001;8.6
011;2002;8.5
011;2003;7.4
011;2004;7.0
011;2005;8.3
011;2006;7.8
011;2007;6.5
011;2008;7.2
011;2009;6.5
011;2010;6.1
011;2011;6.9
011;2012;9.2
011;2013;8.8
011;2014;8.8
011;2015;10.7
012;2000;8.6
012;2001;9.2
012;2002;11.5
012;2003;10.2
012;2004;10.1
012;2005;9.4
012;2006;10.5
012;2007;10.0
012;2008;10.4
012;2009;10.5
012;2010;10.5
012;2011;10.2
012;2012;9.3
012;2013;9.9
012;2014;9.3
012;2015;10.4
013;2000;8.8
013;2001;10.6
013;2002;9.2
013;2003;9.5
013;2004;9.5
013;2005;8.5
013;2006;8.7
013;2007;8.3
013;2008;9.1
013;2009;9.1
013;2010;10.5
013;2011;10.0
013;2012;10.9
013;2013;10.8
013;2014;10.8
013;2015;11.9
014;2000;11.5
014;2001;11.0
014;2002;10.2
014;2003;10.4
014;2004;10.9
014;2005;10.9
014;2006;11.9
014;2007;12.1
014;2008;11.1
014;2009;10.7
014;2010;11.7
014;2011;12.3
014;2012;11.0
014;2013;11.2
014;2014;11.0
014;2015;11.2
021;2000;9.2
021;2001;10.0
021;2002;9.2
021;2003;8.9
021;2004;8.6
021;2005;8.9
021;2006;9.4
021;2007;9.6
021;2008;9.5
021;2009;9.0
021;2010;10.1
021;2011;10.0
021;2012;9.8
021;2013;9.9
021;2014;9.4
021;2015;9.5
022;2000;12.3
022;2001;13.1
022;2002;11.4
022;2003;11.5
022;2004;12.2
022;2005;10.9
022;2006;11.1
022;2007;11.2
022;2008;10.9
022;2009;11.4
022;2010;11.7
022;2011;12.6
022;2012;11.6
022;2013;11.7
022;2014;11.0
022;2015;9.7
023;2000;13.4
023;2001;13.2
023;2002;13.1
023;2003;12.6
023;2004;12.6
023;2005;12.7
023;2006;12.9
023;2007;14.1
023;2008;14.3
023;2009;14.4
023;2010;13.9
023;2011;15.0
023;2012;14.3
023;2013;13.8
