wbe;jahr;ant_ledig
011;2000;38.2
011;2001;36.3
011;2002;35.8
011;2003;38.2
011;2004;37.8
011;2005;38.3
011;2006;35.8
011;2007;40.4
011;2008;39.5
011;2009;40.6
011;2010;39.8
011;2011;41.8
011;2012;38.5
011;2013;38.5
011;2014;37.7
011;2015;36.4
012;2000;49.9
012;2001;50.3
012;2002;48.5
012;2003;48.4
012;2004;48.5
012;2005;52.2
012;2006;51.6
012;2007;52.8
012;2008;50.4
012;2009;50.3
012;2010;51.3
012;2011;51.9
012;2012;52.5
012;2013;47.9
012;2014;46.3
012;2015;46.7
013;2000;49.4
013;2001;48.8
013;2002;49.6
013;2003;49.5
013;2004;51.7
013;2005;52.7
013;2006;52.5
013;2007;51.6
013;2008;52.2
013;2009;52.0
013;2010;51.3
013;2011;49.9
013;2012;50.4
013;2013;51.0
013;2014;50.3
013;2015;52.0
014;2000;48.7
014;2001;48.4
014;2002;48.3
014;2003;50.2
014;2004;48.9
014;2005;49.8
014;2006;49.4
014;2007;50.1
014;2008;51.3
014;2009;51.8
014;2010;49.5
014;2011;49.6
014;2012;49.7
014;2013;49.3
014;2014;50.8
014;2015;49.9
021;2000;48.3
021;2001;48.0
021;2002;50.5
021;2003;51.0
021;2004;50.9
021;2005;50.9
021;2006;51.6
021;2007;51.5
021;2008;52.8
021;2009;53.9
021;2010;53.9
021;2011;52.5
021;2012;52.4
021;2013;53.8
021;2014;53.6
021;2015;54.2
022;2000;48.2
022;2001;47.1
022;2002;49.2
022;2003;49.6
022;2004;51.3
022;2005;52.0
022;2006;52.1
022;2007;51.5
022;2008;50.5
022;2009;52.1
022;2010;54.1
022;2011;52.6
022;2012;54.2
022;2013;56.7
022;2014;57.2
022;2015;57.2
023;2000;50.1
023;2001;48.8
023;2002;49.1
023;2003;50.9
023;2004;49.5
023;2005;49.8
023;2006;50.5
023;2007;51.1
023;2008;52.2
023;2009;52.0
023;2010;54.5
023;2011;53.2
023;2012;53.7
023;2013;56.5
023;2014;55.4
023;2015;55.3
024;2000;41.8
024;2001;42.8
024;2002;44.0
024;2003;43.6
024;2004;44.9
024;2005;44.7
024;2006;45.0
024;2007;45.2
024;2008;48.2
024;2009;48.8
024;2010;50.7
024;2011;49.1
024;2012;49.9
024;2013;48.5
024;2014;50.1
024;2015;49.7
025;2000;33.2
025;2001;33.5
025;2002;32.6
025;2003;33.9
025;2004;35.3
025;2005;35.8
025;2006;36.1
025;2007;35.1
025;2008;34.1
025;2009;35.7
025;2010;35.7
025;2011;37.3
025;2012;37.2
025;2013;37.7
025;2014;38.2
025;2015;38.0
026;2000;39.6
026;2001;42.2
026;2002;41.9
026;2003;42.5
026;2004;41.9
026;2005;41.5
026;2006;43.1
026;2007;45.2
026;2008;42.8
026;2009;42.1
026;2010;41.8
026;2011;42.6
026;2012;42.0
026;2013;43.2
026;2014;43.3
026;2015;37.4
031;2000;51.4
031;2001;52.0
031;2002;52.3
031;2003;52.6
031;2004;51.9
031;2005;52.2
031;2006;53.4
031;2007;54.4
031;2008;54.2
031;2009;53.9
031;2010;54.2
031;2011;52.8
031;2012;53.4
031;2013;54.9
031;2014;56.1
031;2015;56.0
032;2000;45.7
032;2001;45.8
032;2002;45.7
032;2003;46.2
032;2004;46.8
032;2005;46.8
032;2006;46.9
032;2007;47.2
032;2008;46.9
032;2009;46.5
032;2010;46.4
032;2011;46.6
032;2012;47.1
032;2013;47.1
032;2014;48.1
032;2015;49.0
033;2000;46.4
033;2001;45.2
033;2002;44.8
033;2003;45.0
033;2004;45.3
033;2005;45.8
033;2006;46.4
033;2007;46.6
033;2008;47.2
033;2009;46.9
033;2010;47.3
033;2011;48.1
033;2012;47.8
033;2013;48.5
033;2014;49.1
033;2015;49.3
034;2000;51.1
034;2001;48.6
034;2002;47.8
034;2003;47.1
034;2004;48.0
034;2005;47.0
034;2006;48.0
034;2007;45.2
034;2008;49.5
034;2009;51.4
034;2010;52.1
034;2011;54.8
034;2012;54.9
034;2013;55.9
034;2014;52.3
034;2015;54.1
041;2000;43.5
041;2001;43.7
041;2002;43.3
041;2003;43.9
041;2004;44.4
041;2005;44.7
041;2006;44.7
041;2007;45.6
041;2008;46.5
041;2009;46.5
041;2010;46.5
041;2011;47.0
041;2012;47.4
041;2013;47.8
041;2014;47.1
041;2015;47.7
042;2000;35.4
042;2001;35.4
042;2002;35.4
042;2003;35.3
042;2004;36.5
042;2005;36.5
042;2006;37.9
042;2007;38.8
042;2008;39.3
042;2009;40.1
042;2010;40.4
042;2011;41.1
042;2012;42.2
042;2013;43.2
042;2014;44.2
042;2015;44.1
051;2000;41.3
051;2001;44.7
051;2002;47.1
051;2003;45.6
051;2004;42.4
051;2005;45.6
051;2006;43.1
051;2007;56.3
051;2008;53.5
051;2009;58.7
051;2010;65.9
051;2011;54.8
051;2012;56.5
051;2013;56.9
051;2014;54.4
051;2015;57.9
052;2000;36.3
052;2001;35.7
052;2002;36.3
052;2003;36.3
052;2004;38.0
052;2005;39.1
052;2006;40.5
052;2007;40.7
052;2008;41.0
052;2009;41.6
052;2010;43.0
052;2011;44.3
052;2012;45.1
052;2013;46.4
052;2014;47.7
052;2015;47.7
053;2000;37.5
053;2001;37.9
053;2002;38.5
053;2003;39.1
053;2004;39.8
053;2005;40.0
053;2006;40.5
053;2007;40.7
053;2008;41.7
053;2009;42.0
053;2010;42.8
053;2011;42.7
053;2012;43.7
053;2013;44.0
053;2014;44.2
053;2015;44.3
054;2000;32.1
054;2001;31.3
054;2002;31.1
054;2003;31.6
054;2004;32.0
054;2005;32.6
054;2006;33.5
054;2007;34.4
054;2008;34.3
054;2009;34.6
054;2010;36.1
054;2011;36.1
054;2012;36.2
054;2013;36.0
054;2014;37.0
054;2015;38.2
055;2000;31.0
055;2001;32.3
055;2002;32.5
055;2003;32.2
055;2004;32.3
055;2005;32.8
055;2006;31.0
055;2007;33.4
055;2008;34.6
055;2009;35.3
055;2010;35.6
055;2011;36.5
055;2012;37.0
055;2013;37.7
055;2014;37.3
055;2015;35.3
061;2000;47.0
061;2001;47.0
061;2002;47.6
061;2003;48.5
061;2004;48.3
061;2005;48.6
061;2006;49.3
061;2007;49.2
061;2008;50.4
061;2009;51.0
061;2010;50.6
061;2011;51.4
061;2012;52.1
061;2013;52.1
