wbe;jahr;ant_verheiratet
011;2000;48.3
011;2001;50.0
011;2002;50.7
011;2003;50.2
011;2004;50.7
011;2005;48.8
011;2006;51.2
011;2007;48.5
011;2008;48.1
011;2009;46.4
011;2010;46.6
011;2011;44.1
011;2012;45.8
011;2013;46.2
011;2014;47.5
011;2015;46.3
012;2000;37.2
012;2001;37.0
012;2002;36.2
012;2003;38.0
012;2004;37.6
012;2005;34.6
012;2006;33.5
012;2007;33.0
012;2008;35.2
012;2009;35.9
012;2010;35.1
012;2011;34.0
012;2012;34.3
012;2013;38.3
012;2014;40.9
012;2015;39.5
013;2000;38.1
013;2001;36.8
013;2002;37.4
013;2003;37.0
013;2004;35.0
013;2005;34.8
013;2006;34.8
013;2007;36.1
013;2008;35.1
013;2009;35.2
013;2010;34.8
013;2011;36.5
013;2012;35.6
013;2013;35.2
013;2014;35.9
013;2015;32.7
014;2000;33.0
014;2001;33.8
014;2002;34.9
014;2003;33.3
014;2004;34.2
014;2005;33.2
014;2006;32.7
014;2007;31.7
014;2008;31.6
014;2009;31.4
014;2010;31.9
014;2011;32.2
014;2012;33.5
014;2013;33.1
014;2014;31.3
014;2015;32.2
021;2000;35.3
021;2001;35.4
021;2002;34.2
021;2003;34.6
021;2004;34.6
021;2005;34.3
021;2006;32.6
021;2007;32.7
021;2008;31.6
021;2009;31.6
021;2010;30.3
021;2011;32.0
021;2012;32.4
021;2013;31.0
021;2014;32.2
021;2015;31.5
022;2000;33.3
022;2001;33.2
022;2002;33.1
022;2003;32.6
022;2004;30.7
022;2005;31.7
022;2006;31.9
022;2007;31.3
022;2008;33.1
022;2009;30.9
022;2010;29.8
022;2011;30.9
022;2012;30.5
022;2013;27.4
022;2014;27.8
022;2015;29.7
023;2000;28.4
023;2001;30.1
023;2002;30.0
023;2003;28.8
023;2004;30.2
023;2005;29.4
023;2006;29.5
023;2007;27.7
023;2008;26.4
023;2009;26.2
023;2010;23.7
023;2011;23.6
023;2012;24.4
023;2013;21.9
023;2014;24.5
023;2015;25.2
024;2000;34.5
024;2001;33.2
024;2002;32.7
024;2003;33.1
024;2004;33.1
024;2005;33.6
024;2006;33.2
024;2007;31.5
024;2008;29.6
024;2009;30.1
024;2010;29.6
024;2011;30.6
024;2012;29.0
024;2013;31.6
024;2014;30.9
024;2015;30.5
025;2000;46.1
025;2001;46.1
025;2002;46.0
025;2003;45.7
025;2004;45.0
025;2005;44.3
025;2006;43.3
025;2007;43.6
025;2008;44.5
025;2009;45.1
025;2010;44.4
025;2011;42.6
025;2012;41.3
025;2013;41.2
025;2014;40.8
025;2015;42.4
026;2000;44.1
026;2001;41.3
026;2002;44.1
026;2003;42.5
026;2004;44.2
026;2005;45.2
026;2006;44.0
026;2007;40.4
026;2008;40.3
026;2009;40.5
026;2010;41.3
026;2011;41.1
026;2012;41.5
026;2013;41.7
026;2014;39.8
026;2015;45.1
031;2000;32.4
031;2001;32.0
031;2002;32.6
031;2003;32.0
031;2004;32.4
031;2005;31.6
031;2006;29.8
031;2007;28.4
031;2008;28.6
031;2009;28.5
031;2010;28.1
031;2011;28.6
031;2012;28.0
031;2013;27.3
031;2014;27.0
031;2015;26.9
032;2000;36.7
032;2001;36.5
032;2002;37.2
032;2003;37.2
032;2004;36.2
032;2005;36.2
032;2006;36.3
032;2007;35.7
032;2008;36.1
032;2009;36.2
032;2010;35.9
032;2011;35.7
032;2012;35.7
032;2013;35.7
032;2014;36.0
032;2015;35.3
033;2000;37.1
033;2001;37.1
033;2002;37.0
033;2003;36.6
033;2004;36.5
033;2005;36.0
033;2006;34.8
033;2007;34.3
033;2008;33.3
033;2009;34.0
033;2010;34.2
033;2011;33.8
033;2012;34.5
033;2013;34.4
033;2014;33.8
033;2015;34.1
034;2000;31.6
034;2001;31.3
034;2002;32.3
034;2003;36.4
034;2004;32.8
034;2005;34.6
034;2006;32.2
034;2007;33.8
034;2008;31.6
034;2009;31.2
034;2010;28.9
034;2011;26.0
034;2012;27.9
034;2013;29.6
034;2014;33.6
034;2015;29.3
041;2000;40.7
041;2001;40.4
041;2002;40.2
041;2003;40.1
041;2004;39.5
041;2005;38.7
041;2006;38.1
041;2007;37.5
041;2008;36.8
041;2009;37.2
041;2010;36.7
041;2011;35.6
041;2012;35.9
041;2013;35.5
041;2014;36.2
041;2015;35.7
042;2000;45.5
042;2001;44.8
042;2002;44.4
042;2003;44.7
042;2004;43.7
042;2005;43.4
042;2006;42.5
042;2007;41.2
042;2008;40.5
042;2009;40.4
042;2010;40.0
042;2011;39.5
042;2012;38.6
042;2013;37.7
042;2014;36.8
042;2015;36.3
051;2000;50.8
051;2001;46.1
051;2002;41.4
051;2003;40.4
051;2004;40.7
051;2005;40.4
051;2006;43.1
051;2007;32.5
051;2008;32.4
051;2009;28.6
051;2010;14.6
051;2011;26.2
051;2012;19.6
051;2013;15.7
051;2014;21.1
051;2015;15.8
052;2000;44.9
052;2001;45.2
052;2002;44.9
052;2003;44.5
052;2004;43.6
052;2005;42.7
052;2006;42.5
052;2007;41.7
052;2008;41.8
052;2009;41.7
052;2010;40.0
052;2011;38.6
052;2012;39.1
052;2013;37.9
052;2014;37.2
052;2015;37.2
053;2000;45.6
053;2001;45.3
