wbe;jahr;ant_verwitwet
011;2000;5.2
011;2001;4.8
011;2002;5.0
011;2003;4.2
011;2004;4.5
011;2005;4.6
011;2006;5.1
011;2007;4.6
011;2008;5.2
011;2009;6.5
011;2010;7.6
011;2011;7.3
011;2012;6.5
011;2013;6.6
011;2014;6.0
011;2015;6.6
012;2000;4.3
012;2001;3.6
012;2002;3.8
012;2003;3.4
012;2004;3.7
012;2005;3.7
012;2006;4.3
012;2007;4.2
012;2008;4.0
012;2009;3.4
012;2010;3.1
012;2011;3.8
012;2012;3.8
012;2013;4.0
012;2014;3.6
012;2015;3.5
013;2000;3.7
013;2001;3.8
013;2002;3.8
013;2003;4.0
013;2004;3.8
013;2005;4.0
013;2006;4.0
013;2007;4.0
013;2008;3.4
013;2009;3.5
013;2010;3.2
013;2011;3.0
013;2012;2.7
013;2013;2.5
013;2014;2.3
013;2015;2.5
014;2000;6.8
014;2001;6.7
014;2002;6.6
014;2003;6.1
014;2004;6.0
014;2005;6.1
014;2006;6.0
014;2007;5.8
014;2008;5.5
014;2009;5.7
014;2010;6.2
014;2011;5.5
014;2012;5.3
014;2013;5.1
014;2014;5.6
014;2015;5.2
021;2000;7.3
021;2001;6.6
021;2002;6.1
021;2003;5.5
021;2004;5.9
021;2005;5.9
021;2006;6.4
021;2007;6.2
021;2008;6.1
021;2009;5.4
021;2010;5.7
021;2011;5.2
021;2012;4.9
021;2013;4.8
021;2014;4.6
021;2015;4.4
022;2000;6.2
022;2001;6.6
022;2002;6.4
022;2003;6.4
022;2004;5.8
022;2005;5.4
022;2006;5.0
022;2007;5.6
022;2008;5.0
022;2009;5.0
022;2010;4.0
022;2011;3.4
022;2012;3.2
022;2013;3.8
022;2014;3.7
022;2015;3.5
023;2000;8.0
023;2001;7.9
023;2002;7.9
023;2003;7.7
023;2004;7.7
023;2005;8.1
023;2006;7.2
023;2007;6.8
023;2008;6.8
023;2009;7.1
023;2010;7.5
023;2011;7.9
023;2012;7.5
023;2013;7.3
023;2014;6.3
023;2015;5.4
024;2000;12.1
024;2001;12.4
024;2002;11.4
024;2003;11.2
024;2004;11.3
024;2005;10.6
024;2006;10.6
024;2007;11.4
024;2008;10.8
024;2009;9.7
024;2010;8.4
024;2011;8.1
024;2012;9.3
024;2013;9.1
024;2014;9.4
024;2015;9.5
025;2000;11.9
025;2001;11.9
025;2002;12.1
025;2003;11.4
025;2004;10.8
025;2005;10.9
025;2006;10.9
025;2007;11.7
025;2008;11.8
025;2009;10.3
025;2010;10.1
025;2011;10.1
025;2012;10.9
025;2013;10.3
025;2014;9.7
025;2015;9.2
026;2000;4.5
026;2001;5.3
026;2002;5.0
026;2003;5.6
026;2004;4.7
026;2005;4.6
026;2006;4.1
026;2007;4.4
026;2008;4.5
026;2009;4.6
026;2010;4.3
026;2011;4.6
026;2012;4.0
026;2013;4.0
026;2014;4.5
026;2015;4.6
031;2000;7.1
031;2001;7.0
031;2002;6.3
031;2003;6.8
031;2004;6.5
031;2005;6.6
031;2006;7.0
031;2007;7.3
031;2008;7.1
031;2009;7.3
031;2010;7.3
031;2011;7.9
031;2012;8.0
031;2013;7.4
031;2014;6.9
031;2015;6.7
032;2000;8.6
032;2001;8.5
032;2002;8.2
032;2003;7.7
032;2004;8.0
032;2005;7.7
032;2006;7.7
032;2007;8.0
032;2008;7.7
032;2009;7.4
032;2010;7.6
032;2011;7.3
032;2012;7.0
032;2013;6.6
032;2014;5.6
032;2015;5.6
033;2000;7.2
033;2001;7.9
033;2002;8.6
033;2003;9.0
033;2004;8.8
033;2005;8.7
033;2006;9.0
033;2007;8.7
033;2008;8.3
033;2009;8.2
033;2010;7.8
033;2011;7.4
033;2012;7.0
033;2013;6.7
033;2014;6.7
033;2015;6.6
034;2000;4.2
034;2001;4.5
034;2002;5.9
034;2003;5.3
034;2004;4.9
034;2005;4.1
034;2006;4.8
034;2007;5.5
034;2008;3.8
034;2009;4.6
034;2010;5.7
034;2011;4.5
034;2012;4.7
034;2013;4.0
034;2014;4.7
034;2015;5.4
041;2000;7.9
041;2001;7.3
041;2002;7.5
041;2003;7.1
041;2004;7.1
041;2005;7.2
041;2006;7.5
041;2007;7.2
041;2008;7.0
041;2009;6.7
041;2010;6.5
041;2011;6.6
041;2012;6.0
041;2013;5.8
041;2014;5.8
041;2015;5.5
042;2000;10.0
042;2001;10.3
042;2002;10.3
042;2003;9.9
