wbe;jahr;anteil_20bis64
011;2000;77.4
011;2001;74.3
011;2002;74.8
011;2003;73.3
011;2004;73.8
011;2005;72.9
011;2006;74.4
011;2007;72.3
011;2008;69.1
011;2009;67.8
011;2010;61.7
011;2011;59.0
011;2012;60.0
011;2013;59.7
011;2014;60.2
011;2015;59.2
012;2000;77.5
012;2001;76.3
012;2002;77.5
012;2003;76.6
012;2004;75.5
012;2005;76.4
012;2006;74.9
012;2007;76.3
012;2008;75.5
012;2009;76.2
012;2010;77.4
012;2011;74.7
012;2012;73.5
012;2013;71.9
012;2014;72.8
012;2015;74.2
013;2000;78.8
013;2001;78.3
013;2002;79.3
013;2003;79.1
013;2004;79.0
013;2005;77.9
013;2006;76.8
013;2007;75.4
013;2008;74.8
013;2009;74.7
013;2010;73.6
013;2011;74.4
013;2012;72.9
013;2013;74.0
013;2014;75.0
013;2015;72.7
014;2000;73.7
014;2001;73.5
014;2002;72.9
014;2003;73.5
014;2004;72.9
014;2005;73.1
014;2006;72.4
014;2007;71.0
014;2008;72.3
014;2009;69.5
014;2010;69.4
014;2011;69.6
014;2012;69.6
014;2013;69.2
014;2014;67.7
014;2015;68.7
021;2000;67.7
021;2001;68.0
021;2002;71.1
021;2003;71.3
021;2004;70.6
021;2005;69.6
021;2006;70.6
021;2007;69.5
021;2008;70.7
021;2009;70.6
021;2010;70.0
021;2011;68.9
021;2012;69.9
021;2013;69.8
021;2014;70.2
021;2015;69.1
022;2000;67.5
022;2001;68.4
022;2002;67.5
022;2003;67.4
022;2004;68.9
022;2005;69.9
022;2006;69.7
022;2007;70.1
022;2008;70.3
022;2009;70.9
022;2010;70.0
022;2011;70.2
022;2012;69.3
022;2013;70.7
022;2014;72.4
022;2015;72.5
023;2000;72.3
023;2001;73.3
023;2002;73.9
023;2003;75.8
023;2004;75.7
023;2005;74.6
023;2006;74.6
023;2007;73.8
023;2008;72.4
023;2009;71.3
023;2010;71.0
023;2011;70.8
023;2012;70.8
023;2013;71.5
023;2014;73.3
023;2015;71.6
024;2000;64.2
024;2001;63.7
024;2002;64.2
024;2003;64.5
024;2004;63.5
024;2005;64.2
024;2006;64.0
024;2007;64.5
024;2008;66.9
024;2009;66.4
024;2010;65.5
024;2011;66.1
024;2012;66.7
024;2013;67.5
024;2014;65.8
024;2015;66.1
025;2000;56.7
025;2001;56.7
025;2002;57.4
025;2003;56.6
025;2004;55.8
025;2005;55.1
025;2006;54.1
025;2007;51.8
025;2008;51.4
025;2009;52.4
025;2010;53.0
025;2011;53.2
025;2012;52.9
025;2013;52.3
025;2014;52.2
025;2015;52.3
026;2000;78.2
026;2001;78.2
026;2002;76.6
026;2003;77.6
026;2004;78.6
026;2005;79.7
026;2006;80.3
026;2007;79.8
026;2008;77.1
026;2009;76.4
026;2010;73.1
026;2011;73.6
026;2012;70.5
026;2013;69.8
026;2014;72.6
026;2015;68.2
031;2000;66.8
031;2001;67.0
031;2002;67.8
031;2003;68.3
031;2004;67.6
031;2005;67.1
031;2006;66.8
031;2007;66.8
031;2008;66.6
031;2009;66.9
031;2010;67.1
031;2011;67.7
031;2012;67.0
031;2013;67.6
031;2014;67.6
031;2015;67.7
032;2000;63.1
032;2001;62.5
032;2002;62.3
032;2003;62.5
032;2004;62.7
032;2005;62.6
032;2006;62.2
032;2007;62.2
032;2008;62.8
032;2009;62.1
032;2010;61.1
032;2011;61.9
032;2012;61.9
032;2013;62.0
032;2014;62.8
032;2015;63.2
033;2000;65.4
033;2001;64.0
033;2002;62.9
033;2003;62.6
033;2004;63.1
033;2005;62.8
033;2006;62.3
033;2007;62.1
033;2008;62.2
033;2009;62.7
033;2010;62.6
033;2011;62.5
033;2012;62.2
033;2013;61.7
033;2014;61.2
033;2015;61.0
034;2000;82.1
034;2001;78.2
034;2002;78.5
034;2003;77.0
034;2004;77.9
034;2005;82.0
034;2006;81.9
034;2007;78.5
034;2008;78.3
034;2009;78.0
034;2010;74.7
034;2011;74.6
034;2012;76.3
034;2013;76.1
034;2014;74.5
034;2015;78.5
041;2000;65.5
041;2001;65.8
041;2002;65.7
041;2003;66.0
041;2004;65.6
041;2005;65.4
041;2006;65.7
041;2007;65.6
041;2008;65.8
041;2009;65.1
041;2010;65.9
041;2011;65.8
041;2012;66.3
041;2013;66.7
041;2014;66.8
041;2015;66.8
042;2000;57.8
042;2001;57.3
042;2002;56.7
042;2003;56.8
042;2004;57.1
042;2005;57.9
