wbe;jahr;anteil_al
011;2000;18.4
011;2001;18.2
011;2002;19.1
011;2003;17.9
011;2004;18.5
011;2005;20.1
011;2006;21.8
011;2007;23.1
011;2008;22.3
011;2009;23.6
011;2010;25.0
011;2011;23.4
011;2012;22.7
011;2013;26.7
011;2014;26.1
011;2015;25.4
012;2000;13.2
012;2001;13.8
012;2002;13.9
012;2003;17.4
012;2004;18.4
012;2005;23.1
012;2006;23.2
012;2007;25.6
012;2008;24.5
012;2009;29.1
012;2010;29.5
012;2011;29.9
012;2012;29.8
012;2013;30.9
012;2014;31.6
012;2015;30.3
013;2000;19.2
013;2001;18.3
013;2002;19.4
013;2003;20.1
013;2004;20.8
013;2005;21.3
013;2006;24.1
013;2007;28.1
013;2008;26.3
013;2009;24.2
013;2010;25.5
013;2011;28.4
013;2012;28.9
013;2013;29.4
013;2014;26.9
013;2015;26.6
014;2000;17.4
014;2001;18.1
014;2002;21.1
014;2003;21.5
014;2004;22.7
014;2005;23.4
014;2006;24.2
014;2007;25.2
014;2008;26.0
014;2009;22.9
014;2010;22.7
014;2011;23.8
014;2012;25.9
014;2013;26.8
014;2014;25.8
014;2015;26.8
021;2000;26.9
021;2001;26.5
021;2002;26.7
021;2003;28.2
021;2004;28.6
021;2005;30.1
021;2006;31.8
021;2007;31.3
021;2008;33.1
021;2009;35.7
021;2010;34.1
021;2011;37.0
021;2012;38.7
021;2013;38.1
021;2014;38.0
021;2015;39.7
022;2000;23.2
022;2001;24.7
022;2002;24.1
022;2003;24.6
022;2004;26.4
022;2005;28.0
022;2006;28.6
022;2007;29.5
022;2008;30.2
022;2009;32.0
022;2010;32.7
022;2011;33.8
022;2012;33.0
022;2013;36.1
022;2014;34.5
022;2015;37.9
023;2000;23.2
023;2001;24.8
023;2002;27.9
023;2003;28.2
023;2004;29.3
023;2005;30.0
023;2006;33.6
023;2007;36.3
023;2008;37.9
023;2009;36.9
023;2010;36.7
023;2011;34.9
023;2012;36.5
023;2013;37.6
023;2014;42.6
023;2015;42.3
024;2000;18.0
024;2001;19.8
024;2002;19.4
024;2003;19.7
024;2004;20.4
024;2005;21.5
024;2006;26.1
024;2007;26.5
024;2008;30.6
024;2009;31.4
024;2010;33.7
024;2011;35.7
024;2012;35.7
024;2013;38.9
024;2014;40.6
024;2015;41.7
025;2000;10.5
025;2001;11.4
025;2002;12.8
025;2003;14.6
025;2004;17.3
025;2005;19.7
025;2006;21.9
025;2007;21.7
025;2008;22.8
025;2009;25.6
025;2010;24.5
025;2011;25.4
025;2012;26.1
025;2013;29.1
025;2014;27.7
025;2015;29.6
026;2000;13.4
026;2001;18.9
026;2002;18.0
026;2003;15.0
026;2004;19.5
026;2005;20.7
026;2006;21.1
026;2007;21.1
026;2008;14.4
026;2009;16.4
026;2010;19.2
026;2011;22.3
026;2012;21.0
026;2013;21.6
026;2014;21.9
026;2015;23.6
031;2000;27.2
031;2001;27.0
031;2002;29.2
031;2003;32.2
031;2004;32.4
031;2005;32.2
031;2006;32.2
031;2007;33.0
031;2008;33.6
031;2009;34.8
031;2010;34.1
031;2011;36.5
031;2012;37.2
031;2013;38.2
031;2014;39.8
031;2015;39.6
032;2000;23.0
032;2001;23.5
032;2002;24.5
032;2003;25.3
032;2004;26.0
032;2005;26.6
032;2006;27.4
032;2007;28.3
032;2008;29.3
032;2009;29.9
032;2010;29.4
032;2011;30.1
032;2012;30.2
032;2013;30.5
032;2014;31.4
032;2015;30.9
033;2000;19.2
033;2001;20.0
033;2002;20.6
033;2003;21.8
033;2004;22.4
033;2005;23.8
033;2006;24.6
033;2007;25.3
033;2008;27.1
033;2009;28.0
033;2010;28.6
033;2011;29.5
033;2012;30.8
033;2013;32.0
033;2014;31.6
033;2015;32.1
034;2000;21.6
034;2001;21.2
034;2002;19.9
034;2003;23.0
034;2004;29.4
034;2005;34.1
034;2006;36.6
034;2007;36.1
034;2008;37.7
034;2009;39.9
034;2010;33.0
034;2011;28.8
034;2012;31.2
034;2013;34.0
034;2014;33.6
034;2015;34.6
041;2000;24.2
041;2001;25.6
041;2002;26.0
041;2003;26.4
041;2004;26.7
041;2005;27.8
041;2006;27.6
041;2007;28.9
041;2008;29.7
041;2009;29.4
041;2010;29.9
041;2011;30.4
041;2012;31.7
041;2013;32.0
041;2014;32.5
041;2015;33.3
042;2000;22.6
042;2001;23.4
042;2002;23.2
042;2003;24.4
042;2004;25.7
042;2005;26.1
042;2006;26.9
042;2007;27.1
042;2008;27.2
042;2009;27.2
042;2010;27.9
042;2011;28.9
042;2012;29.9
042;2013;30.9
042;2014;31.4
042;2015;31.6
051;2000;46.0
051;2001;46.1
051;2002;40.0
051;2003;33.3
051;2004;40.7
051;2005;54.4
051;2006;62.5
051;2007;57.5
051;2008;57.7
051;2009;60.3
051;2010;41.5
051;2011;50.0
051;2012;47.8
051;2013;52.9
051;2014;49.1
051;2015;52.6
052;2000;18.5
052;2001;19.1
052;2002;19.5
052;2003;22.4
052;2004;23.4
052;2005;23.2
052;2006;26.4
052;2007;27.9
052;2008;30.1
052;2009;30.9
052;2010;30.9
052;2011;31.3
052;2012;31.5
052;2013;32.6
052;2014;34.1
052;2015;34.5
053;2000;20.1
