wbe;jahr;anteil_bs
011;2000;49.3
011;2001;53.4
011;2002;53.9
011;2003;53.3
011;2004;49.0
011;2005;47.2
011;2006;45.1
011;2007;44.0
011;2008;44.7
011;2009;44.2
011;2010;43.2
011;2011;46.0
011;2012;46.2
011;2013;45.1
011;2014;44.4
011;2015;46.3
012;2000;39.5
012;2001;40.6
012;2002;40.8
012;2003;37.5
012;2004;36.5
012;2005;34.9
012;2006;35.9
012;2007;34.6
012;2008;36.3
012;2009;35.6
012;2010;32.3
012;2011;33.8
012;2012;32.1
012;2013;32.3
012;2014;30.8
012;2015;32.0
013;2000;41.4
013;2001;43.8
013;2002;41.2
013;2003;41.7
013;2004;41.1
013;2005;39.8
013;2006;38.4
013;2007;38.3
013;2008;40.8
013;2009;41.3
013;2010;39.9
013;2011;40.1
013;2012;38.7
013;2013;37.9
013;2014;37.9
013;2015;39.2
014;2000;46.2
014;2001;45.1
014;2002;42.4
014;2003;41.7
014;2004;39.6
014;2005;39.5
014;2006;40.0
014;2007;41.1
014;2008;39.7
014;2009;40.5
014;2010;41.5
014;2011;41.6
014;2012;38.9
014;2013;38.0
014;2014;38.3
014;2015;37.4
021;2000;35.1
021;2001;36.9
021;2002;36.5
021;2003;35.6
021;2004;34.6
021;2005;33.5
021;2006;32.8
021;2007;33.1
021;2008;32.2
021;2009;31.9
021;2010;32.2
021;2011;31.1
021;2012;28.4
021;2013;27.8
021;2014;29.6
021;2015;28.6
022;2000;40.1
022;2001;40.0
022;2002;40.0
022;2003;39.3
022;2004;39.0
022;2005;38.3
022;2006;39.1
022;2007;37.5
022;2008;38.7
022;2009;39.1
022;2010;37.1
022;2011;33.6
022;2012;33.4
022;2013;30.6
022;2014;32.3
022;2015;29.3
023;2000;31.4
023;2001;29.6
023;2002;26.7
023;2003;27.6
023;2004;26.2
023;2005;26.3
023;2006;24.7
023;2007;24.9
023;2008;23.7
023;2009;23.6
023;2010;23.7
023;2011;25.4
023;2012;24.9
023;2013;25.1
023;2014;23.6
023;2015;23.4
024;2000;36.8
024;2001;37.9
024;2002;38.9
024;2003;37.5
024;2004;38.7
024;2005;38.7
024;2006;34.4
024;2007;32.3
024;2008;29.7
024;2009;28.7
024;2010;28.1
024;2011;26.4
024;2012;26.6
024;2013;25.7
024;2014;24.6
024;2015;25.7
025;2000;54.5
025;2001;53.4
025;2002;50.8
025;2003;49.1
025;2004;48.2
025;2005;48.0
025;2006;47.0
025;2007;48.0
025;2008;46.5
025;2009;44.1
025;2010;45.2
025;2011;44.3
025;2012;44.3
025;2013;41.9
025;2014;41.3
025;2015;41.0
026;2000;30.7
026;2001;29.6
026;2002;27.9
026;2003;30.4
026;2004;32.6
026;2005;32.7
026;2006;31.2
026;2007;32.5
026;2008;34.3
026;2009;34.4
026;2010;31.7
026;2011;32.5
026;2012;32.0
026;2013;31.2
026;2014;31.3
026;2015;30.3
031;2000;32.6
031;2001;32.5
031;2002;31.8
031;2003;30.9
031;2004;30.4
031;2005;30.6
031;2006;30.2
031;2007;29.6
031;2008;29.5
031;2009;28.9
031;2010;28.7
031;2011;27.5
031;2012;27.8
031;2013;27.4
031;2014;26.6
031;2015;26.9
032;2000;39.6
032;2001;38.7
032;2002;38.8
032;2003;38.6
032;2004;38.0
032;2005;37.7
032;2006;38.0
032;2007;38.0
032;2008;38.3
032;2009;37.7
032;2010;37.8
032;2011;37.7
032;2012;37.9
032;2013;36.6
032;2014;36.2
032;2015;35.8
033;2000;41.1
033;2001;41.1
033;2002;41.1
033;2003;40.4
033;2004;39.8
033;2005;39.5
033;2006;38.6
033;2007;39.2
033;2008;38.5
033;2009;37.9
033;2010;37.2
033;2011;35.8
033;2012;35.8
033;2013;35.0
033;2014;35.5
033;2015;35.3
034;2000;22.6
034;2001;22.9
034;2002;25.3
034;2003;25.7
034;2004;26.5
034;2005;26.7
034;2006;27.8
034;2007;29.7
034;2008;25.9
034;2009;22.5
034;2010;28.4
034;2011;32.8
034;2012;29.8
034;2013;25.1
034;2014;26.4
034;2015;27.3
041;2000;34.1
041;2001;33.7
041;2002;33.5
041;2003;32.8
041;2004;32.7
041;2005;32.5
041;2006;32.2
041;2007;31.2
041;2008;31.2
041;2009;31.6
041;2010;31.9
041;2011;31.6
041;2012;30.8
041;2013;31.1
041;2014;30.9
041;2015;30.3
042;2000;35.7
042;2001;35.3
042;2002;35.7
042;2003;35.9
042;2004;35.0
042;2005;35.2
042;2006;34.3
042;2007;34.5
042;2008;34.9
042;2009;35.1
042;2010;35.1
042;2011;34.5
042;2012;33.7
042;2013;33.2
042;2014;32.9
042;2015;32.7
051;2000;11.1
051;2001;13.2
051;2002;20.0
051;2003;26.3
051;2004;23.7
051;2005;15.8
051;2006;11.1
051;2007;16.3
051;2008;18.3
051;2009;11.1
051;2010;17.1
051;2011;11.9
051;2012;19.6
051;2013;19.6
051;2014;17.5
051;2015;15.8
052;2000;44.1
052;2001;43.6
052;2002;44.3
052;2003;42.7
052;2004;42.6
052;2005;43.7
052;2006;40.5
052;2007;39.1
052;2008;37.8
052;2009;36.5
052;2010;37.2
052;2011;36.7
052;2012;36.6
052;2013;35.6
052;2014;35.6
052;2015;35.3
053;2000;43.4
053;2001;43.0
053;2002;42.5
053;2003;42.1
053;2004;41.5
053;2005;40.6
053;2006;40.0
053;2007;40.5
053;2008;39.0
053;2009;38.5
053;2010;38.2
053;2011;37.6
053;2012;36.6
053;2013;35.5
053;2014;34.9
053;2015;34.6
054;2000;50.9
054;2001;50.9
054;2002;50.5
054;2003;49.9
054;2004;48.5
054;2005;47.4
054;2006;46.1
054;2007;44.5
054;2008;44.6
054;2009;44.4
054;2010;44.0
054;2011;44.2
054;2012;43.1
054;2013;43.2
054;2014;42.2
054;2015;41.7
055;2000;33.5
055;2001;32.9
055;2002;37.7
055;2003;38.1
055;2004;39.3
055;2005;36.6
055;2006;36.0
055;2007;37.8
055;2008;36.8
055;2009;35.9
055;2010;35.3
055;2011;36.9
055;2012;37.3
055;2013;37.4
055;2014;38.5
055;2015;40.5
061;2000;24.5
061;2001;24.3
061;2002;24.1
061;2003;24.7
061;2004;25.9
061;2005;26.6
061;2006;25.5
061;2007;26.2
061;2008;27.8
061;2009;27.9
061;2010;28.6
061;2011;28.7
061;2012;29.0
061;2013;29.0
061;2014;28.7
061;2015;27.9
062;2000;23.2
062;2001;23.2
062;2002;23.8
062;2003;24.4
062;2004;23.8
062;2005;24.3
062;2006;24.4
062;2007;25.3
062;2008;25.7
062;2009;25.6
062;2010;26.6
062;2011;26.3
062;2012;25.6
062;2013;25.6
062;2014;25.6
062;2015;25.7
063;2000;26.0
063;2001;25.5
063;2002;25.5
063;2003;25.8
063;2004;25.5
063;2005;26.3
063;2006;26.9
063;2007;26.4
063;2008;26.3
063;2009;25.9
063;2010;26.7
063;2011;27.1
063;2012;26.8
063;2013;26.3
063;2014;26.4
063;2015;26.5
071;2000;49.7
071;2001;49.5
071;2002;49.2
071;2003;48.0
071;2004;47.2
071;2005;46.0
071;2006;45.8
071;2007;44.9
071;2008;44.2
071;2009;43.3
071;2010;43.2
071;2011;43.0
071;2012;42.4
071;2013;41.7
071;2014;41.3
071;2015;40.9
072;2000;53.0
072;2001;52.2
072;2002;51.5
072;2003;51.4
072;2004;51.4
072;2005;50.3
072;2006;49.7
072;2007;48.7
