wbe;jahr;anteil_bsanch
011;2000;60.4
011;2001;65.3
011;2002;66.7
011;2003;65.0
011;2004;60.1
011;2005;59.1
011;2006;57.6
011;2007;57.2
011;2008;57.5
011;2009;57.8
011;2010;57.6
011;2011;60.0
011;2012;59.7
011;2013;61.5
011;2014;60.0
011;2015;62.1
012;2000;45.5
012;2001;47.0
012;2002;47.4
012;2003;45.4
012;2004;44.8
012;2005;45.4
012;2006;46.8
012;2007;46.5
012;2008;48.1
012;2009;50.2
012;2010;45.8
012;2011;48.2
012;2012;45.7
012;2013;46.8
012;2014;45.1
012;2015;45.9
013;2000;51.3
013;2001;53.6
013;2002;51.1
013;2003;52.3
013;2004;51.9
013;2005;50.6
013;2006;50.6
013;2007;53.3
013;2008;55.3
013;2009;54.5
013;2010;53.6
013;2011;56.0
013;2012;54.5
013;2013;53.7
013;2014;51.8
013;2015;53.5
014;2000;55.9
014;2001;55.1
014;2002;53.7
014;2003;53.1
014;2004;51.2
014;2005;51.6
014;2006;52.8
014;2007;54.9
014;2008;53.6
014;2009;52.5
014;2010;53.8
014;2011;54.5
014;2012;52.5
014;2013;52.0
014;2014;51.6
014;2015;51.1
021;2000;48.0
021;2001;50.2
021;2002;49.9
021;2003;49.5
021;2004;48.5
021;2005;47.9
021;2006;48.1
021;2007;48.1
021;2008;48.2
021;2009;49.7
021;2010;48.9
021;2011;49.4
021;2012;46.3
021;2013;44.9
021;2014;47.7
021;2015;47.4
022;2000;52.2
022;2001;53.0
022;2002;52.8
022;2003;52.2
022;2004;52.9
022;2005;53.1
022;2006;54.8
022;2007;53.2
022;2008;55.4
022;2009;57.5
022;2010;55.2
022;2011;50.7
022;2012;49.9
022;2013;47.9
022;2014;49.4
022;2015;47.2
023;2000;40.8
023;2001;39.4
023;2002;37.0
023;2003;38.4
023;2004;37.1
023;2005;37.5
023;2006;37.2
023;2007;39.1
023;2008;38.1
023;2009;37.5
023;2010;37.5
023;2011;39.1
023;2012;39.2
023;2013;40.2
023;2014;41.1
023;2015;40.5
024;2000;44.8
024;2001;47.3
024;2002;48.3
024;2003;46.7
024;2004;48.6
024;2005;49.4
024;2006;46.5
024;2007;44.0
024;2008;42.8
024;2009;41.8
024;2010;42.4
024;2011;41.0
024;2012;41.4
024;2013;42.0
024;2014;41.4
024;2015;44.2
025;2000;60.9
025;2001;60.3
025;2002;58.3
025;2003;57.4
025;2004;58.3
025;2005;59.8
025;2006;60.2
025;2007;61.3
025;2008;60.3
025;2009;59.2
025;2010;59.8
025;2011;59.3
025;2012;59.9
025;2013;59.1
025;2014;57.2
025;2015;58.2
026;2000;35.4
026;2001;36.5
026;2002;34.1
026;2003;35.7
026;2004;40.5
026;2005;41.3
026;2006;39.5
026;2007;41.1
026;2008;40.1
026;2009;41.1
026;2010;39.3
026;2011;41.8
026;2012;40.5
026;2013;39.7
026;2014;40.1
026;2015;39.6
031;2000;44.7
031;2001;44.5
031;2002;44.8
031;2003;45.6
031;2004;45.0
031;2005;45.1
031;2006;44.5
031;2007;44.2
031;2008;44.5
031;2009;44.3
031;2010;43.6
031;2011;43.2
031;2012;44.2
031;2013;44.4
031;2014;44.2
031;2015;44.6
032;2000;51.4
032;2001;50.6
032;2002;51.3
032;2003;51.7
032;2004;51.4
032;2005;51.3
032;2006;52.3
032;2007;53.1
032;2008;54.2
032;2009;53.8
032;2010;53.6
032;2011;53.9
032;2012;54.3
032;2013;52.7
032;2014;52.7
032;2015;51.8
033;2000;50.9
033;2001;51.4
033;2002;51.8
033;2003;51.6
033;2004;51.3
033;2005;51.9
033;2006;51.2
033;2007;52.4
033;2008;52.8
033;2009;52.6
033;2010;52.0
033;2011;50.8
033;2012;51.8
033;2013;51.5
033;2014;52.0
033;2015;52.0
034;2000;28.9
034;2001;29.1
034;2002;31.5
034;2003;33.3
034;2004;37.5
034;2005;40.6
034;2006;43.8
034;2007;46.4
034;2008;41.7
034;2009;37.4
034;2010;42.3
034;2011;46.0
034;2012;43.2
034;2013;38.0
034;2014;39.7
034;2015;41.8
041;2000;44.9
041;2001;45.3
041;2002;45.2
041;2003;44.6
041;2004;44.6
041;2005;45.0
041;2006;44.5
041;2007;43.9
041;2008;44.4
041;2009;44.8
041;2010;45.5
041;2011;45.5
041;2012;45.0
041;2013;45.8
041;2014;45.8
041;2015;45.5
042;2000;46.2
042;2001;46.1
042;2002;46.4
042;2003;47.6
042;2004;47.1
042;2005;47.6
042;2006;46.9
042;2007;47.4
042;2008;47.9
042;2009;48.2
042;2010;48.7
042;2011;48.6
042;2012;48.1
042;2013;48.0
042;2014;47.9
042;2015;47.8
051;2000;20.6
051;2001;24.4
051;2002;33.3
051;2003;39.5
051;2004;40.0
051;2005;34.6
051;2006;29.6
051;2007;38.2
051;2008;43.3
051;2009;28.0
051;2010;29.2
051;2011;23.8
051;2012;37.5
051;2013;41.7
051;2014;34.5
051;2015;33.3
052;2000;54.1
052;2001;53.9
052;2002;55.0
052;2003;55.0
052;2004;55.5
052;2005;56.9
052;2006;55.1
052;2007;54.2
052;2008;54.0
052;2009;52.9
052;2010;53.8
052;2011;53.4
052;2012;53.4
052;2013;52.9
052;2014;54.0
052;2015;53.8
053;2000;54.3
053;2001;54.0
053;2002;54.2
053;2003;54.6
053;2004;54.6
053;2005;54.5
053;2006;55.3
053;2007;56.3
053;2008;55.9
053;2009;55.5
053;2010;55.5
053;2011;55.2
053;2012;54.6
053;2013;53.7
053;2014;53.6
053;2015;53.7
054;2000;55.8
054;2001;56.5
054;2002;56.3
054;2003;55.8
054;2004;55.1
054;2005;55.0
054;2006;54.7
054;2007;53.6
054;2008;53.2
054;2009;53.5
054;2010;54.5
054;2011;55.2
054;2012;54.1
054;2013;54.6
054;2014;53.3
054;2015;52.6
055;2000;44.8
055;2001;44.4
055;2002;48.1
055;2003;48.7
055;2004;50.2
055;2005;47.8
055;2006;46.7
055;2007;48.0
055;2008;47.5
055;2009;47.4
055;2010;46.5
055;2011;49.2
055;2012;50.1
055;2013;51.3
055;2014;52.1
055;2015;53.0
061;2000;39.1
061;2001;38.8
061;2002;39.4
061;2003;40.7
061;2004;42.1
061;2005;43.3
061;2006;42.5
061;2007;43.0
061;2008;44.3
061;2009;45.1
061;2010;46.2
061;2011;46.6
061;2012;46.2
061;2013;46.4
061;2014;45.7
061;2015;45.3
062;2000;39.5
062;2001;39.8
062;2002;41.1
062;2003;42.2
062;2004;42.2
062;2005;43.0
062;2006;42.9
062;2007;43.8
062;2008;44.4
062;2009;44.1
062;2010;45.2
062;2011;45.1
062;2012;44.7
062;2013;45.0
062;2014;44.6
062;2015;44.8
063;2000;39.2
063;2001;38.8
063;2002;39.0
063;2003;39.5
063;2004;39.5
063;2005;40.2
063;2006;41.0
063;2007;40.8
063;2008;40.9
063;2009;40.6
063;2010;41.5
063;2011;42.2
063;2012;41.6
063;2013;41.2
063;2014;41.7
063;2015;41.9
071;2000;57.1
071;2001;57.0
071;2002;57.2
071;2003;56.5
071;2004;56.0
071;2005;55.6
071;2006;55.7
071;2007;55.7
071;2008;55.6
071;2009;55.6
071;2010;55.9
071;2011;56.4
071;2012;56.3
071;2013;55.9
071;2014;55.3
071;2015;55.1
072;2000;59.8
072;2001;59.5
072;2002;59.4
072;2003;59.3
072;2004;59.9
072;2005;59.0
072;2006;58.6
072;2007;57.8
072;2008;58.1
072;2009;57.5
072;2010;56.6
072;2011;57.4
072;2012;57.4
072;2013;56.8
072;2014;56.0
072;2015;55.5
073;2000;57.9
073;2001;56.7
073;2002;57.5
073;2003;60.1
073;2004;57.9
073;2005;57.7
073;2006;57.8
073;2007;58.9
073;2008;56.5
073;2009;56.5
073;2010;57.1
073;2011;58.7
073;2012;58.1
073;2013;58.3
073;2014;56.9
073;2015;55.8
081;2000;50.4
081;2001;50.4
081;2002;49.4
081;2003;50.5
081;2004;51.3
081;2005;50.4
081;2006;50.9
081;2007;50.8
081;2008;49.6
081;2009;48.8
081;2010;49.8
081;2011;49.5
081;2012;49.2
081;2013;49.5
081;2014;49.4
081;2015;50.9
082;2000;59.8
082;2001;60.4
082;2002;60.1
082;2003;58.5
082;2004;57.7
082;2005;57.0
082;2006;57.7
082;2007;57.7
082;2008;56.8
082;2009;56.7
082;2010;56.9
082;2011;57.7
082;2012;57.9
082;2013;57.6
082;2014;56.2
082;2015;55.9
083;2000;54.1
083;2001;54.8
083;2002;54.5
083;2003;53.4
083;2004;52.4
083;2005;51.5
083;2006;51.0
083;2007;50.9
083;2008;50.4
083;2009;50.0
083;2010;50.0
083;2011;52.3
083;2012;51.3
083;2013;51.0
083;2014;51.3
083;2015;51.5
084;2000;56.8
084;2001;56.4
084;2002;56.7
084;2003;55.9
084;2004;57.2
084;2005;56.2
084;2006;55.5
084;2007;53.8
084;2008;53.5
084;2009;52.9
084;2010;53.3
084;2011;53.6
084;2012;53.1
084;2013;51.5
084;2014;50.5
084;2015;49.1
085;2000;57.2
085;2001;56.6
085;2002;56.6
085;2003;56.4
085;2004;55.9
085;2005;56.4
085;2006;56.0
085;2007;55.8
085;2008;55.6
085;2009;55.7
085;2010;56.3
085;2011;56.8
085;2012;56.9
085;2013;56.3
085;2014;55.4
085;2015;55.2
091;2000;49.9
091;2001;49.3
091;2002;49.6
091;2003;49.0
091;2004;49.5
091;2005;48.9
091;2006;47.8
091;2007;47.3
091;2008;47.3
091;2009;48.0
091;2010;48.0
091;2011;48.8
091;2012;48.1
091;2013;48.8
091;2014;48.7
091;2015;48.6
092;2000;61.5
092;2001;61.3
092;2002;60.0
092;2003;59.1
092;2004;59.1
092;2005;58.3
092;2006;57.8
092;2007;57.0
092;2008;55.6
092;2009;55.0
092;2010;55.5
092;2011;55.0
092;2012;54.4
092;2013;53.6
092;2014;53.8
092;2015;53.5
101;2000;44.6
101;2001;45.4
101;2002;45.3
101;2003;44.5
101;2004;44.0
101;2005;44.6
101;2006;44.4
101;2007;44.7
101;2008;45.1
101;2009;46.2
101;2010;46.6
101;2011;47.1
101;2012;47.1
101;2013;46.9
101;2014;47.2
101;2015;46.5
102;2000;48.7
102;2001;48.5
102;2002;47.4
102;2003;47.8
102;2004;47.1
102;2005;47.4
102;2006;48.5
102;2007;49.0
102;2008;48.7
102;2009;48.7
102;2010;48.5
102;2011;48.7
102;2012;47.8
102;2013;47.5
102;2014;48.1
102;2015;48.9
103;2000;49.0
103;2001;48.6
103;2002;48.5
103;2003;48.7
103;2004;49.3
103;2005;50.8
103;2006;49.8
103;2007;49.9
103;2008;51.0
103;2009;51.1
103;2010;51.7
103;2011;52.4
103;2012;51.8
103;2013;52.0
103;2014;51.9
103;2015;52.8
111;2000;40.9
111;2001;41.8
111;2002;42.5
111;2003;42.2
111;2004;41.4
111;2005;42.2
111;2006;41.5
111;2007;42.4
111;2008;42.2
111;2009;42.2
111;2010;42.4
111;2011;44.0
111;2012;43.8
111;2013;43.2
111;2014;42.9
111;2015;43.3
112;2000;46.0
112;2001;46.5
112;2002;47.2
112;2003;47.1
112;2004;45.6
112;2005;46.2
112;2006;45.9
112;2007;47.9
112;2008;49.1
112;2009;49.2
112;2010;49.8
112;2011;48.9
112;2012;48.2
112;2013;48.4
112;2014;48.1
112;2015;47.2
113;2000;42.6
113;2001;42.3
113;2002;42.6
113;2003;42.5
113;2004;42.4
113;2005;42.5
113;2006;42.2
113;2007;44.0
113;2008;44.6
113;2009;45.5
113;2010;45.9
113;2011;45.9
113;2012;45.9
113;2013;46.2
113;2014;46.0
113;2015;46.2
114;2000;34.3
114;2001;38.1
114;2002;38.8
114;2003;41.2
114;2004;43.0
114;2005;40.7
114;2006;41.5
114;2007;42.1
114;2008;43.3
114;2009;44.9
114;2010;44.8
114;2011;42.5
114;2012;43.0
114;2013;42.1
114;2014;43.9
114;2015;44.7
115;2000;52.5
115;2001;53.2
115;2002;53.1
115;2003;54.7
115;2004;55.5
115;2005;56.5
115;2006;57.0
115;2007;58.2
115;2008;59.1
115;2009;59.4
115;2010;59.1
115;2011;58.8
115;2012;59.1
115;2013;59.2
115;2014;59.4
115;2015;58.8
121;2000;46.7
121;2001;45.2
121;2002;45.1
121;2003;44.2
121;2004;44.6
121;2005;45.1
121;2006;45.9
121;2007;44.6
121;2008;46.2
121;2009;45.9
121;2010;45.7
121;2011;44.7
121;2012;43.1
121;2013;41.1
121;2014;42.2
121;2015;43.9
122;2000;48.1
122;2001;49.5
122;2002;49.7
122;2003;49.1
122;2004;47.1
122;2005;49.6
122;2006;48.7
122;2007;45.3
122;2008;45.3
122;2009;45.4
122;2010;45.8
122;2011;47.5
122;2012;47.3
122;2013;46.9
122;2014;45.6
122;2015;47.6
131;2000;43.9
131;2001;44.9
131;2002;45.0
131;2003;46.1
131;2004;47.4
131;2005;48.6
131;2006;46.8
131;2007;46.3
131;2008;48.2
131;2009;48.0
131;2010;45.9
131;2011;47.1
131;2012;47.1
131;2013;48.4
131;2014;49.8
131;2015;50.7
132;2000;45.3
132;2001;44.7
132;2002;45.5
132;2003;45.6
132;2004;44.5
132;2005;45.4
132;2006;44.9
132;2007;46.6
132;2008;47.5
132;2009;47.8
132;2010;48.7
132;2011;49.3
132;2012;49.3
132;2013;49.4
132;2014;50.8
132;2015;50.6
141;2000;47.7
141;2001;46.7
141;2002;45.8
141;2003;44.5
141;2004;44.9
141;2005;44.9
141;2006;43.6
141;2007;44.2
141;2008;44.3
141;2009;44.1
141;2010;44.6
141;2011;45.8
141;2012;46.2
141;2013;46.1
141;2014;45.4
141;2015;45.9
142;2000;54.6
142;2001;54.4
