wbe;jahr;anteil_ch
011;2000;81.6
011;2001;81.8
011;2002;80.9
011;2003;82.1
011;2004;81.5
011;2005;79.9
011;2006;78.2
011;2007;76.9
011;2008;77.7
011;2009;76.4
011;2010;75.0
011;2011;76.6
011;2012;77.3
011;2013;73.3
011;2014;73.9
011;2015;74.6
012;2000;86.8
012;2001;86.2
012;2002;86.1
012;2003;82.6
012;2004;81.6
012;2005;76.9
012;2006;76.8
012;2007;74.4
012;2008;75.5
012;2009;70.9
012;2010;70.5
012;2011;70.1
012;2012;70.2
012;2013;69.1
012;2014;68.4
012;2015;69.7
013;2000;80.8
013;2001;81.7
013;2002;80.6
013;2003;79.9
013;2004;79.2
013;2005;78.7
013;2006;75.9
013;2007;71.9
013;2008;73.7
013;2009;75.8
013;2010;74.5
013;2011;71.6
013;2012;71.1
013;2013;70.6
013;2014;73.1
013;2015;73.4
014;2000;82.6
014;2001;81.9
014;2002;78.9
014;2003;78.5
014;2004;77.3
014;2005;76.6
014;2006;75.8
014;2007;74.8
014;2008;74.0
014;2009;77.1
014;2010;77.3
014;2011;76.2
014;2012;74.1
014;2013;73.2
014;2014;74.2
014;2015;73.2
021;2000;73.1
021;2001;73.5
021;2002;73.3
021;2003;71.8
021;2004;71.4
021;2005;69.9
021;2006;68.2
021;2007;68.7
021;2008;66.9
021;2009;64.3
021;2010;65.9
021;2011;63.0
021;2012;61.3
021;2013;61.9
021;2014;62.0
021;2015;60.3
022;2000;76.8
022;2001;75.3
022;2002;75.9
022;2003;75.4
022;2004;73.6
022;2005;72.0
022;2006;71.4
022;2007;70.5
022;2008;69.8
022;2009;68.0
022;2010;67.3
022;2011;66.2
022;2012;67.0
022;2013;63.9
022;2014;65.5
022;2015;62.1
023;2000;76.8
023;2001;75.2
023;2002;72.1
023;2003;71.8
023;2004;70.7
023;2005;70.0
023;2006;66.4
023;2007;63.7
023;2008;62.1
023;2009;63.1
023;2010;63.3
023;2011;65.1
023;2012;63.5
