wbe;jahr;anteil_keinereligion
011;2000;49.3
011;2001;49.0
011;2002;48.2
011;2003;53.0
011;2004;50.3
011;2005;51.8
011;2006;48.8
011;2007;50.2
011;2008;50.5
011;2009;53.3
011;2010;57.6
011;2011;55.9
011;2012;56.2
011;2013;59.7
011;2014;60.2
011;2015;60.3
012;2000;56.2
012;2001;56.1
012;2002;57.4
012;2003;57.0
012;2004;59.2
012;2005;58.8
012;2006;63.2
012;2007;64.4
012;2008;67.2
012;2009;68.6
012;2010;69.7
012;2011;66.0
012;2012;67.9
012;2013;71.6
012;2014;71.5
012;2015;72.7
013;2000;58.4
013;2001;57.8
013;2002;56.6
013;2003;59.2
013;2004;59.1
013;2005;58.5
013;2006;60.5
013;2007;60.2
013;2008;59.8
013;2009;59.4
013;2010;62.2
013;2011;62.7
013;2012;60.5
013;2013;63.2
013;2014;63.9
013;2015;66.4
014;2000;54.5
014;2001;53.8
014;2002;54.1
014;2003;54.1
014;2004;54.9
014;2005;55.7
014;2006;56.1
014;2007;59.8
014;2008;60.3
014;2009;59.4
014;2010;61.5
014;2011;60.2
014;2012;63.0
014;2013;65.0
014;2014;65.1
014;2015;65.6
021;2000;56.2
021;2001;57.6
021;2002;58.5
021;2003;58.7
021;2004;58.7
021;2005;60.1
021;2006;59.7
021;2007;61.2
021;2008;62.2
021;2009;64.0
021;2010;63.6
021;2011;65.0
021;2012;65.6
021;2013;65.6
021;2014;67.3
021;2015;67.5
022;2000;50.8
022;2001;49.9
022;2002;51.0
022;2003;51.2
022;2004;52.4
022;2005;55.0
022;2006;53.2
022;2007;55.6
022;2008;54.9
022;2009;56.1
022;2010;59.0
022;2011;59.6
022;2012;63.0
022;2013;66.9
022;2014;70.6
022;2015;71.4
023;2000;56.4
023;2001;55.2
023;2002;56.4
023;2003;58.5
023;2004;58.1
023;2005;56.1
023;2006;59.6
023;2007;61.3
023;2008;63.4
023;2009;63.4
023;2010;64.3
023;2011;64.9
023;2012;65.4
023;2013;66.3
023;2014;68.4
023;2015;71.0
024;2000;51.1
024;2001;55.0
024;2002;55.5
024;2003;56.0
024;2004;57.6
024;2005;56.0
024;2006;56.4
024;2007;57.6
024;2008;60.8
024;2009;61.3
024;2010;62.4
024;2011;62.6
024;2012;65.1
024;2013;65.9
024;2014;64.7
024;2015;67.3
025;2000;47.0
025;2001;48.5
025;2002;49.4
025;2003;49.6
025;2004;51.4
025;2005;51.7
025;2006;53.9
025;2007;55.5
025;2008;55.5
025;2009;58.4
025;2010;60.6
025;2011;61.4
025;2012;61.6
025;2013;62.3
025;2014;64.2
025;2015;65.9
026;2000;57.4
026;2001;59.7
026;2002;60.8
026;2003;62.1
026;2004;61.4
026;2005;58.1
026;2006;59.2
026;2007;59.6
026;2008;60.7
026;2009;61.5
026;2010;63.5
026;2011;65.5
026;2012;65.0
026;2013;68.8
026;2014;68.2
026;2015;66.2
031;2000;53.3
031;2001;53.8
031;2002;55.3
031;2003;57.3
031;2004;58.5
031;2005;59.3
031;2006;59.7
031;2007;60.5
031;2008;61.2
031;2009;62.3
031;2010;63.4
031;2011;65.4
031;2012;64.9
031;2013;66.5
031;2014;67.7
031;2015;67.7
032;2000;48.9
032;2001;50.4
032;2002;52.0
032;2003;53.8
032;2004;54.8
032;2005;55.9
032;2006;57.1
032;2007;58.2
032;2008;59.7
032;2009;61.2
032;2010;62.3
032;2011;64.1
032;2012;64.6
