wbe;jahr;anteil_maennlich
011;2000;49.3
011;2001;47.6
011;2002;48.6
011;2003;50.2
011;2004;49.7
011;2005;48.2
011;2006;51.5
011;2007;52.1
011;2008;50.9
011;2009;49.6
011;2010;49.6
011;2011;48.7
011;2012;48.1
011;2013;49.1
011;2014;50.0
011;2015;49.6
012;2000;54.4
012;2001;54.6
012;2002;53.9
012;2003;53.4
012;2004;54.4
012;2005;55.6
012;2006;56.5
012;2007;57.8
012;2008;58.7
012;2009;56.5
012;2010;54.9
012;2011;55.0
012;2012;53.5
012;2013;51.9
012;2014;51.9
012;2015;52.1
013;2000;49.2
013;2001;49.7
013;2002;48.7
013;2003;48.8
013;2004;49.2
013;2005;48.8
013;2006;48.1
013;2007;48.4
013;2008;49.6
013;2009;48.8
013;2010;46.8
013;2011;48.6
013;2012;48.5
013;2013;48.3
013;2014;49.6
013;2015;51.3
014;2000;48.7
014;2001;46.8
014;2002;48.2
014;2003;48.0
014;2004;47.8
014;2005;46.8
014;2006;47.6
014;2007;46.7
014;2008;47.2
014;2009;48.1
014;2010;48.5
014;2011;48.7
014;2012;48.0
014;2013;48.6
014;2014;48.9
014;2015;51.1
021;2000;51.0
021;2001;50.4
021;2002;51.3
021;2003;50.4
021;2004;49.9
021;2005;49.5
021;2006;50.3
021;2007;50.1
021;2008;49.7
021;2009;48.7
021;2010;49.2
021;2011;48.5
021;2012;49.5
021;2013;49.1
021;2014;49.6
021;2015;50.5
022;2000;47.2
022;2001;48.7
022;2002;47.4
022;2003;47.3
022;2004;49.1
022;2005;49.1
022;2006;46.8
022;2007;46.7
022;2008;47.5
022;2009;47.3
022;2010;48.1
022;2011;49.2
022;2012;48.1
022;2013;50.1
022;2014;50.9
022;2015;49.7
023;2000;52.9
023;2001;53.7
023;2002;54.1
023;2003;53.4
023;2004;54.1
023;2005;56.5
023;2006;55.9
023;2007;56.1
023;2008;54.4
023;2009;52.5
023;2010;52.1
023;2011;53.0
023;2012;53.3
023;2013;53.3
023;2014;53.3
023;2015;51.6
024;2000;48.2
024;2001;48.8
024;2002;49.0
024;2003;49.3
024;2004;47.0
024;2005;49.2
024;2006;50.7
024;2007;49.1
024;2008;49.7
024;2009;50.5
024;2010;50.7
024;2011;52.0
024;2012;49.0
024;2013;49.9
024;2014;49.0
024;2015;48.7
025;2000;45.0
025;2001;45.6
025;2002;44.7
025;2003;44.1
025;2004;44.7
025;2005;44.9
025;2006;44.4
025;2007;44.5
025;2008;44.4
025;2009;44.8
025;2010;44.1
025;2011;43.8
025;2012;44.2
025;2013;45.8
025;2014;45.7
025;2015;44.7
026;2000;51.5
026;2001;53.4
026;2002;53.6
026;2003;50.9
026;2004;51.2
026;2005;51.2
026;2006;53.2
026;2007;52.2
026;2008;51.7
026;2009;51.3
026;2010;50.5
026;2011;50.3
026;2012;53.0
026;2013;50.8
026;2014;49.3
026;2015;52.8
031;2000;45.3
031;2001;43.8
031;2002;44.8
031;2003;45.1
031;2004;45.0
031;2005;45.3
031;2006;44.4
031;2007;44.8
031;2008;44.6
031;2009;45.0
031;2010;45.0
031;2011;45.2
031;2012;44.6
031;2013;44.8
031;2014;45.2
031;2015;45.9
032;2000;44.7
032;2001;44.9
032;2002;44.9
032;2003;45.6
032;2004;45.2
032;2005;45.8
032;2006;44.9
032;2007;44.2
032;2008;43.9
032;2009;44.8
032;2010;45.2
032;2011;45.5
032;2012;45.7
032;2013;45.5
032;2014;46.1
032;2015;46.1
033;2000;46.9
033;2001;46.7
033;2002;46.5
033;2003;46.1
033;2004;45.9
033;2005;46.2
033;2006;45.9
033;2007;46.0
033;2008;46.1
033;2009;46.3
033;2010;47.0
033;2011;47.3
033;2012;47.3
033;2013;47.0
033;2014;46.9
033;2015;46.5
034;2000;51.1
034;2001;49.7
034;2002;51.6
034;2003;49.7
034;2004;53.4
034;2005;60.8
034;2006;63.0
034;2007;60.7
034;2008;61.8
034;2009;63.8
034;2010;59.3
034;2011;56.5
034;2012;59.5
034;2013;58.3
034;2014;57.9
034;2015;57.6
041;2000;45.7
041;2001;45.4
041;2002;44.8
041;2003;46.0
041;2004;45.7
041;2005;45.2
041;2006;45.4
041;2007;45.8
041;2008;46.3
041;2009;46.7
041;2010;46.7
041;2011;46.9
041;2012;46.5
041;2013;46.8
041;2014;47.2
041;2015;47.6
042;2000;45.5
042;2001;45.1
042;2002;45.0
042;2003;45.3
042;2004;45.1
042;2005;45.4
042;2006;45.6
042;2007;45.4
042;2008;45.4
042;2009;45.2
042;2010;45.1
042;2011;45.5
042;2012;45.4
042;2013;45.0
042;2014;45.5
042;2015;45.8
051;2000;65.1
051;2001;69.7
051;2002;67.1
051;2003;59.6
051;2004;59.3
051;2005;61.4
