wbe;jahr;anteil_roemischkatholisch
011;2000;14.6
011;2001;14.4
011;2002;13.8
011;2003;11.9
011;2004;14.3
011;2005;12.9
011;2006;13.0
011;2007;12.7
011;2008;12.0
011;2009;12.3
011;2010;10.2
011;2011;10.0
011;2012;12.7
011;2013;11.4
011;2014;11.6
011;2015;12.1
012;2000;18.0
012;2001;17.1
012;2002;19.3
012;2003;18.0
012;2004;17.1
012;2005;17.3
012;2006;17.0
012;2007;17.2
012;2008;16.8
012;2009;16.5
012;2010;14.4
012;2011;15.1
012;2012;15.9
012;2013;16.0
012;2014;15.2
012;2015;13.2
013;2000;14.9
013;2001;15.1
013;2002;17.0
013;2003;14.8
013;2004;16.3
013;2005;15.0
013;2006;15.2
013;2007;15.0
013;2008;14.1
013;2009;13.8
013;2010;11.6
013;2011;12.4
013;2012;12.9
013;2013;11.8
013;2014;12.4
013;2015;11.2
014;2000;19.5
014;2001;20.4
014;2002;19.6
014;2003;20.3
014;2004;19.0
014;2005;18.6
014;2006;18.8
014;2007;17.3
014;2008;16.7
014;2009;16.4
014;2010;15.0
014;2011;16.9
014;2012;15.5
014;2013;13.9
014;2014;14.8
014;2015;14.2
021;2000;20.4
021;2001;18.9
021;2002;18.6
021;2003;17.2
021;2004;17.6
021;2005;17.1
021;2006;16.4
021;2007;16.5
021;2008;16.8
021;2009;17.2
021;2010;18.0
021;2011;16.7
021;2012;16.0
021;2013;17.4
021;2014;15.5
021;2015;15.0
022;2000;18.7
022;2001;19.5
022;2002;20.1
022;2003;18.9
022;2004;17.3
022;2005;16.5
022;2006;16.8
022;2007;14.7
022;2008;16.0
022;2009;16.4
022;2010;16.3
022;2011;15.7
022;2012;14.1
022;2013;12.9
022;2014;10.5
022;2015;11.7
023;2000;20.1
023;2001;22.8
023;2002;21.3
023;2003;20.4
023;2004;19.6
023;2005;20.6
023;2006;20.4
023;2007;19.2
023;2008;18.4
023;2009;17.4
023;2010;16.0
023;2011;15.8
023;2012;16.7
023;2013;15.9
023;2014;15.9
023;2015;15.2
024;2000;22.2
024;2001;20.5
024;2002;21.3
024;2003;21.2
024;2004;21.1
024;2005;22.0
024;2006;23.0
024;2007;23.3
024;2008;20.8
024;2009;20.9
024;2010;20.3
024;2011;20.3
024;2012;19.3
024;2013;19.0
024;2014;19.6
024;2015;18.0
025;2000;18.5
025;2001;16.9
025;2002;17.0
025;2003;17.0
025;2004;16.1
025;2005;16.1
025;2006;15.7
025;2007;15.9
025;2008;15.4
025;2009;14.7
025;2010;13.9
025;2011;12.9
025;2012;13.3
025;2013;14.0
025;2014;13.5
025;2015;13.0
026;2000;9.4
026;2001;10.7
026;2002;12.6
026;2003;12.1
026;2004;12.6
026;2005;14.3
026;2006;13.3
026;2007;14.5
026;2008;12.4
026;2009;12.3
026;2010;12.0
026;2011;10.7
026;2012;12.0
026;2013;11.1
026;2014;10.9
026;2015;12.8
031;2000;21.9
031;2001;20.6
031;2002;20.3
031;2003;18.9
031;2004;18.6
031;2005;18.8
031;2006;18.3
031;2007;17.9
031;2008;17.7
031;2009;17.3
031;2010;16.1
031;2011;15.6
031;2012;15.8
031;2013;15.2
031;2014;15.3
031;2015;15.5
032;2000;21.6
032;2001;21.1
032;2002;20.2
032;2003;18.7
032;2004;18.7
032;2005;18.3
032;2006;17.7
032;2007;17.4
032;2008;17.3
032;2009;16.5
032;2010;16.0
032;2011;14.6
032;2012;14.3
032;2013;14.0
032;2014;13.6
032;2015;13.6
033;2000;21.4
033;2001;21.2
033;2002;20.7
033;2003;20.5
033;2004;20.5
033;2005;20.7
033;2006;20.2
033;2007;19.6
033;2008;18.8
033;2009;18.1
033;2010;17.8
033;2011;17.3
033;2012;17.1
033;2013;16.5
033;2014;16.9
033;2015;17.0
034;2000;23.2
034;2001;21.2
034;2002;17.2
034;2003;18.2
034;2004;21.1
034;2005;21.2
034;2006;22.5
034;2007;19.2
034;2008;19.3
034;2009;17.9
034;2010;15.5
034;2011;18.6
034;2012;19.5
034;2013;19.0
034;2014;18.7
034;2015;15.6
041;2000;18.9
041;2001;18.6
041;2002;18.6
041;2003;18.3
041;2004;17.5
041;2005;17.4
041;2006;17.1
041;2007;17.0
041;2008;17.6
041;2009;16.5
041;2010;16.2
041;2011;15.8
041;2012;15.3
041;2013;15.4
041;2014;14.6
041;2015;14.6
042;2000;20.5
042;2001;20.2
042;2002;19.7
042;2003;19.4
042;2004;18.9
042;2005;17.9
042;2006;17.0
042;2007;17.2
042;2008;16.7
042;2009;16.4
042;2010;16.2
042;2011;16.0
042;2012;15.3
042;2013;15.0
042;2014;14.5
042;2015;14.1
051;2000;17.5
051;2001;18.4
051;2002;21.4
051;2003;24.6
051;2004;28.8
051;2005;24.6
051;2006;25.0
051;2007;30.0
051;2008;22.5
051;2009;17.5
051;2010;12.2
051;2011;11.9
051;2012;8.7
051;2013;13.7
051;2014;10.5
051;2015;12.3
052;2000;26.1
052;2001;25.4
052;2002;24.9
052;2003;24.3
052;2004;24.3
052;2005;23.5
052;2006;22.7
052;2007;23.1
052;2008;21.8
052;2009;21.4
052;2010;19.9
052;2011;19.8
052;2012;19.0
052;2013;16.9
052;2014;16.7
052;2015;16.2
053;2000;19.7
053;2001;19.3
053;2002;19.6
053;2003;19.2
053;2004;18.8
053;2005;18.1
053;2006;18.0
053;2007;17.8
053;2008;17.4
053;2009;16.2
053;2010;16.0
053;2011;15.6
053;2012;15.2
053;2013;14.7
053;2014;14.5
053;2015;14.4
054;2000;22.7
054;2001;21.6
054;2002;21.0
054;2003;21.3
054;2004;21.7
054;2005;20.7
054;2006;21.0
054;2007;20.7
054;2008;20.1
054;2009;19.1
054;2010;18.3
054;2011;17.9
054;2012;17.2
054;2013;17.7
054;2014;17.0
054;2015;17.2
055;2000;21.8
055;2001;20.7
055;2002;20.8
055;2003;21.1
055;2004;21.3
055;2005;21.1
055;2006;20.6
055;2007;17.2
055;2008;18.4
055;2009;18.5
055;2010;17.6
055;2011;16.6
055;2012;16.8
055;2013;16.5
055;2014;16.0
055;2015;15.4
061;2000;18.5
061;2001;18.6
061;2002;17.5
061;2003;17.5
061;2004;16.9
061;2005;16.6
061;2006;16.8
061;2007;16.2
061;2008;16.2
061;2009;15.5
061;2010;14.2
061;2011;13.5
061;2012;13.9
061;2013;13.5
061;2014;13.3
061;2015;13.0
062;2000;19.3
062;2001;19.2
062;2002;18.7
062;2003;18.3
062;2004;17.5
062;2005;17.1
062;2006;17.0
062;2007;16.6
062;2008;16.7
062;2009;16.3
062;2010;15.3
062;2011;14.7
062;2012;14.4
062;2013;14.2
062;2014;14.4
062;2015;14.4
063;2000;21.7
063;2001;21.0
063;2002;20.6
063;2003;20.7
063;2004;19.7
063;2005;19.0
063;2006;18.5
063;2007;17.3
063;2008;16.6
063;2009;17.0
063;2010;16.5
063;2011;16.4
063;2012;15.8
063;2013;15.8
063;2014;15.8
063;2015;14.7
071;2000;21.7
071;2001;21.3
071;2002;21.2
071;2003;20.7
071;2004;19.8
071;2005;19.6
071;2006;19.9
071;2007;20.1
071;2008;19.7
071;2009;19.2
071;2010;19.0
071;2011;18.8
071;2012;18.6
071;2013;18.2
071;2014;18.1
071;2015;18.3
072;2000;23.2
072;2001;22.9
072;2002;22.0
072;2003;21.9
072;2004;21.2
072;2005;21.4
072;2006;20.6
072;2007;19.2
072;2008;18.6
072;2009;18.1
072;2010;17.5
072;2011;17.1
072;2012;16.8
072;2013;16.7
072;2014;17.0
072;2015;17.4
073;2000;24.9
073;2001;23.9
073;2002;21.1
073;2003;19.9
073;2004;17.8
073;2005;19.3
073;2006;18.6
