wbe;jahr;anteil_sess10
011;2000;45.8
011;2001;45.5
011;2002;49.6
011;2003;48.4
011;2004;45.5
011;2005;42.9
011;2006;42.7
011;2007;41.4
011;2008;42.6
011;2009;41.3
011;2010;37.5
011;2011;37.2
011;2012;35.0
011;2013;36.6
011;2014;38.0
011;2015;41.5
012;2000;27.1
012;2001;28.3
012;2002;31.4
012;2003;29.9
012;2004;29.9
012;2005;30.7
012;2006;32.2
012;2007;31.9
012;2008;33.3
012;2009;34.0
012;2010;32.1
012;2011;33.0
012;2012;33.1
012;2013;29.9
012;2014;30.6
012;2015;30.3
013;2000;30.2
013;2001;30.3
013;2002;28.8
013;2003;30.6
013;2004;30.1
013;2005;30.8
013;2006;30.6
013;2007;32.5
013;2008;31.3
013;2009;34.3
013;2010;33.5
013;2011;31.5
013;2012;32.7
013;2013;31.1
013;2014;30.6
013;2015;30.6
014;2000;35.9
014;2001;36.6
014;2002;35.8
014;2003;34.8
014;2004;35.9
014;2005;34.1
014;2006;36.6
014;2007;37.7
014;2008;38.0
014;2009;40.3
014;2010;37.6
014;2011;37.2
014;2012;35.6
014;2013;35.0
014;2014;34.8
014;2015;33.4
021;2000;38.7
021;2001;39.1
021;2002;39.3
021;2003;40.4
021;2004;40.2
021;2005;38.6
021;2006;38.2
021;2007;38.5
021;2008;36.6
021;2009;33.2
021;2010;32.9
021;2011;29.4
021;2012;27.3
021;2013;26.6
021;2014;27.7
021;2015;26.7
022;2000;39.1
022;2001;40.0
022;2002;39.8
022;2003;37.5
022;2004;37.7
022;2005;34.0
022;2006;33.8
022;2007;32.6
022;2008;30.4
022;2009;30.5
022;2010;30.9
022;2011;29.4
022;2012;29.0
022;2013;26.7
022;2014;27.4
022;2015;26.8
023;2000;30.2
023;2001;30.1
023;2002;30.3
023;2003;28.5
023;2004;29.0
023;2005;27.9
023;2006;29.9
023;2007;30.1
023;2008;28.8
023;2009;27.9
023;2010;25.2
023;2011;24.9
023;2012;25.1
023;2013;23.3
023;2014;20.9
023;2015;21.2
024;2000;34.0
024;2001;34.0
024;2002;34.0
024;2003;33.2
024;2004;32.4
024;2005;31.5
024;2006;32.1
024;2007;31.3
024;2008;30.9
024;2009;27.5
024;2010;26.3
024;2011;24.5
024;2012;25.4
024;2013;23.3
024;2014;22.9
024;2015;22.0
025;2000;45.7
025;2001;44.7
025;2002;43.8
025;2003;43.6
025;2004;42.3
025;2005;40.9
025;2006;38.8
025;2007;39.6
025;2008;38.9
025;2009;36.9
025;2010;35.7
025;2011;36.7
025;2012;36.2
025;2013;34.8
025;2014;32.4
025;2015;32.5
026;2000;31.2
026;2001;32.5
026;2002;30.2
026;2003;37.4
026;2004;41.9
026;2005;45.2
026;2006;47.7
026;2007;50.4
026;2008;49.3
026;2009;48.7
026;2010;50.5
026;2011;46.2
026;2012;47.0
026;2013;46.7
026;2014;45.3
026;2015;49.2
031;2000;31.6
031;2001;31.5
031;2002;30.5
031;2003;29.4
031;2004;29.6
031;2005;29.7
031;2006;29.7
031;2007;29.6
031;2008;29.0
031;2009;28.2
031;2010;28.4
031;2011;26.9
031;2012;27.5
031;2013;26.3
031;2014;25.7
031;2015;25.3
032;2000;37.0
032;2001;37.1
032;2002;35.4
032;2003;34.9
032;2004;33.7
032;2005;33.6
032;2006;33.9
032;2007;34.8
032;2008;35.3
032;2009;35.2
032;2010;33.6
032;2011;33.6
032;2012;33.1
032;2013;33.1
032;2014;33.6
032;2015;33.7
033;2000;37.4
033;2001;37.5
033;2002;35.9
033;2003;34.3
033;2004;34.5
033;2005;33.3
033;2006;34.9
033;2007;34.4
033;2008;34.1
033;2009;34.3
033;2010;33.2
033;2011;31.3
033;2012;32.1
033;2013;32.1
033;2014;32.6
033;2015;32.7
034;2000;19.5
034;2001;18.4
034;2002;19.4
034;2003;19.3
034;2004;20.1
034;2005;24.4
034;2006;21.6
034;2007;23.7
034;2008;25.5
034;2009;24.3
034;2010;23.2
034;2011;21.5
034;2012;18.1
034;2013;21.1
034;2014;22.1
034;2015;24.9
041;2000;35.7
041;2001;34.6
041;2002;35.1
041;2003;35.6
041;2004;35.9
041;2005;35.0
041;2006;34.3
041;2007;34.1
041;2008;34.2
041;2009;34.9
041;2010;34.8
041;2011;34.8
041;2012;34.0
041;2013;33.8
041;2014;33.4
041;2015;32.9
042;2000;47.1
042;2001;46.0
042;2002;45.5
042;2003;43.4
042;2004;42.2
042;2005;40.9
042;2006;39.9
042;2007;39.6
042;2008;38.2
042;2009;37.5
042;2010;38.0
042;2011;37.5
042;2012;36.5
042;2013;37.3
042;2014;37.3
042;2015;37.9
051;2000;11.1
051;2001;15.8
051;2002;21.4
051;2003;19.3
051;2004;30.5
051;2005;22.8
051;2006;22.2
051;2007;38.8
051;2008;36.6
051;2009;41.3
051;2010;22.0
051;2011;19.0
051;2012;17.4
051;2013;15.7
051;2014;14.0
051;2015;14.0
052;2000;49.8
052;2001;48.6
052;2002;47.7
052;2003;45.5
052;2004;44.9
052;2005;45.0
052;2006;43.0
052;2007;42.0
052;2008;42.1
052;2009;39.4
052;2010;38.2
052;2011;36.5
052;2012;35.5
052;2013;34.8
052;2014;33.6
052;2015;33.8
053;2000;42.3
053;2001;42.1
053;2002;40.4
053;2003;40.1
053;2004;38.4
053;2005;37.0
053;2006;36.5
053;2007;36.9
053;2008;36.7
053;2009;36.2
053;2010;35.7
053;2011;34.7
053;2012;33.9
053;2013;33.3
053;2014;34.0
053;2015;34.5
054;2000;56.1
054;2001;56.5
054;2002;54.6
054;2003;53.4
054;2004;49.6
054;2005;47.0
054;2006;47.4
054;2007;46.4
054;2008;45.9
054;2009;44.0
054;2010;41.9
054;2011;39.9
054;2012;39.8
054;2013;40.0
054;2014;39.3
054;2015;38.5
055;2000;50.4
055;2001;49.0
055;2002;42.8
055;2003;41.0
055;2004;39.9
055;2005;38.2
055;2006;38.5
055;2007;36.7
055;2008;34.3
055;2009;32.4
055;2010;33.3
055;2011;32.4
055;2012;33.1
055;2013;33.4
055;2014;31.0
055;2015;31.8
061;2000;33.7
061;2001;33.7
061;2002;32.6
061;2003;30.9
061;2004;32.0
061;2005;31.5
061;2006;31.5
061;2007;32.0
061;2008;32.1
061;2009;32.0
061;2010;32.9
061;2011;31.7
061;2012;31.7
061;2013;31.2
061;2014;31.2
061;2015;31.4
062;2000;33.1
062;2001;32.4
062;2002;30.8
062;2003;29.7
062;2004;28.8
062;2005;28.1
062;2006;28.3
062;2007;28.8
062;2008;29.0
062;2009;29.8
062;2010;29.8
062;2011;28.8
062;2012;29.7
062;2013;30.9
062;2014;31.5
062;2015;32.0
063;2000;31.7
063;2001;30.3
063;2002;28.9
063;2003;27.6
063;2004;27.8
063;2005;27.4
063;2006;26.5
063;2007;25.9
063;2008;26.3
063;2009;26.1
063;2010;26.5
063;2011;26.8
063;2012;27.1
063;2013;27.3
063;2014;27.1
063;2015;27.0
071;2000;46.0
071;2001;45.1
071;2002;44.9
071;2003;44.5
071;2004;44.3
071;2005;43.6
071;2006;43.8
071;2007;43.2
071;2008;42.2
071;2009;41.9
071;2010;42.4
071;2011;41.1
071;2012;40.4
071;2013;39.8
071;2014;40.3
071;2015;39.9
072;2000;49.4
072;2001;48.3
072;2002;47.9
072;2003;47.8
072;2004;47.4
072;2005;46.5
072;2006;47.7
072;2007;48.0
072;2008;47.3
072;2009;46.9
072;2010;46.9
072;2011;47.0
072;2012;47.3
072;2013;46.9
072;2014;46.3
072;2015;45.8
073;2000;49.4
073;2001;48.6
073;2002;47.8
073;2003;56.1
073;2004;57.3
073;2005;55.9
073;2006;58.5
073;2007;56.7
073;2008;55.7
073;2009;48.6
073;2010;44.4
073;2011;47.4
073;2012;45.2
073;2013;45.9
073;2014;48.3
073;2015;51.1
081;2000;38.5
081;2001;39.6
081;2002;38.4
081;2003;38.9
081;2004;39.0
081;2005;39.8
081;2006;40.8
081;2007;41.4
081;2008;41.5
081;2009;41.4
081;2010;41.3
081;2011;40.1
081;2012;40.0
081;2013;39.8
081;2014;40.6
081;2015;40.4
082;2000;52.7
082;2001;50.4
082;2002;50.6
082;2003;49.9
082;2004;49.5
082;2005;49.1
082;2006;47.5
082;2007;45.4
082;2008;43.9
082;2009;43.2
082;2010;43.6
082;2011;43.0
082;2012;42.7
082;2013;42.7
082;2014;42.1
082;2015;41.4
083;2000;44.2
083;2001;43.9
083;2002;43.1
083;2003;40.9
083;2004;39.3
083;2005;38.3
083;2006;38.2
083;2007;39.2
083;2008;37.4
083;2009;36.6
083;2010;37.5
083;2011;37.5
083;2012;37.1
083;2013;36.4
083;2014;36.9
083;2015;36.2
084;2000;42.8
084;2001;43.3
084;2002;43.3
084;2003;42.5
084;2004;41.3
084;2005;42.3
084;2006;43.5
084;2007;41.8
084;2008;44.6
084;2009;44.3
084;2010;44.0
084;2011;42.1
084;2012;42.8
084;2013;41.2
084;2014;41.8
084;2015;41.7
085;2000;45.9
085;2001;45.8
085;2002;45.9
085;2003;45.6
085;2004;44.6
085;2005;44.0
085;2006;43.4
085;2007;43.1
085;2008;43.7
085;2009;44.3
085;2010;44.8
085;2011;44.9
085;2012;44.4
085;2013;44.9
085;2014;45.2
085;2015;45.3
091;2000;37.2
091;2001;36.9
091;2002;35.6
091;2003;34.9
091;2004;35.3
091;2005;34.4
091;2006;34.1
091;2007;33.9
091;2008;33.1
091;2009;32.5
091;2010;32.5
091;2011;31.2
091;2012;32.0
091;2013;32.8
091;2014;34.2
091;2015;33.5
092;2000;47.5
092;2001;46.1
092;2002;45.6
092;2003;45.2
092;2004;44.2
092;2005;43.4
092;2006;43.8
092;2007;42.2
092;2008;42.0
092;2009;41.4
092;2010;41.2
092;2011;39.7
092;2012;39.2
092;2013;40.7
092;2014;41.1
092;2015;40.5
101;2000;34.1
101;2001;33.5
101;2002;32.3
101;2003;31.1
101;2004;31.0
101;2005;30.5
101;2006;30.0
