wbe;jahr;anteil_ueber64
011;2000;13.9
011;2001;15.8
011;2002;16.0
011;2003;17.2
011;2004;18.2
011;2005;17.5
011;2006;18.8
011;2007;19.5
011;2008;22.3
011;2009;24.6
011;2010;28.0
011;2011;30.3
011;2012;30.0
011;2013;26.7
011;2014;27.1
011;2015;28.3
012;2000;13.9
012;2001;14.8
012;2002;15.0
012;2003;14.6
012;2004;15.2
012;2005;13.9
012;2006;14.3
012;2007;14.5
012;2008;14.9
012;2009;14.9
012;2010;14.1
012;2011;17.4
012;2012;18.7
012;2013;19.0
012;2014;18.0
012;2015;17.1
013;2000;10.5
013;2001;9.7
013;2002;9.5
013;2003;10.1
013;2004;10.4
013;2005;12.3
013;2006;13.1
013;2007;14.3
013;2008;13.4
013;2009;14.5
013;2010;15.4
013;2011;14.3
013;2012;15.1
013;2013;15.3
013;2014;15.4
013;2015;16.3
014;2000;18.3
014;2001;18.9
014;2002;18.5
014;2003;18.7
014;2004;18.7
014;2005;19.1
014;2006;21.1
014;2007;22.3
014;2008;21.7
014;2009;23.9
014;2010;24.1
014;2011;23.4
014;2012;22.9
014;2013;23.2
014;2014;24.6
014;2015;24.6
021;2000;22.2
021;2001;22.2
021;2002;20.0
021;2003;19.7
021;2004;20.3
021;2005;21.0
021;2006;21.1
021;2007;21.9
021;2008;20.7
021;2009;20.1
021;2010;21.3
021;2011;21.2
021;2012;19.8
021;2013;19.2
021;2014;18.7
021;2015;18.8
022;2000;24.6
022;2001;23.7
022;2002;23.3
022;2003;22.1
022;2004;21.4
022;2005;19.8
022;2006;19.5
022;2007;19.3
022;2008;18.4
022;2009;18.8
022;2010;17.7
022;2011;18.5
022;2012;19.7
022;2013;18.1
022;2014;16.6
022;2015;16.0
023;2000;22.0
023;2001;21.2
023;2002;19.7
023;2003;18.7
023;2004;19.4
023;2005;19.5
023;2006;18.6
023;2007;19.1
023;2008;20.5
023;2009;21.5
023;2010;22.0
023;2011;22.6
023;2012;22.2
023;2013;22.3
023;2014;21.0
023;2015;21.5
024;2000;31.0
024;2001;31.9
024;2002;30.5
024;2003;30.6
024;2004;31.1
024;2005;31.0
024;2006;31.2
024;2007;31.7
024;2008;29.1
024;2009;28.4
024;2010;28.1
024;2011;28.1
024;2012;27.1
024;2013;25.7
024;2014;26.8
024;2015;26.5
025;2000;34.8
025;2001;34.2
025;2002;34.3
025;2003;35.1
025;2004;35.4
025;2005;36.0
025;2006;36.8
025;2007;39.6
025;2008;40.8
025;2009;39.0
025;2010;38.9
025;2011;38.4
025;2012;38.2
025;2013;37.6
025;2014;36.1
025;2015;35.9
026;2000;8.4
026;2001;7.8
