wbe;jahr;anteil_unter20
011;2000;8.7
011;2001;9.9
011;2002;9.2
011;2003;9.5
011;2004;8.0
011;2005;9.6
011;2006;6.8
011;2007;8.1
011;2008;8.6
011;2009;7.6
011;2010;10.2
011;2011;10.7
011;2012;10.0
011;2013;13.6
011;2014;12.7
011;2015;12.5
012;2000;8.6
012;2001;8.9
012;2002;7.5
012;2003;8.9
012;2004;9.3
012;2005;9.7
012;2006;10.8
012;2007;9.2
012;2008;9.6
012;2009;8.9
012;2010;8.5
012;2011;7.9
012;2012;7.8
012;2013;9.1
012;2014;9.3
012;2015;8.7
013;2000;10.7
013;2001;12.0
013;2002;11.2
013;2003;10.8
013;2004;10.6
013;2005;9.8
013;2006;10.1
013;2007;10.3
013;2008;11.8
013;2009;10.8
013;2010;11.0
013;2011;11.3
013;2012;12.0
013;2013;10.8
013;2014;9.6
013;2015;11.0
014;2000;8.0
014;2001;7.6
014;2002;8.6
014;2003;7.7
014;2004;8.4
014;2005;7.8
014;2006;6.5
014;2007;6.8
014;2008;6.1
014;2009;6.6
014;2010;6.4
014;2011;7.0
014;2012;7.5
014;2013;7.5
014;2014;7.7
014;2015;6.8
021;2000;10.1
021;2001;9.8
021;2002;8.9
021;2003;9.0
021;2004;9.2
021;2005;9.4
021;2006;8.3
021;2007;8.6
021;2008;8.6
021;2009;9.4
021;2010;8.7
021;2011;9.9
021;2012;10.3
021;2013;11.0
021;2014;11.0
021;2015;12.1
022;2000;7.9
022;2001;8.0
022;2002;9.2
022;2003;10.5
022;2004;9.7
022;2005;10.3
022;2006;10.9
022;2007;10.6
022;2008;11.2
022;2009;10.2
022;2010;12.2
022;2011;11.3
022;2012;11.1
022;2013;11.2
022;2014;11.0
022;2015;11.5
023;2000;5.8
023;2001;5.5
023;2002;6.4
023;2003;5.5
023;2004;4.9
023;2005;5.9
023;2006;6.8
023;2007;7.1
023;2008;7.1
023;2009;7.2
023;2010;7.0
023;2011;6.6
023;2012;7.1
023;2013;6.2
023;2014;5.6
023;2015;6.9
024;2000;4.7
024;2001;4.4
024;2002;5.4
024;2003;5.0
024;2004;5.4
024;2005;4.8
024;2006;4.8
024;2007;3.9
024;2008;4.0
024;2009;5.2
024;2010;6.4
024;2011;5.8
024;2012;6.2
024;2013;6.8
024;2014;7.4
024;2015;7.4
025;2000;8.5
025;2001;9.1
025;2002;8.3
025;2003;8.3
025;2004;8.7
025;2005;8.9
025;2006;9.1
025;2007;8.6
025;2008;7.7
025;2009;8.6
025;2010;8.1
025;2011;8.4
025;2012;8.9
025;2013;10.2
025;2014;11.6
025;2015;11.8
026;2000;13.4
026;2001;14.1
026;2002;14.9
026;2003;13.1
026;2004;11.6
026;2005;10.6
026;2006;9.6
026;2007;9.6
026;2008;9.0
026;2009;9.2
026;2010;12.5
026;2011;12.2
026;2012;12.5
026;2013;11.6
026;2014;8.5
026;2015;9.7
031;2000;14.0
031;2001;13.7
031;2002;13.5
031;2003;13.2
031;2004;13.3
031;2005;13.1
031;2006;13.1
031;2007;12.7
031;2008;12.9
031;2009;12.4
031;2010;12.0
031;2011;11.6
031;2012;12.0
031;2013;11.4
031;2014;11.9
031;2015;12.4
032;2000;13.6
032;2001;13.6
032;2002;14.5
032;2003;15.4
032;2004;15.0
032;2005;14.7
032;2006;14.8
032;2007;14.4
032;2008;13.4
032;2009;13.8
032;2010;14.1
032;2011;13.8
032;2012;13.8
032;2013;14.1
032;2014;14.4
032;2015;14.3
033;2000;12.2
033;2001;11.8
033;2002;11.8
033;2003;11.7
033;2004;11.2
033;2005;11.9
033;2006;11.6
033;2007;11.7
033;2008;11.7
033;2009;11.6
033;2010;11.7
033;2011;11.8
033;2012;12.3
033;2013;12.4
033;2014;12.7
033;2015;12.8
034;2000;6.3
034;2001;8.9
034;2002;7.5
034;2003;9.1
034;2004;8.3
034;2005;6.9
034;2006;6.2
034;2007;9.1
034;2008;9.0
034;2009;9.2
034;2010;8.2
034;2011;9.0
