wbe;jahr;anteil_weiblich
011;2000;50.7
011;2001;52.4
011;2002;51.4
011;2003;49.8
011;2004;50.3
011;2005;51.8
011;2006;48.5
011;2007;47.9
011;2008;49.1
011;2009;50.4
011;2010;50.4
011;2011;51.3
011;2012;51.9
011;2013;50.9
011;2014;50.0
011;2015;50.4
012;2000;45.6
012;2001;45.4
012;2002;46.1
012;2003;46.6
012;2004;45.6
012;2005;44.4
012;2006;43.5
012;2007;42.2
012;2008;41.3
012;2009;43.5
012;2010;45.1
012;2011;45.0
012;2012;46.5
012;2013;48.1
012;2014;48.1
012;2015;47.9
013;2000;50.8
013;2001;50.3
013;2002;51.3
013;2003;51.2
013;2004;50.8
013;2005;51.2
013;2006;51.9
013;2007;51.6
013;2008;50.4
013;2009;51.2
013;2010;53.2
013;2011;51.4
013;2012;51.5
013;2013;51.7
013;2014;50.4
013;2015;48.7
014;2000;51.3
014;2001;53.2
014;2002;51.8
014;2003;52.0
014;2004;52.2
014;2005;53.2
014;2006;52.4
014;2007;53.3
014;2008;52.8
014;2009;51.9
014;2010;51.5
014;2011;51.3
014;2012;52.0
014;2013;51.4
014;2014;51.1
014;2015;48.9
021;2000;49.0
021;2001;49.6
021;2002;48.7
021;2003;49.6
021;2004;50.1
021;2005;50.5
021;2006;49.7
021;2007;49.9
021;2008;50.3
021;2009;51.3
021;2010;50.8
021;2011;51.5
021;2012;50.5
021;2013;50.9
021;2014;50.4
021;2015;49.5
022;2000;52.8
022;2001;51.3
022;2002;52.6
022;2003;52.7
022;2004;50.9
022;2005;50.9
022;2006;53.2
022;2007;53.3
022;2008;52.5
022;2009;52.7
022;2010;51.9
022;2011;50.8
022;2012;51.9
022;2013;49.9
022;2014;49.1
022;2015;50.3
023;2000;47.1
023;2001;46.3
023;2002;45.9
023;2003;46.6
023;2004;45.9
023;2005;43.5
023;2006;44.1
023;2007;43.9
023;2008;45.6
023;2009;47.5
023;2010;47.9
023;2011;47.0
023;2012;46.7
023;2013;46.7
023;2014;46.7
023;2015;48.4
024;2000;51.8
024;2001;51.2
024;2002;51.0
024;2003;50.7
024;2004;53.0
024;2005;50.8
024;2006;49.3
024;2007;50.9
024;2008;50.3
024;2009;49.5
024;2010;49.3
024;2011;48.0
024;2012;51.0
024;2013;50.1
024;2014;51.0
024;2015;51.3
025;2000;55.0
025;2001;54.4
025;2002;55.3
025;2003;55.9
025;2004;55.3
025;2005;55.1
025;2006;55.6
025;2007;55.5
025;2008;55.6
025;2009;55.2
025;2010;55.9
025;2011;56.2
025;2012;55.8
025;2013;54.2
025;2014;54.3
025;2015;55.3
026;2000;48.5
026;2001;46.6
026;2002;46.4
026;2003;49.1
026;2004;48.8
026;2005;48.8
026;2006;46.8
026;2007;47.8
026;2008;48.3
026;2009;48.7
026;2010;49.5
026;2011;49.7
026;2012;47.0
026;2013;49.2
026;2014;50.7
026;2015;47.2
031;2000;54.7
031;2001;56.2
031;2002;55.2
031;2003;54.9
031;2004;55.0
031;2005;54.7
031;2006;55.6
031;2007;55.2
031;2008;55.4
031;2009;55.0
031;2010;55.0
031;2011;54.8
031;2012;55.4
031;2013;55.2
031;2014;54.8
031;2015;54.1
032;2000;55.3
032;2001;55.1
032;2002;55.1
032;2003;54.4
032;2004;54.8
032;2005;54.2
032;2006;55.1
032;2007;55.8
032;2008;56.1
032;2009;55.2
032;2010;54.8
032;2011;54.5
032;2012;54.3
032;2013;54.5
032;2014;53.9
032;2015;53.9
033;2000;53.1
033;2001;53.3
033;2002;53.5
033;2003;53.9
033;2004;54.1
033;2005;53.8
033;2006;54.1
033;2007;54.0
033;2008;53.9
033;2009;53.7
033;2010;53.0
033;2011;52.7
033;2012;52.7
033;2013;53.0
033;2014;53.1
033;2015;53.5
034;2000;48.9
034;2001;50.3
034;2002;48.4
034;2003;50.3
034;2004;46.6
034;2005;39.2
034;2006;37.0
034;2007;39.3
034;2008;38.2
034;2009;36.2
034;2010;40.7
034;2011;43.5
034;2012;40.5
034;2013;41.7
034;2014;42.1
034;2015;42.4
041;2000;54.3
041;2001;54.6
041;2002;55.2
041;2003;54.0
041;2004;54.3
041;2005;54.8
041;2006;54.6
041;2007;54.2
041;2008;53.7
041;2009;53.3
041;2010;53.3
041;2011;53.1
041;2012;53.5
041;2013;53.2
041;2014;52.8
041;2015;52.4
042;2000;54.5
042;2001;54.9
042;2002;55.0
042;2003;54.7
042;2004;54.9
042;2005;54.6
042;2006;54.4
042;2007;54.6
042;2008;54.6
042;2009;54.8
042;2010;54.9
042;2011;54.5
042;2012;54.6
042;2013;55.0
042;2014;54.5
042;2015;54.2
051;2000;34.9
051;2001;30.3
051;2002;32.9
051;2003;40.4
051;2004;40.7
