wbe;jahr;anz_hunde
011;2016;6
012;2016;7
013;2016;14
014;2016;17
021;2016;36
022;2016;10
023;2016;15
024;2016;14
025;2016;42
026;2016;5
031;2016;40
032;2016;97
033;2016;72
034;2016;6
041;2016;89
042;2016;140
051;2016;3
052;2016;21
053;2016;192
054;2016;51
055;2016;23
061;2016;92
062;2016;108
063;2016;87
071;2016;158
072;2016;131
073;2016;18
081;2016;65
082;2016;41
083;2016;41
084;2016;32
085;2016;163
091;2016;88
092;2016;63
101;2016;112
102;2016;96
103;2016;104
111;2016;77
112;2016;34
113;2016;113
114;2016;35
115;2016;119
121;2016;26
122;2016;20
131;2016;23
132;2016;50
141;2016;71
142;2016;75
151;2016;99
152;2016;89
153;2016;99
161;2016;95
162;2016;44
171;2016;16
172;2016;63
173;2016;54
174;2016;143
180;2016;178
190;2016;103
201;2016;127
202;2016;101
203;2016;58
204;2016;60
205;2016;123
206;2016;90
207;2016;175
208;2016;92
301;2016;47
302;2016;1
011;2015;9
012;2015;7
013;2015;18
014;2015;12
021;2015;36
022;2015;11
023;2015;14
024;2015;12
025;2015;40
026;2015;5
031;2015;47
032;2015;95
033;2015;77
034;2015;4
041;2015;97
042;2015;130
051;2015;3
052;2015;21
053;2015;197
054;2015;56
055;2015;25
061;2015;93
062;2015;109
063;2015;82
071;2015;157
072;2015;127
073;2015;18
081;2015;62
082;2015;40
083;2015;46
084;2015;31
085;2015;163
091;2015;81
092;2015;63
101;2015;124
102;2015;90
103;2015;95
111;2015;68
112;2015;32
113;2015;106
114;2015;34
115;2015;123
121;2015;31
122;2015;19
131;2015;24
132;2015;47
141;2015;64
142;2015;72
151;2015;95
152;2015;99
153;2015;101
161;2015;99
162;2015;21
171;2015;22
172;2015;61
173;2015;56
174;2015;149
180;2015;170
190;2015;101
201;2015;119
202;2015;104
203;2015;54
204;2015;58
205;2015;125
206;2015;90
207;2015;187
208;2015;90
301;2015;51
302;2015;1
011;2014;9
012;2014;10
013;2014;16
014;2014;18
021;2014;35
022;2014;12
023;2014;18
024;2014;14
025;2014;32
026;2014;7
031;2014;52
032;2014;98
033;2014;74
034;2014;3
041;2014;101
042;2014;119
051;2014;4
052;2014;19
053;2014;200
054;2014;51
055;2014;23
061;2014;94
062;2014;108
063;2014;91
071;2014;157
072;2014;133
073;2014;15
081;2014;57
082;2014;43
083;2014;40
084;2014;31
085;2014;173
091;2014;79
092;2014;64
101;2014;124
102;2014;87
103;2014;110
111;2014;78
112;2014;37
113;2014;101
114;2014;42
115;2014;117
121;2014;31
122;2014;26
131;2014;21
132;2014;56
141;2014;58
142;2014;67
151;2014;90
152;2014;95
153;2014;99
161;2014;102
162;2014;11
171;2014;25
172;2014;66
173;2014;62
174;2014;150
180;2014;182
190;2014;105
201;2014;122
202;2014;97
203;2014;54
204;2014;49
205;2014;129
206;2014;92
207;2014;186
208;2014;84
301;2014;44
302;2014;1
