wbe;jahr;anz_vermittelt
021;2014;1
021;2013;1
031;2013;1
031;2014;2
032;2013;2
032;2014;2
033;2014;2
033;2013;2
034;2013;2
041;2013;3
042;2014;3
052;2013;2
053;2014;1
054;2014;1
055;2014;2
061;2013;3
061;2014;2
062;2013;4
062;2014;2
063;2014;6
063;2013;1
072;2013;1
081;2013;1
085;2014;1
091;2014;5
091;2013;3
092;2014;1
101;2013;7
101;2014;5
102;2013;2
102;2014;5
103;2014;6
103;2013;11
111;2014;2
111;2013;2
112;2014;1
113;2013;16
113;2014;7
114;2013;6
114;2014;5
115;2013;4
115;2014;2
121;2013;1
132;2013;2
132;2014;1
142;2013;1
142;2014;1
151;2013;1
153;2013;3
153;2014;2
161;2014;4
161;2013;4
162;2014;1
171;2013;1
172;2013;5
172;2014;2
173;2014;6
173;2013;2
174;2013;13
174;2014;13
180;2013;6
180;2014;13
190;2013;4
201;2014;1
201;2013;2
202;2014;2
202;2013;3
207;2013;1
022;2015;1
031;2015;1
033;2015;2
042;2015;7
053;2015;1
054;2015;1
061;2015;3
062;2015;5
063;2015;8
083;2015;2
085;2015;1
091;2015;3
092;2015;1
101;2015;3
102;2015;5
103;2015;10
111;2015;4
113;2015;5
114;2015;2
115;2015;3
131;2015;3
132;2015;2
141;2015;1
142;2015;1
153;2015;2
161;2015;3
171;2015;2
172;2015;1
173;2015;2
174;2015;9
180;2015;6
190;2015;4
202;2015;3
205;2015;1
207;2015;2
208;2015;1
022;2016;1
031;2016;2
032;2016;5
033;2016;1
034;2016;1
041;2016;1
042;2016;4
053;2016;1
054;2016;2
061;2016;4
062;2016;4
063;2016;5
071;2016;2
072;2016;1
073;2016;1
082;2016;1
083;2016;3
091;2016;3
101;2016;5
102;2016;5
103;2016;12
111;2016;2
113;2016;9
114;2016;3
115;2016;4
121;2016;1
131;2016;3
132;2016;3
152;2016;1
153;2016;2
161;2016;8
171;2016;1
172;2016;4
173;2016;6
174;2016;16
180;2016;28
190;2016;6
201;2016;1
202;2016;4
205;2016;2
207;2016;1
208;2016;1
