wbe;jahr;anzahl_al
011;2000;53
011;2001;53
011;2002;54
011;2003;51
011;2004;53
011;2005;61
011;2006;64
011;2007;71
011;2008;65
011;2009;65
011;2010;66
011;2011;61
011;2012;59
011;2013;73
011;2014;74
011;2015;69
012;2000;52
012;2001;54
012;2002;52
012;2003;67
012;2004;69
012;2005;88
012;2006;86
012;2007;97
012;2008;92
012;2009;111
012;2010;115
012;2011;117
012;2012;118
012;2013;125
012;2014;123
012;2015;122
013;2000;104
013;2001;102
013;2002;106
013;2003;106
013;2004;110
013;2005;111
013;2006;127
013;2007;153
013;2008;145
013;2009;130
013;2010;134
013;2011;153
013;2012;159
013;2013;164
013;2014;152
013;2015;152
014;2000;156
014;2001;159
014;2002;188
014;2003;192
014;2004;200
014;2005;206
014;2006;205
014;2007;212
014;2008;214
014;2009;180
014;2010;180
014;2011;190
014;2012;218
014;2013;225
014;2014;216
014;2015;225
021;2000;404
021;2001;391
021;2002;382
021;2003;392
021;2004;396
021;2005;415
021;2006;420
021;2007;411
021;2008;441
021;2009;480
021;2010;441
021;2011;497
021;2012;534
021;2013;547
021;2014;540
021;2015;562
022;2000;117
022;2001;124
022;2002;121
022;2003;120
022;2004;128
022;2005;144
022;2006;150
022;2007;153
022;2008;164
022;2009;172
022;2010;179
022;2011;179
022;2012;173
022;2013;191
022;2014;175
022;2015;208
023;2000;173
023;2001;186
023;2002;209
023;2003;210
023;2004;213
023;2005;218
023;2006;258
023;2007;281
023;2008;304
023;2009;297
023;2010;299
023;2011;275
023;2012;288
023;2013;293
023;2014;334
023;2015;331
024;2000;110
024;2001;122
024;2002;119
024;2003;119
024;2004;124
024;2005;130
024;2006;158
024;2007;158
024;2008;184
024;2009;205
024;2010;228
024;2011;229
024;2012;224
024;2013;262
024;2014;269
024;2015;282
025;2000;122
025;2001;132
025;2002;145
025;2003;162
025;2004;192
025;2005;217
025;2006;254
025;2007;252
025;2008;278
025;2009;314
025;2010;294
025;2011;293
025;2012;297
025;2013;349
025;2014;358
025;2015;388
026;2000;27
026;2001;39
026;2002;40
026;2003;32
026;2004;42
026;2005;45
026;2006;46
026;2007;48
026;2008;29
026;2009;32
026;2010;40
026;2011;44
026;2012;42
026;2013;43
026;2014;44
026;2015;46
031;2000;872
031;2001;847
031;2002;905
031;2003;1010
031;2004;1024
031;2005;1002
031;2006;992
031;2007;1015
031;2008;1043
031;2009;1077
031;2010;1049
031;2011;1119
031;2012;1138
031;2013;1214
031;2014;1268
031;2015;1252
032;2000;808
032;2001;827
032;2002;876
032;2003;896
032;2004;948
032;2005;975
032;2006;1004
032;2007;1035
032;2008;1065
032;2009;1087
032;2010;1053
032;2011;1089
032;2012;1089
032;2013;1099
032;2014;1119
032;2015;1120
033;2000;662
033;2001;684
033;2002;707
033;2003;755
033;2004;777
033;2005;834
033;2006;843
033;2007;869
033;2008;935
033;2009;968
033;2010;1009
033;2011;1063
033;2012;1125
033;2013;1184
033;2014;1141
033;2015;1164
034;2000;41
034;2001;38
034;2002;37
034;2003;43
034;2004;60
034;2005;74
034;2006;83
034;2007;79
034;2008;80
034;2009;87
034;2010;64
034;2011;51
034;2012;67
034;2013;84
034;2014;79
034;2015;71
041;2000;984
041;2001;1047
041;2002;1027
041;2003;1055
041;2004;1057
041;2005;1101
041;2006;1088
041;2007;1160
041;2008;1189
041;2009;1174
041;2010;1197
041;2011;1242
041;2012;1307
041;2013;1351
041;2014;1367
041;2015;1413
042;2000;1033
042;2001;1055
042;2002;1023
042;2003;1071
042;2004;1135
042;2005;1148
042;2006;1211
042;2007;1203
042;2008;1214
042;2009;1209
042;2010;1254
042;2011;1305
042;2012;1365
042;2013;1416
042;2014;1463
042;2015;1458
051;2000;29
051;2001;35
051;2002;28
051;2003;19
051;2004;24
051;2005;31
051;2006;45
051;2007;46
051;2008;41
051;2009;38
051;2010;17
051;2011;21
051;2012;22
051;2013;27
051;2014;28
051;2015;30
052;2000;187
052;2001;191
052;2002;194
052;2003;221
052;2004;234
052;2005;225
052;2006;265
052;2007;277
052;2008;316
052;2009;326
052;2010;324
052;2011;328
052;2012;332
052;2013;350
052;2014;368
052;2015;364
053;2000;1173
053;2001;1190
053;2002;1273
053;2003;1325
053;2004;1412
053;2005;1496
053;2006;1639
053;2007;1677
053;2008;1834
053;2009;1867
053;2010;1925
053;2011;1978
053;2012;2059
053;2013;2139
053;2014;2179
053;2015;2229
054;2000;197
054;2001;218
054;2002;231
054;2003;230
054;2004;274
054;2005;314
054;2006;354
054;2007;390
054;2008;378
054;2009;396
054;2010;454
054;2011;472
054;2012;481
054;2013;494
054;2014;507
054;2015;511
055;2000;205
055;2001;206
055;2002;190
055;2003;195
055;2004;193
055;2005;210
055;2006;196
055;2007;183
055;2008;205
055;2009;233
055;2010;234
055;2011;241
055;2012;248
055;2013;269
055;2014;278
055;2015;252
061;2000;2225
061;2001;2199
061;2002;2310
061;2003;2346
061;2004;2259
061;2005;2242
061;2006;2350
061;2007;2249
061;2008;2154
061;2009;2201
061;2010;2204
061;2011;2240
061;2012;2181
061;2013;2233
061;2014;2240
061;2015;2330
062;2000;2948
062;2001;2954
062;2002;2982
062;2003;3033
062;2004;3184
062;2005;3217
062;2006;3182
062;2007;3110
062;2008;3152
062;2009;3140
062;2010;3011
062;2011;3078
062;2012;3188
062;2013;3220
062;2014;3175
062;2015;3140
063;2000;1706
063;2001;1761
063;2002;1784
063;2003;1778
063;2004;1810
063;2005;1734
063;2006;1751
063;2007;1854
063;2008;1898
063;2009;1937
063;2010;1880
063;2011;1897
063;2012;1903
063;2013;1945
063;2014;2008
063;2015;1994
071;2000;703
071;2001;708
071;2002;733
071;2003;791
071;2004;829
071;2005;897
071;2006;914
071;2007;1017
071;2008;1082
071;2009;1175
071;2010;1198
071;2011;1271
071;2012;1343
071;2013;1392
071;2014;1377
071;2015;1401
072;2000;380
072;2001;415
072;2002;447
072;2003;443
072;2004;469
072;2005;486
072;2006;505
072;2007;517
072;2008;512
072;2009;517
072;2010;525
072;2011;558
072;2012;567
072;2013;592
072;2014;629
072;2015;629
073;2000;17
073;2001;26
073;2002;33
073;2003;38
073;2004;39
073;2005;42
073;2006;37
073;2007;34
073;2008;26
073;2009;46
073;2010;67
073;2011;73
073;2012;82
073;2013;80
073;2014;76
073;2015;65
081;2000;383
081;2001;377
081;2002;407
081;2003;405
081;2004;435
081;2005;463
081;2006;481
081;2007;491
081;2008;499
081;2009;507
081;2010;521
081;2011;537
081;2012;563
081;2013;603
081;2014;566
081;2015;586
082;2000;189
082;2001;228
082;2002;235
082;2003;244
082;2004;255
082;2005;239
082;2006;268
082;2007;290
082;2008;280
082;2009;304
082;2010;312
082;2011;342
082;2012;342
