wbe;jahr;anzahl_bs
011;2000;142
011;2001;156
011;2002;152
011;2003;152
011;2004;140
011;2005;143
011;2006;132
011;2007;135
011;2008;130
011;2009;122
011;2010;114
011;2011;120
011;2012;120
011;2013;123
011;2014;126
011;2015;126
012;2000;156
012;2001;159
012;2002;152
012;2003;144
012;2004;137
012;2005;133
012;2006;133
012;2007;131
012;2008;136
012;2009;136
012;2010;126
012;2011;132
012;2012;127
012;2013;131
012;2014;120
012;2015;129
013;2000;225
013;2001;244
013;2002;225
013;2003;220
013;2004;217
013;2005;207
013;2006;202
013;2007;209
013;2008;225
013;2009;222
013;2010;210
013;2011;216
013;2012;213
013;2013;211
013;2014;214
013;2015;224
014;2000;414
014;2001;396
014;2002;378
014;2003;372
014;2004;349
014;2005;348
014;2006;339
014;2007;345
014;2008;326
014;2009;318
014;2010;329
014;2011;332
014;2012;328
014;2013;319
014;2014;320
014;2015;314
021;2000;528
021;2001;544
021;2002;523
021;2003;494
021;2004;480
021;2005;463
021;2006;433
021;2007;434
021;2008;429
021;2009;430
021;2010;416
021;2011;418
021;2012;392
021;2013;398
021;2014;420
021;2015;405
022;2000;202
022;2001;201
022;2002;201
022;2003;192
022;2004;189
022;2005;197
022;2006;205
022;2007;194
022;2008;210
022;2009;210
022;2010;203
022;2011;178
022;2012;175
022;2013;162
022;2014;164
022;2015;161
023;2000;234
023;2001;222
023;2002;200
023;2003;205
023;2004;191
023;2005;191
023;2006;190
023;2007;193
023;2008;190
023;2009;190
023;2010;193
023;2011;200
023;2012;197
023;2013;196
023;2014;185
023;2015;183
024;2000;225
024;2001;233
024;2002;239
024;2003;227
024;2004;235
024;2005;234
024;2006;208
024;2007;193
024;2008;179
024;2009;187
024;2010;190
024;2011;169
024;2012;167
024;2013;173
024;2014;163
024;2015;174
025;2000;631
025;2001;617
025;2002;575
025;2003;545
025;2004;536
025;2005;529
025;2006;545
025;2007;558
025;2008;566
025;2009;541
025;2010;543
025;2011;511
025;2012;505
025;2013;502
025;2014;534
025;2015;538
026;2000;62
026;2001;61
026;2002;62
026;2003;65
026;2004;70
026;2005;71
026;2006;68
026;2007;74
026;2008;69
026;2009;67
026;2010;66
026;2011;64
026;2012;64
026;2013;62
026;2014;63
026;2015;59
031;2000;1044
031;2001;1018
031;2002;986
031;2003;972
031;2004;962
031;2005;950
031;2006;929
031;2007;910
031;2008;917
031;2009;895
031;2010;882
031;2011;842
031;2012;850
031;2013;873
031;2014;847
031;2015;850
032;2000;1393
032;2001;1362
032;2002;1389
032;2003;1370
032;2004;1389
032;2005;1381
032;2006;1391
032;2007;1390
032;2008;1392
032;2009;1371
032;2010;1354
032;2011;1366
032;2012;1370
032;2013;1319
032;2014;1288
032;2015;1295
033;2000;1419
033;2001;1406
033;2002;1413
033;2003;1400
033;2004;1383
033;2005;1384
033;2006;1324
033;2007;1346
033;2008;1328
033;2009;1308
033;2010;1313
033;2011;1290
033;2012;1306
033;2013;1293
033;2014;1282
