wbe;jahr;anzahl_ch
011;2000;235
011;2001;239
011;2002;228
011;2003;234
011;2004;233
011;2005;242
011;2006;229
011;2007;236
011;2008;226
011;2009;211
011;2010;198
011;2011;200
011;2012;201
011;2013;200
011;2014;210
011;2015;203
012;2000;343
012;2001;338
012;2002;321
012;2003;317
012;2004;306
012;2005;293
012;2006;284
012;2007;282
012;2008;283
012;2009;271
012;2010;275
012;2011;274
012;2012;278
012;2013;280
012;2014;266
012;2015;281
013;2000;439
013;2001;455
013;2002;440
013;2003;421
013;2004;418
013;2005;409
013;2006;399
013;2007;392
013;2008;407
013;2009;407
013;2010;392
013;2011;386
013;2012;391
013;2013;393
013;2014;413
013;2015;419
014;2000;740
014;2001;719
014;2002;704
014;2003;700
014;2004;682
014;2005;674
014;2006;642
014;2007;628
014;2008;608
014;2009;606
014;2010;612
014;2011;609
014;2012;625
014;2013;614
014;2014;620
014;2015;614
021;2000;1099
021;2001;1084
021;2002;1049
021;2003;997
021;2004;990
021;2005;966
021;2006;901
021;2007;902
021;2008;890
021;2009;866
021;2010;851
021;2011;846
021;2012;847
021;2013;887
021;2014;881
021;2015;855
022;2000;387
022;2001;379
022;2002;381
022;2003;368
022;2004;357
022;2005;371
022;2006;374
022;2007;365
022;2008;379
022;2009;365
022;2010;368
022;2011;351
022;2012;351
022;2013;338
022;2014;332
022;2015;341
023;2000;573
023;2001;564
023;2002;541
023;2003;534
023;2004;515
023;2005;509
023;2006;511
023;2007;494
023;2008;499
023;2009;507
023;2010;515
023;2011;512
023;2012;502
023;2013;487
023;2014;450
023;2015;452
024;2000;502
024;2001;493
024;2002;495
024;2003;486
024;2004;484
024;2005;474
024;2006;447
024;2007;439
024;2008;418
024;2009;447
024;2010;448
024;2011;412
024;2012;403
024;2013;412
024;2014;394
024;2015;394
025;2000;1036
025;2001;1024
025;2002;986
025;2003;949
025;2004;920
025;2005;885
025;2006;905
025;2007;911
025;2008;939
025;2009;914
025;2010;908
025;2011;861
025;2012;843
025;2013;849
025;2014;934
025;2015;924
026;2000;175
026;2001;167
026;2002;182
026;2003;182
026;2004;173
026;2005;172
026;2006;172
026;2007;180
026;2008;172
026;2009;163
026;2010;168
026;2011;153
026;2012;158
026;2013;156
026;2014;157
026;2015;149
031;2000;2333
031;2001;2289
031;2002;2199
031;2003;2131
031;2004;2137
031;2005;2105
031;2006;2087
031;2007;2058
031;2008;2062
031;2009;2020
031;2010;2023
031;2011;1947
031;2012;1921
031;2013;1967
031;2014;1917
031;2015;1906
032;2000;2709
032;2001;2691
032;2002;2706
032;2003;2650
032;2004;2704
032;2005;2690
032;2006;2661
032;2007;2619
032;2008;2568
032;2009;2547
032;2010;2528
032;2011;2532
032;2012;2522
032;2013;2501
032;2014;2442
032;2015;2501
033;2000;2787
033;2001;2735
033;2002;2728
033;2003;2711
033;2004;2696
033;2005;2666
033;2006;2585
033;2007;2569
033;2008;2514
033;2009;2485
033;2010;2525
033;2011;2540
033;2012;2523
033;2013;2511
033;2014;2467
033;2015;2460
034;2000;149
034;2001;141
034;2002;149
034;2003;144
034;2004;144
034;2005;143
034;2006;144
034;2007;140
034;2008;132
034;2009;131
034;2010;130
034;2011;126
034;2012;148
034;2013;163
034;2014;156
034;2015;134
041;2000;3079
041;2001;3035
041;2002;2918
041;2003;2938
041;2004;2909
041;2005;2862
041;2006;2856
041;2007;2848
041;2008;2809
041;2009;2820
041;2010;2803
041;2011;2840
041;2012;2816
041;2013;2869
041;2014;2839
041;2015;2826
042;2000;3534
042;2001;3448
042;2002;3389
042;2003;3312
042;2004;3280
042;2005;3251
042;2006;3289
042;2007;3240
042;2008;3256
042;2009;3241
042;2010;3238
042;2011;3210
042;2012;3200
042;2013;3170
042;2014;3194
042;2015;3151
051;2000;34
051;2001;41
051;2002;42
051;2003;38
051;2004;35
051;2005;26
051;2006;27
051;2007;34
051;2008;30
051;2009;25
051;2010;24
051;2011;21
051;2012;24
051;2013;24
051;2014;29
051;2015;27
052;2000;825
052;2001;807
052;2002;803
052;2003;767
052;2004;767
052;2005;744
052;2006;737
052;2007;716
052;2008;735
052;2009;728
052;2010;725
052;2011;721
052;2012;723
052;2013;722
052;2014;711
052;2015;691
053;2000;4669
053;2001;4665
053;2002;4623
053;2003;4465
053;2004;4458
053;2005;4372
053;2006;4297
053;2007;4283
053;2008;4246
053;2009;4219
053;2010;4231
053;2011;4223
053;2012;4180
053;2013;4177
053;2014;4069
053;2015;4032
054;2000;2028
054;2001;1983
054;2002;1990
054;2003;1946
054;2004;1992
054;2005;1971
054;2006;1915
054;2007;1929
054;2008;1957
054;2009;1926
054;2010;1909
054;2011;1907
054;2012;1881
054;2013;1875
054;2014;1936
054;2015;1962
055;2000;610
055;2001;590
055;2002;695
055;2003;700
055;2004;699
055;2005;689
055;2006;662
055;2007;677
055;2008;708
055;2009;725
055;2010;735
055;2011;726
055;2012;727
055;2013;721
055;2014;785
055;2015;811
061;2000;3732
061;2001;3688
061;2002;3629
061;2003;3612
061;2004;3592
061;2005;3569
061;2006;3530
061;2007;3513
061;2008;3609
061;2009;3591
061;2010;3589
061;2011;3578
061;2012;3669
061;2013;3734
061;2014;3774
061;2015;3741
062;2000;4215
062;2001;4133
062;2002;4085
062;2003;4135
062;2004;4135
062;2005;4186
062;2006;4177
062;2007;4252
062;2008;4344
062;2009;4326
062;2010;4314
062;2011;4326
062;2012;4267
062;2013;4261
062;2014;4289
062;2015;4220
063;2000;3382
063;2001;3374
063;2002;3361
063;2003;3345
063;2004;3291
063;2005;3300
063;2006;3324
063;2007;3393
063;2008;3421
063;2009;3405
063;2010;3413
063;2011;3400
063;2012;3441
063;2013;3440
063;2014;3455
063;2015;3435
071;2000;4672
071;2001;4639
071;2002;4551
071;2003;4474
071;2004;4433
071;2005;4283
071;2006;4231
071;2007;4236
071;2008;4172
071;2009;4127
071;2010;4102
071;2011;4073
071;2012;4071
071;2013;4074
071;2014;4051
071;2015;4029
072;2000;2994
072;2001;2953
072;2002;2924
072;2003;2893
072;2004;2842
072;2005;2821
072;2006;2794
072;2007;2751
072;2008;2777
072;2009;2774
072;2010;2781
072;2011;2779
072;2012;2732
072;2013;2711
072;2014;2710
072;2015;2726
073;2000;216
073;2001;217
073;2002;214
073;2003;208
073;2004;202
073;2005;196
073;2006;199
073;2007;197
073;2008;193
073;2009;207
073;2010;212
073;2011;201
073;2012;210
073;2013;216
073;2014;216
073;2015;215
081;2000;1841
081;2001;1807
081;2002;1807
081;2003;1787
081;2004;1747
081;2005;1729
081;2006;1698
081;2007;1690
081;2008;1694
081;2009;1665
081;2010;1643
081;2011;1659
081;2012;1643
081;2013;1638
081;2014;1644
081;2015;1632
082;2000;1703
082;2001;1661
082;2002;1643
082;2003;1626
082;2004;1608
082;2005;1571
082;2006;1540
082;2007;1554
082;2008;1575
082;2009;1560
082;2010;1530
082;2011;1524
082;2012;1510
082;2013;1499
082;2014;1508
082;2015;1528
083;2000;1846
083;2001;1806
083;2002;1803
083;2003;1798
083;2004;1823
083;2005;1805
083;2006;1765
083;2007;1734
083;2008;1761
083;2009;1735
083;2010;1691
083;2011;1682
083;2012;1701
083;2013;1722
083;2014;1726
083;2015;1722
084;2000;1461
084;2001;1413
084;2002;1424
084;2003;1407
084;2004;1394
084;2005;1362
084;2006;1344
084;2007;1328
084;2008;1296
084;2009;1300
084;2010;1301
084;2011;1303
084;2012;1305
084;2013;1289
084;2014;1295
084;2015;1284
085;2000;4886
085;2001;4834
085;2002;4742
085;2003;4676
085;2004;4634
085;2005;4590
085;2006;4520
085;2007;4578
085;2008;4562
085;2009;4540
085;2010;4473
085;2011;4503
085;2012;4520
085;2013;4496
085;2014;4479
085;2015;4495
091;2000;3788
091;2001;3756
091;2002;3737
091;2003;3709
091;2004;3656
091;2005;3619
091;2006;3634
091;2007;3591
091;2008;3577
091;2009;3544
091;2010;3516
091;2011;3494
091;2012;3532
091;2013;3500
091;2014;3446
091;2015;3452
092;2000;1609
092;2001;1576
092;2002;1564
092;2003;1569
092;2004;1549
092;2005;1569
092;2006;1565
092;2007;1543
092;2008;1520
092;2009;1515
092;2010;1505
092;2011;1510
092;2012;1525
092;2013;1512
092;2014;1518
092;2015;1499
101;2000;4330
101;2001;4252
101;2002;4238
