wbe;jahr;anzahl_christkatholische
011;2000;NaN
011;2001;NaN
011;2002;NaN
011;2003;NaN
011;2004;NaN
011;2005;NaN
011;2006;NaN
011;2007;NaN
011;2008;NaN
011;2009;NaN
011;2010;NaN
011;2011;NaN
011;2012;NaN
011;2013;NaN
011;2014;NaN
011;2015;NaN
012;2000;NaN
012;2001;NaN
012;2002;NaN
012;2003;NaN
012;2004;NaN
012;2005;NaN
012;2006;NaN
012;2007;NaN
012;2008;NaN
012;2009;NaN
012;2010;NaN
012;2011;NaN
012;2012;4
012;2013;NaN
012;2014;NaN
012;2015;6
013;2000;NaN
013;2001;NaN
013;2002;NaN
013;2003;NaN
013;2004;NaN
013;2005;NaN
013;2006;NaN
013;2007;NaN
013;2008;NaN
013;2009;NaN
013;2010;NaN
013;2011;NaN
013;2012;7
013;2013;NaN
013;2014;NaN
013;2015;NaN
014;2000;NaN
014;2001;NaN
014;2002;NaN
014;2003;NaN
014;2004;NaN
014;2005;NaN
014;2006;NaN
014;2007;NaN
014;2008;NaN
014;2009;NaN
014;2010;6
014;2011;7
014;2012;11
014;2013;11
014;2014;6
014;2015;5
021;2000;9
021;2001;12
021;2002;13
021;2003;18
021;2004;17
021;2005;16
021;2006;18
021;2007;17
021;2008;15
021;2009;14
021;2010;15
021;2011;18
021;2012;22
021;2013;19
021;2014;21
021;2015;17
022;2000;NaN
022;2001;NaN
022;2002;NaN
022;2003;NaN
022;2004;NaN
022;2005;NaN
022;2006;NaN
022;2007;NaN
022;2008;NaN
022;2009;NaN
022;2010;NaN
022;2011;5
022;2012;7
022;2013;NaN
022;2014;4
022;2015;NaN
023;2000;5
023;2001;5
023;2002;NaN
023;2003;NaN
023;2004;5
023;2005;6
023;2006;NaN
023;2007;NaN
023;2008;NaN
023;2009;5
023;2010;5
023;2011;7
023;2012;14
023;2013;10
023;2014;12
023;2015;8
024;2000;NaN
024;2001;NaN
024;2002;NaN
024;2003;NaN
024;2004;NaN
024;2005;NaN
024;2006;NaN
024;2007;NaN
024;2008;NaN
024;2009;NaN
024;2010;NaN
024;2011;5
024;2012;NaN
024;2013;4
024;2014;NaN
024;2015;NaN
025;2000;5
025;2001;5
025;2002;4
025;2003;NaN
025;2004;4
025;2005;8
025;2006;8
025;2007;7
025;2008;7
025;2009;8
025;2010;7
025;2011;8
025;2012;10
025;2013;9
025;2014;9
025;2015;8
026;2000;NaN
026;2001;NaN
026;2002;NaN
026;2003;NaN
026;2004;NaN
026;2005;NaN
026;2006;NaN
026;2007;NaN
026;2008;NaN
026;2009;NaN
026;2010;NaN
026;2011;6
026;2012;7
026;2013;NaN
026;2014;NaN
026;2015;NaN
031;2000;13
031;2001;16
031;2002;14
031;2003;15
031;2004;15
031;2005;13
031;2006;13
031;2007;11
031;2008;10
031;2009;16
031;2010;21
031;2011;34
031;2012;41
031;2013;32
031;2014;28
031;2015;30
032;2000;15
032;2001;20
032;2002;17
032;2003;17
032;2004;18
032;2005;16
032;2006;20
032;2007;18
032;2008;21
032;2009;19
032;2010;17
032;2011;23
032;2012;27
032;2013;19
032;2014;20
032;2015;22
033;2000;13
033;2001;9
033;2002;13
033;2003;13
033;2004;12
033;2005;12
033;2006;14
033;2007;16
033;2008;16
033;2009;17
033;2010;23
033;2011;35
033;2012;52
033;2013;29
033;2014;32
033;2015;23
034;2000;NaN
034;2001;NaN
034;2002;NaN
034;2003;NaN
034;2004;NaN
034;2005;NaN
034;2006;NaN
034;2007;NaN
034;2008;NaN
034;2009;NaN
034;2010;NaN
034;2011;NaN
034;2012;NaN
034;2013;NaN
034;2014;NaN
034;2015;NaN
041;2000;21
041;2001;20
041;2002;21
041;2003;24
041;2004;23
041;2005;21
041;2006;22
041;2007;20
041;2008;15
041;2009;16
041;2010;17
041;2011;25
