wbe;jahr;anzahl_evangelischrefe
011;2000;104
011;2001;107
011;2002;107
011;2003;100
011;2004;101
011;2005;107
011;2006;112
011;2007;114
011;2008;109
011;2009;95
011;2010;85
011;2011;87
011;2012;80
011;2013;79
011;2014;79
011;2015;75
012;2000;100
012;2001;104
012;2002;86
012;2003;95
012;2004;85
012;2005;89
012;2006;71
012;2007;68
012;2008;58
012;2009;55
012;2010;60
012;2011;71
012;2012;56
012;2013;46
012;2014;47
012;2015;48
013;2000;143
013;2001;149
013;2002;142
013;2003;135
013;2004;130
013;2005;138
013;2006;128
013;2007;133
013;2008;142
013;2009;139
013;2010;133
013;2011;129
013;2012;137
013;2013;133
013;2014;127
013;2015;124
014;2000;226
014;2001;221
014;2002;229
014;2003;224
014;2004;222
014;2005;220
014;2006;205
014;2007;185
014;2008;182
014;2009;183
014;2010;175
014;2011;172
014;2012;162
014;2013;156
014;2014;153
014;2015;156
021;2000;330
021;2001;320
021;2002;300
021;2003;302
021;2004;299
021;2005;286
021;2006;286
021;2007;264
021;2008;252
021;2009;230
021;2010;215
021;2011;220
021;2012;225
021;2013;217
021;2014;217
021;2015;221
022;2000;114
022;2001;112
022;2002;105
022;2003;105
022;2004;98
022;2005;104
022;2006;112
022;2007;111
022;2008;116
022;2009;105
022;2010;97
022;2011;85
022;2012;80
022;2013;69
022;2014;63
022;2015;60
023;2000;165
023;2001;155
023;2002;159
023;2003;150
023;2004;153
023;2005;158
023;2006;151
023;2007;146
023;2008;141
023;2009;147
023;2010;151
023;2011;142
023;2012;125
023;2013;124
023;2014;107
023;2015;96
024;2000;158
024;2001;145
024;2002;134
024;2003;131
024;2004;123
024;2005;124
024;2006;117
024;2007;108
024;2008;101
024;2009;107
024;2010;108
024;2011;100
024;2012;90
024;2013;95
024;2014;101
024;2015;94
025;2000;373
025;2001;368
025;2002;355
025;2003;349
025;2004;338
025;2005;328
025;2006;326
025;2007;311
025;2008;333
025;2009;309
025;2010;286
025;2011;271
025;2012;258
025;2013;259
025;2014;264
025;2015;254
026;2000;66
026;2001;58
026;2002;54
026;2003;50
026;2004;51
026;2005;54
026;2006;54
026;2007;53
026;2008;50
026;2009;47
026;2010;47
026;2011;39
026;2012;37
026;2013;34
026;2014;38
026;2015;37
031;2000;753
031;2001;754
031;2002;704
031;2003;694
031;2004;674
031;2005;632
031;2006;625
031;2007;614
031;2008;599
031;2009;564
031;2010;553
031;2011;502
031;2012;496
031;2013;497
031;2014;466
031;2015;458
032;2000;885
032;2001;850
032;2002;842
032;2003;830
032;2004;823
032;2005;797
032;2006;782
032;2007;754
032;2008;698
032;2009;677
032;2010;657
032;2011;647
032;2012;630
032;2013;633
032;2014;601
032;2015;593
033;2000;852
033;2001;835
033;2002;814
033;2003;813
033;2004;789
033;2005;760
033;2006;738
033;2007;716
033;2008;707
033;2009;684
033;2010;653
033;2011;645
033;2012;608
033;2013;602
033;2014;589
033;2015;584
034;2000;38
034;2001;37
034;2002;40
034;2003;35
034;2004;33
034;2005;29
034;2006;29
034;2007;32
034;2008;30
034;2009;28
034;2010;26
034;2011;25
034;2012;25
034;2013;31
034;2014;27
034;2015;25
