wbe;jahr;anzahl_g
011;2000;23
011;2001;25
011;2002;24
011;2003;21
011;2004;20
011;2005;25
011;2006;23
011;2007;20
011;2008;21
011;2009;18
011;2010;16
011;2011;18
011;2012;24
011;2013;24
011;2014;25
011;2015;29
012;2000;34
012;2001;36
012;2002;43
012;2003;39
012;2004;38
012;2005;36
012;2006;39
012;2007;38
012;2008;39
012;2009;40
012;2010;41
012;2011;40
012;2012;37
012;2013;40
012;2014;36
012;2015;42
013;2000;48
013;2001;59
013;2002;50
013;2003;50
013;2004;50
013;2005;44
013;2006;46
013;2007;45
013;2008;50
013;2009;49
013;2010;55
013;2011;54
013;2012;60
013;2013;60
013;2014;61
013;2015;68
014;2000;103
014;2001;97
014;2002;91
014;2003;93
014;2004;96
014;2005;96
014;2006;101
014;2007;102
014;2008;91
014;2009;84
014;2010;93
014;2011;98
014;2012;93
014;2013;94
014;2014;92
014;2015;94
021;2000;138
021;2001;147
021;2002;132
021;2003;123
021;2004;119
021;2005;123
021;2006;124
021;2007;126
021;2008;126
021;2009;121
021;2010;130
021;2011;134
021;2012;135
021;2013;142
021;2014;133
021;2015;134
022;2000;62
022;2001;66
022;2002;57
022;2003;56
022;2004;59
022;2005;56
022;2006;58
022;2007;58
022;2008;59
022;2009;61
022;2010;64
022;2011;67
022;2012;61
022;2013;62
022;2014;56
022;2015;53
023;2000;100
023;2001;99
023;2002;98
023;2003;94
023;2004;92
023;2005;92
023;2006;99
023;2007;109
023;2008;115
023;2009;116
023;2010;113
023;2011;118
023;2012;113
023;2013;108
023;2014;106
023;2015;109
024;2000;71
024;2001;72
024;2002;73
024;2003;73
024;2004;65
024;2005;67
024;2006;68
024;2007;71
024;2008;67
024;2009;73
024;2010;69
024;2011;71
024;2012;69
024;2013;68
024;2014;60
024;2015;64
025;2000;101
025;2001;99
025;2002;105
025;2003;99
025;2004;100
025;2005;99
025;2006;113
025;2007;112
025;2008;115
025;2009;106
025;2010;109
025;2011;105
025;2012;111
025;2013;112
025;2014;129
025;2015;121
026;2000;24
026;2001;23
026;2002;20
026;2003;20
026;2004;20
026;2005;19
026;2006;19
026;2007;23
026;2008;25
026;2009;25
026;2010;24
026;2011;21
026;2012;23
026;2013;20
026;2014;23
026;2015;22
031;2000;293
031;2001;282
031;2002;274
031;2003;272
031;2004;290
031;2005;298
031;2006;300
031;2007;302
031;2008;310
031;2009;316
031;2010;314
031;2011;318
031;2012;317
031;2013;325
031;2014;313
031;2015;321
032;2000;319
032;2001;324
032;2002;321
032;2003;314
032;2004;327
032;2005;339
032;2006;334
032;2007;334
032;2008;336
