wbe;jahr;anzahl_geb
011;2013;72
011;2014;72
011;2015;72
012;2013;115
012;2014;114
012;2015;116
013;2013;137
013;2014;141
013;2015;141
014;2013;164
014;2014;165
014;2015;165
021;2013;158
021;2014;159
021;2015;158
022;2013;51
022;2014;51
022;2015;51
023;2013;87
023;2014;89
023;2015;90
024;2013;68
024;2014;70
024;2015;69
025;2013;133
025;2014;135
025;2015;137
026;2013;37
026;2014;37
026;2015;37
031;2013;281
031;2014;279
031;2015;279
032;2013;418
032;2014;418
032;2015;420
033;2013;451
033;2014;455
033;2015;456
034;2013;17
034;2014;17
034;2015;17
041;2013;334
041;2014;335
041;2015;335
042;2013;325
042;2014;325
042;2015;326
051;2013;15
051;2014;16
051;2015;16
052;2013;102
052;2014;101
052;2015;100
053;2013;761
053;2014;766
053;2015;759
054;2013;234
054;2014;234
054;2015;234
055;2013;76
055;2014;77
055;2015;78
061;2013;476
061;2014;477
061;2015;478
062;2013;527
062;2014;526
062;2015;526
063;2013;419
063;2014;421
063;2015;421
071;2013;1185
071;2014;1185
071;2015;1183
072;2013;808
072;2014;806
072;2015;806
073;2013;89
073;2014;89
073;2015;89
081;2013;337
081;2014;337
081;2015;339
082;2013;330
082;2014;330
082;2015;331
083;2013;211
083;2014;212
083;2015;213
084;2013;354
084;2014;354
084;2015;354
085;2013;1267
085;2014;1268
085;2015;1268
091;2013;627
091;2014;626
091;2015;628
092;2013;358
092;2014;358
092;2015;357
101;2013;654
101;2014;655
101;2015;655
102;2013;398
102;2014;397
102;2015;397
103;2013;400
103;2014;397
103;2015;397
111;2013;288
111;2014;289
111;2015;289
112;2013;234
112;2014;234
112;2015;233
113;2013;407
113;2014;406
113;2015;408
114;2013;102
114;2014;102
114;2015;102
115;2013;485
115;2014;486
115;2015;486
121;2013;186
121;2014;189
121;2015;190
122;2013;84
122;2014;91
122;2015;91
131;2013;71
131;2014;71
131;2015;71
132;2013;188
132;2014;189
132;2015;189
141;2013;417
141;2014;424
141;2015;423
142;2013;280
142;2014;280
142;2015;280
151;2013;356
151;2014;378
151;2015;407
152;2013;720
152;2014;719
152;2015;721
153;2013;451
153;2014;452
153;2015;452
161;2013;265
161;2014;267
161;2015;267
162;2013;19
162;2014;20
162;2015;31
171;2013;150
171;2014;151
171;2015;151
172;2013;288
172;2014;291
172;2015;291
173;2013;213
173;2014;212
173;2015;212
174;2013;484
174;2014;483
174;2015;485
180;2013;433
180;2014;434
180;2015;435
190;2013;163
190;2014;166
190;2015;166
201;2013;449
201;2014;452
201;2015;451
202;2013;296
202;2014;297
202;2015;297
203;2013;338
203;2014;338
203;2015;343
204;2013;300
204;2014;299
204;2015;300
205;2013;640
205;2014;642
205;2015;642
206;2013;632
206;2014;637
206;2015;637
207;2013;1005
207;2014;1005
207;2015;1001
208;2013;433
208;2014;435
208;2015;434
301;2013;295
301;2014;297
301;2015;297
302;2013;13
302;2014;14
302;2015;14
