wbe;jahr;anzahl_israelitische
011;2000;NaN
011;2001;NaN
011;2002;NaN
011;2003;NaN
011;2004;NaN
011;2005;NaN
011;2006;NaN
011;2007;NaN
011;2008;NaN
011;2009;NaN
011;2010;NaN
011;2011;NaN
011;2012;NaN
011;2013;NaN
011;2014;NaN
011;2015;NaN
012;2000;NaN
012;2001;NaN
012;2002;NaN
012;2003;NaN
012;2004;NaN
012;2005;NaN
012;2006;NaN
012;2007;NaN
012;2008;NaN
012;2009;NaN
012;2010;NaN
012;2011;NaN
012;2012;4
012;2013;NaN
012;2014;NaN
012;2015;NaN
013;2000;NaN
013;2001;NaN
013;2002;NaN
013;2003;NaN
013;2004;NaN
013;2005;NaN
013;2006;NaN
013;2007;NaN
013;2008;NaN
013;2009;4
013;2010;NaN
013;2011;NaN
013;2012;NaN
013;2013;NaN
013;2014;4
013;2015;NaN
014;2000;6
014;2001;6
014;2002;5
014;2003;4
014;2004;8
014;2005;6
014;2006;7
014;2007;7
014;2008;5
014;2009;5
014;2010;5
014;2011;4
014;2012;8
014;2013;10
014;2014;9
014;2015;9
021;2000;14
021;2001;14
021;2002;15
021;2003;14
021;2004;13
021;2005;13
021;2006;12
021;2007;12
021;2008;12
021;2009;10
021;2010;8
021;2011;8
021;2012;7
021;2013;7
021;2014;7
021;2015;10
022;2000;38
022;2001;40
022;2002;38
022;2003;39
022;2004;48
022;2005;42
022;2006;44
022;2007;42
022;2008;41
022;2009;42
022;2010;36
022;2011;41
022;2012;33
022;2013;35
022;2014;29
022;2015;30
023;2000;5
023;2001;5
023;2002;5
023;2003;5
023;2004;4
023;2005;5
023;2006;NaN
023;2007;NaN
023;2008;NaN
023;2009;NaN
023;2010;5
023;2011;NaN
023;2012;NaN
023;2013;5
023;2014;4
023;2015;4
024;2000;5
024;2001;5
024;2002;7
024;2003;6
024;2004;6
024;2005;8
024;2006;5
024;2007;5
024;2008;9
024;2009;9
024;2010;7
024;2011;5
024;2012;5
024;2013;NaN
024;2014;NaN
024;2015;NaN
025;2000;22
025;2001;27
025;2002;21
025;2003;19
025;2004;19
025;2005;19
025;2006;18
025;2007;15
025;2008;14
025;2009;13
025;2010;13
025;2011;18
025;2012;18
025;2013;16
025;2014;15
025;2015;15
026;2000;NaN
026;2001;NaN
026;2002;NaN
026;2003;4
026;2004;4
026;2005;NaN
026;2006;NaN
026;2007;NaN
026;2008;NaN
026;2009;NaN
026;2010;NaN
026;2011;NaN
026;2012;NaN
026;2013;NaN
026;2014;NaN
026;2015;NaN
031;2000;29
031;2001;34
031;2002;37
031;2003;37
031;2004;35
031;2005;38
031;2006;40
031;2007;38
031;2008;45
031;2009;52
031;2010;53
031;2011;48
031;2012;53
031;2013;51
031;2014;49
031;2015;42
032;2000;138
032;2001;132
032;2002;136
032;2003;129
032;2004;126
032;2005;131
032;2006;123
032;2007;120
032;2008;114
032;2009;115
032;2010;104
032;2011;102
032;2012;103
032;2013;98
032;2014;89
032;2015;97
033;2000;161
033;2001;156
033;2002;184
033;2003;185
033;2004;170
033;2005;172
033;2006;168
033;2007;177
033;2008;173
033;2009;167
033;2010;165
033;2011;155
033;2012;157
033;2013;158
033;2014;149
033;2015;142
034;2000;NaN
034;2001;NaN
034;2002;NaN
034;2003;NaN
034;2004;NaN
034;2005;NaN
034;2006;NaN
034;2007;NaN
034;2008;NaN
034;2009;NaN
034;2010;NaN
034;2011;NaN
034;2012;NaN
034;2013;NaN
034;2014;NaN
034;2015;NaN
041;2000;4
041;2001;NaN
041;2002;NaN
041;2003;NaN
041;2004;NaN
041;2005;NaN
041;2006;5
041;2007;4
041;2008;7
041;2009;7
041;2010;5
041;2011;NaN
041;2012;NaN
041;2013;6
041;2014;6
041;2015;NaN
042;2000;10
042;2001;9
042;2002;7
