wbe;jahr;anzahl_kleinwhg
011;2013;21.1
011;2014;21.2
011;2015;21.7
012;2013;38.0
012;2014;38.6
012;2015;39.6
013;2013;54.6
013;2014;54.3
013;2015;54.7
014;2013;43.4
014;2014;43.9
014;2015;44.2
021;2013;40.3
021;2014;40.5
021;2015;40.5
022;2013;49.9
022;2014;50.1
022;2015;50.3
023;2013;70.8
023;2014;71.3
023;2015;72.1
024;2013;57.1
024;2014;56.7
024;2015;54.1
025;2013;16.8
025;2014;17.3
025;2015;17.3
026;2013;38.4
026;2014;38.1
026;2015;38.0
031;2013;40.0
031;2014;39.9
031;2015;39.8
032;2013;35.9
032;2014;36.3
032;2015;36.6
033;2013;35.8
033;2014;35.7
033;2015;36.0
034;2013;56.8
034;2014;56.5
034;2015;56.5
041;2013;33.6
041;2014;33.1
041;2015;33.3
042;2013;30.9
042;2014;30.9
042;2015;30.9
051;2013;26.7
051;2014;30.3
051;2015;30.3
052;2013;27.6
052;2014;27.8
052;2015;28.7
053;2013;24.3
053;2014;24.1
053;2015;24.8
054;2013;19.8
054;2014;19.6
054;2015;19.7
055;2013;37.5
055;2014;37.6
055;2015;37.6
061;2013;39.2
061;2014;39.4
061;2015;39.4
062;2013;42.6
062;2014;40.1
062;2015;40.5
063;2013;36.6
063;2014;36.7
063;2015;36.8
071;2013;15.8
071;2014;15.8
071;2015;15.7
072;2013;9.2
072;2014;9.2
072;2015;9.1
073;2013;1.7
073;2014;1.7
073;2015;1.7
081;2013;28.8
081;2014;29.3
081;2015;29.4
082;2013;14.9
082;2014;14.7
082;2015;15.0
083;2013;26.5
083;2014;26.4
083;2015;26.4
084;2013;14.4
084;2014;14.7
084;2015;14.7
085;2013;15.2
085;2014;15.2
085;2015;14.9
091;2013;39.3
091;2014;39.4
091;2015;39.4
092;2013;29.6
092;2014;29.8
092;2015;30.1
101;2013;43.9
101;2014;44.7
101;2015;44.8
102;2013;42.5
102;2014;42.5
102;2015;42.5
103;2013;30.8
103;2014;31.3
103;2015;31.7
111;2013;41.9
111;2014;41.9
111;2015;41.8
112;2013;29.5
112;2014;29.9
112;2015;30.0
113;2013;51.1
113;2014;51.2
113;2015;51.3
114;2013;39.3
114;2014;39.8
114;2015;39.7
115;2013;22.2
115;2014;22.2
115;2015;22.3
121;2013;49.9
121;2014;50.3
121;2015;50.5
122;2013;41.4
122;2014;41.8
122;2015;42.3
131;2013;49.3
131;2014;52.3
131;2015;52.2
132;2013;42.4
132;2014;43.0
132;2015;43.3
141;2013;35.2
141;2014;34.3
141;2015;34.3
142;2013;19.8
142;2014;19.9
142;2015;19.8
151;2013;25.1
151;2014;25.0
151;2015;24.5
152;2013;16.2
152;2014;15.9
152;2015;15.9
153;2013;11.9
153;2014;12.1
153;2015;12.2
161;2013;41.7
161;2014;41.8
161;2015;42.6
162;2013;37.9
162;2014;49.1
162;2015;45.4
171;2013;39.5
171;2014;39.6
171;2015;39.7
172;2013;41.0
172;2014;41.3
172;2015;41.5
173;2013;47.4
173;2014;47.8
173;2015;47.8
174;2013;46.9
174;2014;47.1
174;2015;47.4
180;2013;45.4
180;2014;45.2
180;2015;45.4
190;2013;31.8
190;2014;32.0
190;2015;32.1
201;2013;23.3
201;2014;23.2
201;2015;23.2
202;2013;23.7
202;2014;23.7
202;2015;23.8
203;2013;9.7
203;2014;9.5
203;2015;9.6
204;2013;6.2
204;2014;6.2
204;2015;6.2
205;2013;5.8
205;2014;5.7
205;2015;5.8
206;2013;4.4
206;2014;4.2
206;2015;4.0
207;2013;12.3
207;2014;12.3
207;2015;12.3
208;2013;10.3
208;2014;10.3
208;2015;10.3
301;2013;9.6
301;2014;9.3
301;2015;9.5
302;2013;40.5
302;2014;41.5
302;2015;37.0
