wbe;jahr;anzahl_l
011;2000;110
011;2001;106
011;2002;101
011;2003;109
011;2004;108
011;2005;116
011;2006;105
011;2007;124
011;2008;115
011;2009;112
011;2010;105
011;2011;109
011;2012;100
011;2013;105
011;2014;107
011;2015;99
012;2000;197
012;2001;197
012;2002;181
012;2003;186
012;2004;182
012;2005;199
012;2006;191
012;2007;200
012;2008;189
012;2009;192
012;2010;200
012;2011;203
012;2012;208
012;2013;194
012;2014;180
012;2015;188
013;2000;268
013;2001;272
013;2002;271
013;2003;261
013;2004;273
013;2005;274
013;2006;276
013;2007;281
013;2008;288
013;2009;279
013;2010;270
013;2011;269
013;2012;277
013;2013;284
013;2014;284
013;2015;297
014;2000;436
014;2001;425
014;2002;431
014;2003;448
014;2004;431
014;2005;438
014;2006;418
014;2007;421
014;2008;422
014;2009;407
014;2010;392
014;2011;396
014;2012;419
014;2013;414
014;2014;425
014;2015;419
021;2000;726
021;2001;708
021;2002;722
021;2003;709
021;2004;705
021;2005;703
021;2006;681
021;2007;676
021;2008;703
021;2009;725
021;2010;696
021;2011;705
021;2012;724
021;2013;771
021;2014;762
021;2015;768
022;2000;243
022;2001;237
022;2002;247
022;2003;242
022;2004;249
022;2005;268
022;2006;273
022;2007;267
022;2008;274
022;2009;280
022;2010;296
022;2011;279
022;2012;284
022;2013;300
022;2014;290
022;2015;314
023;2000;374
023;2001;366
023;2002;368
023;2003;379
023;2004;360
023;2005;362
023;2006;388
023;2007;396
023;2008;419
023;2009;418
023;2010;444
023;2011;419
023;2012;424
023;2013;441
023;2014;434
023;2015;433
024;2000;256
024;2001;263
024;2002;270
024;2003;264
024;2004;273
024;2005;270
024;2006;272
024;2007;270
024;2008;290
024;2009;318
024;2010;343
024;2011;315
024;2012;313
024;2013;327
024;2014;332
024;2015;336
025;2000;385
025;2001;387
025;2002;369
025;2003;377
025;2004;392
025;2005;395
025;2006;418
025;2007;408
025;2008;415
025;2009;439
025;2010;429
025;2011;431
025;2012;424
025;2013;452
025;2014;493
025;2015;499
026;2000;80
026;2001;87
026;2002;93
026;2003;91
026;2004;90
026;2005;90
026;2006;94
026;2007;103
026;2008;86
026;2009;82
026;2010;87
026;2011;84
026;2012;84
026;2013;86
026;2014;87
026;2015;73
031;2000;1646
031;2001;1631
031;2002;1622
031;2003;1651
031;2004;1640
031;2005;1621
031;2006;1645
031;2007;1672
031;2008;1682
031;2009;1669
031;2010;1665
031;2011;1620
