wbe;jahr;anzahl_lwg
012;2013;3
012;2016;4
012;2015;2
012;2014;1
014;2013;1
014;2015;1
014;2016;2
014;2014;1
021;2013;4
021;2015;2
021;2014;1
021;2016;2
022;2013;4
022;2015;2
022;2016;3
023;2013;7
023;2015;4
023;2016;8
024;2015;5
024;2014;3
024;2016;4
024;2013;1
025;2013;2
025;2014;2
025;2015;2
025;2016;1
031;2015;4
031;2013;9
031;2014;3
031;2016;4
032;2016;13
032;2015;4
032;2013;10
032;2014;1
033;2013;8
033;2015;11
033;2016;11
033;2014;1
034;2013;1
034;2015;2
034;2014;1
041;2014;7
041;2013;6
041;2016;4
041;2015;1
042;2013;14
042;2015;10
042;2016;22
042;2014;1
051;2015;1
052;2015;19
052;2013;2
052;2014;3
052;2016;6
053;2013;13
053;2014;11
053;2015;21
053;2016;42
054;2014;4
054;2016;3
055;2014;1
055;2013;1
055;2015;1
061;2013;15
061;2015;17
061;2016;12
061;2014;7
062;2014;13
062;2016;14
062;2015;30
062;2013;12
063;2014;3
063;2013;8
063;2015;4
063;2016;4
071;2015;10
071;2014;6
071;2016;14
071;2013;5
072;2013;2
072;2014;9
072;2015;1
072;2016;3
081;2014;2
081;2016;2
081;2013;1
082;2013;2
082;2015;3
082;2016;1
082;2014;1
083;2013;4
083;2014;3
083;2015;6
083;2016;2
084;2016;3
084;2015;1
085;2013;6
085;2016;4
085;2014;4
085;2015;3
091;2013;14
091;2014;2
091;2015;9
091;2016;11
092;2016;1
092;2015;1
101;2013;24
101;2016;12
101;2014;7
101;2015;7
102;2013;8
102;2015;4
102;2016;13
102;2014;2
103;2013;7
103;2015;2
103;2016;8
103;2014;10
111;2013;9
111;2014;3
111;2015;4
111;2016;1
112;2013;2
112;2015;1
112;2016;3
113;2016;7
113;2013;7
113;2015;7
113;2014;6
114;2013;5
114;2015;2
114;2014;5
114;2016;3
115;2013;1
115;2014;5
115;2015;3
115;2016;5
121;2014;10
121;2013;5
121;2016;4
121;2015;5
122;2015;6
122;2013;2
122;2016;5
131;2015;1
131;2016;3
131;2014;4
131;2013;8
132;2016;7
132;2013;6
132;2014;6
132;2015;18
141;2015;7
141;2014;3
141;2013;4
141;2016;2
142;2016;5
142;2013;4
142;2015;3
151;2015;6
151;2016;56
151;2013;3
151;2014;12
153;2013;12
153;2015;6
153;2014;4
153;2016;4
161;2013;10
161;2014;7
161;2015;6
161;2016;15
162;2015;6
162;2013;2
171;2013;1
171;2014;1
171;2016;1
171;2015;3
172;2013;4
172;2015;6
172;2016;6
172;2014;1
173;2013;9
173;2015;3
173;2014;2
173;2016;3
174;2013;10
174;2015;4
174;2016;17
174;2014;4
180;2015;8
180;2014;8
180;2013;13
180;2016;7
190;2013;3
190;2016;4
190;2014;4
190;2015;1
201;2015;14
201;2016;8
201;2014;7
201;2013;5
202;2015;6
202;2016;4
202;2013;5
202;2014;3
203;2013;7
203;2014;5
203;2015;6
203;2016;9
204;2016;4
204;2015;2
205;2013;9
205;2015;11
205;2014;10
205;2016;1
206;2015;6
206;2013;6
206;2014;5
206;2016;2
207;2014;6
207;2016;16
207;2013;6
207;2015;6
208;2016;7
208;2015;6
208;2013;3
208;2014;7
301;2016;10
301;2013;6
301;2014;7
301;2015;8
012;2017;7
013;2017;3
014;2017;2
021;2017;5
022;2017;1
023;2017;23
024;2017;5
025;2017;4
026;2017;2
031;2017;5
032;2017;8
033;2017;4
034;2017;2
041;2017;12
042;2017;9
051;2017;1
052;2017;10
053;2017;29
054;2017;8
055;2017;1
061;2017;23
062;2017;23
063;2017;15
071;2017;22
072;2017;5
081;2017;7
083;2017;7
084;2017;1
085;2017;5
091;2017;11
092;2017;3
101;2017;18
102;2017;10
103;2017;9
111;2017;3
112;2017;2
113;2017;20
114;2017;5
115;2017;8
121;2017;8
122;2017;3
131;2017;3
132;2017;17
141;2017;5
142;2017;9
151;2017;8
152;2017;2
153;2017;8
161;2017;14
162;2017;2
171;2017;2
172;2017;8
173;2017;11
174;2017;5
180;2017;12
190;2017;9
201;2017;17
202;2017;7
203;2017;10
205;2017;5
206;2017;3
207;2017;30
208;2017;4
301;2017;6
