wbe;jahr;anzahl_ohnereligion
011;2000;142
011;2001;143
011;2002;136
011;2003;151
011;2004;144
011;2005;157
011;2006;143
011;2007;154
011;2008;147
011;2009;147
011;2010;152
011;2011;146
011;2012;146
011;2013;163
011;2014;171
011;2015;164
012;2000;222
012;2001;220
012;2002;214
012;2003;219
012;2004;222
012;2005;224
012;2006;234
012;2007;244
012;2008;252
012;2009;262
012;2010;272
012;2011;258
012;2012;269
012;2013;290
012;2014;278
012;2015;293
013;2000;317
013;2001;322
013;2002;309
013;2003;312
013;2004;312
013;2005;304
013;2006;318
013;2007;328
013;2008;330
013;2009;319
013;2010;327
013;2011;338
013;2012;333
013;2013;352
013;2014;361
013;2015;379
014;2000;488
014;2001;472
014;2002;483
014;2003;483
014;2004;484
014;2005;490
014;2006;475
014;2007;502
014;2008;496
014;2009;467
014;2010;487
014;2011;481
014;2012;531
014;2013;545
014;2014;544
014;2015;550
021;2000;844
021;2001;850
021;2002;837
021;2003;816
021;2004;813
021;2005;830
021;2006;788
021;2007;804
021;2008;828
021;2009;861
021;2010;822
021;2011;873
021;2012;906
021;2013;941
021;2014;956
021;2015;956
022;2000;256
022;2001;251
022;2002;256
022;2003;250
022;2004;254
022;2005;283
022;2006;279
022;2007;288
022;2008;298
022;2009;301
022;2010;323
022;2011;316
022;2012;330
022;2013;354
022;2014;358
022;2015;392
023;2000;421
023;2001;414
023;2002;423
023;2003;435
023;2004;423
023;2005;408
023;2006;458
023;2007;475
023;2008;509
023;2009;510
023;2010;523
023;2011;511
023;2012;517
023;2013;517
023;2014;536
023;2015;556
024;2000;313
024;2001;338
024;2002;341
024;2003;339
024;2004;350
024;2005;338
024;2006;341
024;2007;344
024;2008;366
024;2009;400
024;2010;422
024;2011;401
024;2012;408
024;2013;444
024;2014;429
024;2015;455
025;2000;544
025;2001;561
025;2002;559
025;2003;551
025;2004;572
025;2005;570
025;2006;625
025;2007;645
025;2008;676
025;2009;717
025;2010;729
025;2011;708
025;2012;702
025;2013;746
025;2014;830
025;2015;864
026;2000;116
026;2001;123
026;2002;135
026;2003;133
026;2004;132
026;2005;126
026;2006;129
026;2007;136
026;2008;122
026;2009;120
026;2010;132
026;2011;129
026;2012;130
026;2013;137
026;2014;137
026;2015;129
031;2000;1708
031;2001;1687
031;2002;1718
031;2003;1801
031;2004;1848
031;2005;1841
031;2006;1837
031;2007;1860
031;2008;1901
031;2009;1930
031;2010;1949
031;2011;2004
031;2012;1986
031;2013;2116
031;2014;2155
031;2015;2138
032;2000;1719
032;2001;1773
032;2002;1862
032;2003;1907
032;2004;2002
032;2005;2050
032;2006;2091
032;2007;2125
032;2008;2170
032;2009;2225
032;2010;2230
032;2011;2322
032;2012;2334
032;2013;2346
032;2014;2366
032;2015;2415
033;2000;1685
033;2001;1695
033;2002;1713
033;2003;1744
033;2004;1791
033;2005;1832
033;2006;1816
033;2007;1854
033;2008;1904
033;2009;1961
033;2010;2064
033;2011;2145
033;2012;2209
033;2013;2296
033;2014;2228
033;2015;2260
034;2000;108
034;2001;104
034;2002;114
034;2003;118
034;2004;128
034;2005;142
034;2006;147
034;2007;145
034;2008;141
034;2009;150
034;2010;137
034;2011;118
034;2012;147
034;2013;167
034;2014;162
034;2015;146
041;2000;2268
041;2001;2341
041;2002;2299
041;2003;2349
041;2004;2363
041;2005;2394
041;2006;2403
041;2007;2494
041;2008;2498
041;2009;2577
041;2010;2630
041;2011;2718
041;2012;2775
041;2013;2886
041;2014;2928
041;2015;2968
042;2000;2470
042;2001;2475
042;2002;2472
042;2003;2544
042;2004;2610
042;2005;2677
042;2006;2822
042;2007;2804
042;2008;2859
042;2009;2910
042;2010;2980
042;2011;3051
042;2012;3160
042;2013;3231
042;2014;3341
042;2015;3353
051;2000;43
051;2001;48
051;2002;42
051;2003;35
051;2004;35
051;2005;34
051;2006;41
051;2007;43
051;2008;47
051;2009;46
051;2010;34
051;2011;34
051;2012;36
051;2013;40
051;2014;49
051;2015;47
052;2000;466
052;2001;468
052;2002;478
052;2003;503
052;2004;513
052;2005;508
052;2006;542
052;2007;546
052;2008;600
052;2009;625
052;2010;648
052;2011;648
052;2012;659
052;2013;705
052;2014;719
052;2015;703
053;2000;2843
053;2001;2943
053;2002;2970
053;2003;2967
053;2004;3062
053;2005;3186
053;2006;3298
053;2007;3372
053;2008;3510
053;2009;3625
053;2010;3741
053;2011;3862
053;2012;3940
053;2013;4049
053;2014;4076
053;2015;4143
054;2000;875
054;2001;925
054;2002;947
054;2003;927
054;2004;979
054;2005;1038
054;2006;1077
054;2007;1143
054;2008;1174
054;2009;1213
054;2010;1289
054;2011;1320
054;2012;1351
054;2013;1354
054;2014;1411
054;2015;1429
055;2000;437
055;2001;441
055;2002;477
055;2003;488
055;2004;490
055;2005;496
055;2006;478
055;2007;508
055;2008;552
055;2009;587
055;2010;619
055;2011;642
055;2012;651
055;2013;677
055;2014;715
055;2015;708
061;2000;3756
061;2001;3787
061;2002;3927
061;2003;3958
061;2004;3937
061;2005;3942
061;2006;4016
061;2007;3946
061;2008;3963
061;2009;4088
061;2010;4199
061;2011;4265
061;2012;4268
