wbe;jahr;anzahl_p
011;2000;0
011;2001;0
011;2002;0
011;2003;0
011;2004;0
011;2005;0
011;2006;0
011;2007;0
011;2008;0
011;2009;0
011;2010;0
011;2011;0
011;2012;0
011;2013;0
011;2014;0
011;2015;0
012;2000;0
012;2001;0
012;2002;0
012;2003;0
012;2004;0
012;2005;0
012;2006;0
012;2007;0
012;2008;0
012;2009;0
012;2010;0
012;2011;0
012;2012;0
012;2013;0
012;2014;0
012;2015;0
013;2000;0
013;2001;0
013;2002;0
013;2003;0
013;2004;0
013;2005;0
013;2006;0
013;2007;0
013;2008;0
013;2009;0
013;2010;0
013;2011;2
013;2012;2
013;2013;3
013;2014;4
013;2015;5
014;2000;0
014;2001;0
014;2002;0
014;2003;0
014;2004;0
014;2005;0
014;2006;0
014;2007;2
014;2008;4
014;2009;3
014;2010;5
014;2011;4
014;2012;4
014;2013;10
014;2014;10
014;2015;12
021;2000;0
021;2001;0
021;2002;0
021;2003;0
021;2004;0
021;2005;0
021;2006;0
021;2007;0
021;2008;0
021;2009;2
021;2010;2
021;2011;3
021;2012;7
021;2013;7
021;2014;3
021;2015;5
022;2000;0
022;2001;0
022;2002;0
022;2003;0
022;2004;0
022;2005;0
022;2006;0
022;2007;2
022;2008;2
022;2009;2
022;2010;2
022;2011;2
022;2012;2
022;2013;2
022;2014;1
022;2015;0
023;2000;0
023;2001;0
023;2002;0
023;2003;0
023;2004;0
023;2005;0
023;2006;0
023;2007;2
023;2008;2
023;2009;2
023;2010;2
023;2011;1
023;2012;1
023;2013;3
023;2014;3
023;2015;2
024;2000;0
024;2001;0
024;2002;0
024;2003;0
024;2004;0
024;2005;0
024;2006;0
024;2007;0
024;2008;2
024;2009;2
024;2010;6
024;2011;6
024;2012;4
024;2013;4
024;2014;4
024;2015;6
025;2000;0
025;2001;0
025;2002;0
025;2003;0
025;2004;0
025;2005;0
025;2006;0
025;2007;0
025;2008;2
025;2009;2
025;2010;9
025;2011;10
025;2012;10
025;2013;17
025;2014;16
025;2015;14
026;2000;0
026;2001;0
026;2002;0
026;2003;0
026;2004;0
026;2005;0
026;2006;0
026;2007;0
026;2008;0
026;2009;0
026;2010;2
026;2011;2
026;2012;2
026;2013;2
026;2014;2
026;2015;2
031;2000;0
031;2001;0
031;2002;0
031;2003;0
031;2004;0
031;2005;0
031;2006;0
031;2007;2
031;2008;4
031;2009;3
031;2010;5
031;2011;8
031;2012;2
031;2013;3
031;2014;3
031;2015;5
032;2000;0
032;2001;0
032;2002;0
032;2003;0
032;2004;0
032;2005;0
032;2006;0
032;2007;2
032;2008;4
032;2009;6
032;2010;6
032;2011;11
032;2012;11
032;2013;14
032;2014;12
032;2015;11
033;2000;0
033;2001;0
033;2002;0
033;2003;0
033;2004;0
033;2005;0
033;2006;0
033;2007;11
033;2008;19
033;2009;19
033;2010;20
033;2011;20
033;2012;25
033;2013;23
033;2014;23
033;2015;28
034;2000;0
034;2001;0
034;2002;0
034;2003;0
034;2004;0
034;2005;0
034;2006;0
034;2007;0
034;2008;0
034;2009;0
034;2010;0
034;2011;0
034;2012;0
034;2013;0
034;2014;0
034;2015;2
041;2000;0
041;2001;0
041;2002;0
041;2003;0
041;2004;0
041;2005;0
041;2006;0
041;2007;2
041;2008;3
041;2009;3
041;2010;9
041;2011;14
041;2012;12
041;2013;17
041;2014;17
041;2015;18
042;2000;0
042;2001;0
042;2002;0
042;2003;0
042;2004;0
042;2005;0
042;2006;0
042;2007;1
042;2008;4
042;2009;4
042;2010;6
042;2011;6
042;2012;6
042;2013;6
042;2014;8
042;2015;10
051;2000;0
051;2001;0
051;2002;0
051;2003;0
051;2004;0
051;2005;0
051;2006;0
051;2007;0
051;2008;0
051;2009;0
051;2010;0
051;2011;0
051;2012;2
051;2013;4
051;2014;3
051;2015;5
052;2000;0
052;2001;0
052;2002;0
052;2003;0
052;2004;0
052;2005;0
052;2006;0
052;2007;2
052;2008;2
052;2009;2
052;2010;2
052;2011;2
052;2012;2
052;2013;2
052;2014;5
052;2015;4
053;2000;0
053;2001;0
053;2002;0
053;2003;0
053;2004;0
053;2005;0
053;2006;0
053;2007;10
053;2008;11
053;2009;16
053;2010;22
053;2011;25
053;2012;22
053;2013;21
053;2014;24
053;2015;27
054;2000;0
054;2001;0
054;2002;0
054;2003;0
054;2004;0
054;2005;0
054;2006;0
054;2007;8
054;2008;6
054;2009;8
054;2010;5
054;2011;7
054;2012;7
054;2013;8
054;2014;11
054;2015;12
055;2000;0
055;2001;0
055;2002;0
055;2003;0
055;2004;0
055;2005;0
055;2006;0
055;2007;2
055;2008;2
055;2009;2
055;2010;2
055;2011;0
055;2012;0
055;2013;2
055;2014;3
055;2015;5
061;2000;0
061;2001;0
061;2002;0
061;2003;0
061;2004;0
061;2005;0
061;2006;0
061;2007;8
061;2008;10
061;2009;14
061;2010;18
061;2011;18
061;2012;15
061;2013;17
061;2014;21
061;2015;22
062;2000;0
062;2001;0
062;2002;0
062;2003;0
062;2004;0
062;2005;0
062;2006;0
062;2007;6
062;2008;11
062;2009;7
062;2010;9
062;2011;10
062;2012;12
062;2013;18
062;2014;23
062;2015;18
063;2000;0
063;2001;0
063;2002;0
063;2003;0
063;2004;0
063;2005;0
063;2006;0
063;2007;8
063;2008;10
063;2009;10
063;2010;10
063;2011;14
063;2012;10
063;2013;13
063;2014;16
063;2015;12
071;2000;0
071;2001;0
071;2002;0
071;2003;0
071;2004;0
071;2005;0
071;2006;0
071;2007;2
071;2008;3
071;2009;3
071;2010;3
071;2011;10
071;2012;12
071;2013;14
071;2014;19
071;2015;20
072;2000;0
072;2001;0
072;2002;0
072;2003;0
072;2004;0
072;2005;0
072;2006;0
072;2007;2
072;2008;2
072;2009;4
072;2010;2
072;2011;4
072;2012;6
072;2013;4
072;2014;8
072;2015;10
073;2000;0
073;2001;0
073;2002;0
073;2003;0
073;2004;0
073;2005;0
073;2006;0
073;2007;0
073;2008;0
073;2009;0
073;2010;0
073;2011;0
073;2012;2
073;2013;2
073;2014;4
073;2015;2
081;2000;0
081;2001;0
081;2002;0
081;2003;0
081;2004;0
081;2005;0
081;2006;0
081;2007;3
