wbe;jahr;anzahl_roemischkatholisch
011;2000;42
011;2001;42
011;2002;39
011;2003;34
011;2004;41
011;2005;39
011;2006;38
011;2007;39
011;2008;35
011;2009;34
011;2010;27
011;2011;26
011;2012;33
011;2013;31
011;2014;33
011;2015;33
012;2000;71
012;2001;67
012;2002;72
012;2003;69
012;2004;64
012;2005;66
012;2006;63
012;2007;65
012;2008;63
012;2009;63
012;2010;56
012;2011;59
012;2012;63
012;2013;65
012;2014;59
012;2015;53
013;2000;81
013;2001;84
013;2002;93
013;2003;78
013;2004;86
013;2005;78
013;2006;80
013;2007;82
013;2008;78
013;2009;74
013;2010;61
013;2011;67
013;2012;71
013;2013;66
013;2014;70
013;2015;64
014;2000;175
014;2001;179
014;2002;175
014;2003;181
014;2004;168
014;2005;164
014;2006;159
014;2007;145
014;2008;137
014;2009;129
014;2010;119
014;2011;135
014;2012;131
014;2013;117
014;2014;124
014;2015;119
021;2000;306
021;2001;279
021;2002;266
021;2003;239
021;2004;244
021;2005;236
021;2006;217
021;2007;216
021;2008;224
021;2009;231
021;2010;232
021;2011;224
021;2012;221
021;2013;250
021;2014;220
021;2015;213
022;2000;94
022;2001;98
022;2002;101
022;2003;92
022;2004;84
022;2005;85
022;2006;88
022;2007;76
022;2008;87
022;2009;88
022;2010;89
022;2011;83
022;2012;74
022;2013;68
022;2014;53
022;2015;64
023;2000;150
023;2001;171
023;2002;160
023;2003;152
023;2004;143
023;2005;150
023;2006;157
023;2007;149
023;2008;148
023;2009;140
023;2010;130
023;2011;124
023;2012;132
023;2013;124
023;2014;125
023;2015;119
024;2000;136
024;2001;126
024;2002;131
024;2003;128
024;2004;128
024;2005;133
024;2006;139
024;2007;139
024;2008;125
024;2009;136
024;2010;137
024;2011;130
024;2012;121
024;2013;128
024;2014;130
024;2015;122
025;2000;214
025;2001;195
025;2002;192
025;2003;189
025;2004;179
025;2005;177
025;2006;182
025;2007;185
025;2008;187
025;2009;181
025;2010;167
025;2011;149
025;2012;152
025;2013;168
025;2014;174
025;2015;171
026;2000;19
026;2001;22
026;2002;28
026;2003;26
026;2004;27
026;2005;31
026;2006;29
026;2007;33
026;2008;25
026;2009;24
026;2010;25
026;2011;21
026;2012;24
026;2013;22
026;2014;22
026;2015;25
031;2000;702
031;2001;645
031;2002;631
031;2003;594
031;2004;589
031;2005;583
031;2006;564
031;2007;550
031;2008;550
031;2009;535
031;2010;496
031;2011;478
031;2012;483
031;2013;485
031;2014;487
031;2015;490
032;2000;760
032;2001;743
032;2002;725
032;2003;663
032;2004;683
032;2005;671
032;2006;649
032;2007;637
032;2008;630
032;2009;598
032;2010;573
032;2011;527
032;2012;517
032;2013;504
032;2014;485
032;2015;494
033;2000;738
033;2001;724
033;2002;711
033;2003;711
033;2004;711
033;2005;724
033;2006;692
033;2007;675
033;2008;649
033;2009;624
033;2010;629
033;2011;623
033;2012;622
033;2013;610
033;2014;610
033;2015;615
034;2000;44
034;2001;38
034;2002;32
034;2003;34
034;2004;43
034;2005;46
034;2006;51
034;2007;42
034;2008;41
034;2009;39
034;2010;30
034;2011;33
034;2012;42
034;2013;47
034;2014;44
034;2015;32
041;2000;768
041;2001;761
041;2002;733
041;2003;730
041;2004;694
041;2005;691
041;2006;675
041;2007;682
041;2008;703
041;2009;660
041;2010;646
041;2011;643
041;2012;631
041;2013;649
041;2014;615
041;2015;617
042;2000;937
042;2001;911
042;2002;871
042;2003;849
042;2004;836
042;2005;787
042;2006;765
042;2007;763
042;2008;748
042;2009;728
042;2010;726
042;2011;724
042;2012;697
042;2013;687
042;2014;675
042;2015;648
051;2000;11
051;2001;14
051;2002;15
051;2003;14
051;2004;17
051;2005;14
051;2006;18
051;2007;24
051;2008;16
051;2009;11
051;2010;5
051;2011;5
051;2012;4
051;2013;7
051;2014;6
051;2015;7
052;2000;264
052;2001;253
052;2002;248
052;2003;240
052;2004;243
052;2005;228
052;2006;227
052;2007;229
052;2008;229
052;2009;226
052;2010;209
052;2011;208
052;2012;200
052;2013;181
052;2014;180
052;2015;171
053;2000;1149
053;2001;1132
053;2002;1158
053;2003;1112
053;2004;1106
053;2005;1061
053;2006;1067
053;2007;1059
053;2008;1059
053;2009;988
053;2010;986
053;2011;966
053;2012;951
053;2013;930
053;2014;906
053;2015;902
054;2000;504
054;2001;475
054;2002;466
054;2003;463
054;2004;492
054;2005;474
054;2006;477
054;2007;480
054;2008;469
054;2009;444
054;2010;433
054;2011;427
054;2012;406
054;2013;419
054;2014;416
054;2015;426
055;2000;178
055;2001;165
055;2002;184
055;2003;189
055;2004;190
055;2005;190
055;2006;177
055;2007;148
055;2008;168
055;2009;177
055;2010;171
055;2011;161
055;2012;164
055;2013;163
055;2014;170
055;2015;164
061;2000;1104
061;2001;1094
061;2002;1037
061;2003;1045
061;2004;988
061;2005;967
061;2006;987
061;2007;932
061;2008;935
061;2009;900
061;2010;821
061;2011;788
061;2012;814
061;2013;803
061;2014;800
061;2015;788
062;2000;1386
062;2001;1360
062;2002;1322
062;2003;1311
062;2004;1284
062;2005;1269
062;2006;1248
062;2007;1221
062;2008;1253
062;2009;1214
062;2010;1119
062;2011;1087
062;2012;1073
062;2013;1059
062;2014;1076
062;2015;1062
063;2000;1103
063;2001;1077
063;2002;1059
063;2003;1058
063;2004;1003
063;2005;954
063;2006;940
063;2007;909
063;2008;885
063;2009;906
063;2010;871
063;2011;871
063;2012;844
063;2013;849
063;2014;862
063;2015;800
071;2000;1166
071;2001;1138
071;2002;1119
071;2003;1088
071;2004;1044
071;2005;1016
071;2006;1026
071;2007;1058
071;2008;1035
071;2009;1020
071;2010;1006
071;2011;1004
071;2012;1005
071;2013;997
071;2014;982
071;2015;992
072;2000;783
072;2001;770
072;2002;743
072;2003;732
072;2004;703
072;2005;708
072;2006;681
072;2007;628
072;2008;612
072;2009;595
072;2010;577
072;2011;571
072;2012;555
072;2013;551
072;2014;566
072;2015;585
073;2000;58
073;2001;58
073;2002;52
073;2003;49
073;2004;43
073;2005;46
073;2006;44
073;2007;43
073;2008;48
073;2009;52
073;2010;57
073;2011;61
073;2012;66
073;2013;64
073;2014;61
073;2015;64
081;2000;501
081;2001;500
081;2002;492
081;2003;468
081;2004;461
081;2005;444
081;2006;416
081;2007;408
081;2008;403
081;2009;384
081;2010;379
081;2011;366
