wbe;jahr;anzahl_v
011;2000;139
011;2001;146
011;2002;143
011;2003;143
011;2004;145
011;2005;148
011;2006;150
011;2007;149
011;2008;140
011;2009;128
011;2010;123
011;2011;115
011;2012;119
011;2013;126
011;2014;135
011;2015;126
012;2000;147
012;2001;145
012;2002;135
012;2003;146
012;2004;141
012;2005;132
012;2006;124
012;2007;125
012;2008;132
012;2009;137
012;2010;137
012;2011;133
012;2012;136
012;2013;155
012;2014;159
012;2015;159
013;2000;207
013;2001;205
013;2002;204
013;2003;195
013;2004;185
013;2005;181
013;2006;183
013;2007;197
013;2008;194
013;2009;189
013;2010;183
013;2011;197
013;2012;196
013;2013;196
013;2014;203
013;2015;187
014;2000;296
014;2001;297
014;2002;311
014;2003;297
014;2004;302
014;2005;292
014;2006;277
014;2007;266
014;2008;260
014;2009;247
014;2010;253
014;2011;257
014;2012;282
014;2013;278
014;2014;262
014;2015;270
021;2000;530
021;2001;522
021;2002;489
021;2003;480
021;2004;480
021;2005;473
021;2006;431
021;2007;429
021;2008;421
021;2009;425
021;2010;391
021;2011;430
021;2012;447
021;2013;444
021;2014;457
021;2015;446
022;2000;168
022;2001;167
022;2002;166
022;2003;159
022;2004;149
022;2005;163
022;2006;167
022;2007;162
022;2008;180
022;2009;166
022;2010;163
022;2011;164
022;2012;160
022;2013;145
022;2014;141
022;2015;163
023;2000;212
023;2001;226
023;2002;225
023;2003;214
023;2004;220
023;2005;214
023;2006;227
023;2007;215
023;2008;212
023;2009;211
023;2010;193
023;2011;186
023;2012;193
023;2013;171
023;2014;192
023;2015;197
024;2000;211
024;2001;204
024;2002;201
024;2003;200
024;2004;201
024;2005;203
024;2006;201
024;2007;188
024;2008;178
024;2009;196
024;2010;200
024;2011;196
024;2012;182
024;2013;213
024;2014;205
024;2015;206
025;2000;534
025;2001;533
025;2002;520
025;2003;508
025;2004;500
025;2005;488
025;2006;502
025;2007;507
025;2008;542
025;2009;554
025;2010;534
025;2011;492
025;2012;471
025;2013;493
025;2014;527
025;2015;556
026;2000;89
026;2001;85
026;2002;98
026;2003;91
026;2004;95
026;2005;98
026;2006;96
026;2007;92
026;2008;81
026;2009;79
026;2010;86
026;2011;81
026;2012;83
026;2013;83
026;2014;80
026;2015;88
031;2000;1039
031;2001;1002
031;2002;1011
031;2003;1004
031;2004;1024
031;2005;982
031;2006;918
031;2007;873
031;2008;889
031;2009;883
031;2010;862
031;2011;878
031;2012;858
031;2013;867
031;2014;859
031;2015;848
032;2000;1289
032;2001;1285
032;2002;1331
032;2003;1320
032;2004;1323
032;2005;1325
032;2006;1329
032;2007;1303
032;2008;1310
032;2009;1315
032;2010;1285
032;2011;1292
032;2012;1290
032;2013;1284
032;2014;1282
032;2015;1277
033;2000;1279
033;2001;1267
033;2002;1271
033;2003;1270
033;2004;1267
033;2005;1260
033;2006;1193
033;2007;1178
033;2008;1147
033;2009;1174
033;2010;1208
033;2011;1217
033;2012;1260
033;2013;1270
033;2014;1220
033;2015;1234
034;2000;60
034;2001;56
034;2002;60
034;2003;68
034;2004;67
034;2005;75
034;2006;73
034;2007;74
034;2008;67
034;2009;68
034;2010;56
034;2011;46
034;2012;60
034;2013;73
034;2014;79
034;2015;60
041;2000;1654
041;2001;1651
041;2002;1587
041;2003;1602
041;2004;1566
041;2005;1534
041;2006;1501
041;2007;1504
041;2008;1470
041;2009;1485
041;2010;1466
041;2011;1453
041;2012;1481
041;2013;1499
041;2014;1521
041;2015;1512
042;2000;2076
042;2001;2017
042;2002;1957
042;2003;1959
042;2004;1928
042;2005;1910
042;2006;1912
042;2007;1829
042;2008;1809
042;2009;1797
042;2010;1798
042;2011;1782
042;2012;1763
042;2013;1730
042;2014;1713
042;2015;1673
051;2000;32
051;2001;35
051;2002;29
051;2003;23
051;2004;24
051;2005;23
051;2006;31
051;2007;26
051;2008;23
051;2009;18
051;2010;6
051;2011;11
051;2012;9
051;2013;8
051;2014;12
051;2015;9
052;2000;454
052;2001;451
052;2002;448
052;2003;440
052;2004;436
052;2005;414
052;2006;426
052;2007;414
052;2008;439
052;2009;439
052;2010;420
052;2011;405
052;2012;412
052;2013;406
052;2014;401
052;2015;392
053;2000;2666
053;2001;2652
053;2002;2639
053;2003;2569
053;2004;2591
053;2005;2576
053;2006;2582
053;2007;2555
053;2008;2572
053;2009;2554
053;2010;2526
053;2011;2551
053;2012;2519
053;2013;2545
053;2014;2514
053;2015;2557
054;2000;1084
054;2001;1084
054;2002;1105
054;2003;1072
054;2004;1120
054;2005;1112
054;2006;1082
054;2007;1081
054;2008;1091
054;2009;1081
054;2010;1062
054;2011;1070
054;2012;1055
054;2013;1052
054;2014;1031
054;2015;1009
055;2000;444
055;2001;420
055;2002;438
055;2003;426
055;2004;409
055;2005;407
055;2006;385
055;2007;364
055;2008;393
055;2009;399
055;2010;394
055;2011;391
055;2012;388
055;2013;392
055;2014;396
