wbe;jahr;anzahl_whg
011;2013;166
011;2014;165
011;2015;166
012;2013;263
012;2014;272
012;2015;273
013;2013;403
013;2014;411
013;2015;415
014;2013;511
014;2014;517
014;2015;527
021;2013;860
021;2014;872
021;2015;877
022;2013;357
022;2014;361
022;2015;372
023;2013;661
023;2014;683
023;2015;709
024;2013;466
024;2014;487
024;2015;464
025;2013;704
025;2014;803
025;2015;807
026;2013;125
026;2014;126
026;2015;129
031;2013;1731
031;2014;1730
031;2015;1748
032;2013;2092
032;2014;2089
032;2015;2110
033;2013;2047
033;2014;2056
033;2015;2078
034;2013;206
034;2014;207
034;2015;207
041;2013;2425
041;2014;2429
041;2015;2436
042;2013;2726
042;2014;2734
042;2015;2743
051;2013;30
051;2014;33
051;2015;33
052;2013;619
052;2014;623
052;2015;630
053;2013;3595
053;2014;3624
053;2015;3551
054;2013;1263
054;2014;1260
054;2015;1262
055;2013;642
055;2014;643
055;2015;647
061;2013;3508
061;2014;3575
061;2015;3616
062;2013;4387
062;2014;4230
062;2015;4261
063;2013;3165
063;2014;3185
063;2015;3193
071;2013;2717
071;2014;2720
071;2015;2725
072;2013;1512
072;2014;1515
072;2015;1520
073;2013;115
073;2014;115
073;2015;115
081;2013;1341
081;2014;1343
081;2015;1359
082;2013;948
082;2014;954
082;2015;962
083;2013;1252
083;2014;1255
083;2015;1259
084;2013;880
084;2014;879
084;2015;883
085;2013;2719
085;2014;2719
085;2015;2729
091;2013;3126
091;2014;3134
091;2015;3155
092;2013;938
092;2014;942
092;2015;942
101;2013;3927
101;2014;3964
101;2015;3986
102;2013;2713
102;2014;2710
102;2015;2722
103;2013;2815
103;2014;2848
103;2015;2868
111;2013;2216
111;2014;2227
111;2015;2236
112;2013;1099
112;2014;1113
112;2015;1116
113;2013;3800
113;2014;3809
113;2015;3831
114;2013;1082
114;2014;1093
114;2015;1093
115;2013;1759
115;2014;1760
115;2015;1764
121;2013;841
121;2014;875
121;2015;883
122;2013;608
122;2014;634
122;2015;638
131;2013;615
131;2014;654
131;2015;655
132;2013;1634
132;2014;1650
132;2015;1657
141;2013;1756
141;2014;1859
141;2015;1862
142;2013;1381
142;2014;1390
142;2015;1392
151;2013;1433
151;2014;1474
151;2015;1513
152;2013;1199
152;2014;1197
152;2015;1197
153;2013;1821
153;2014;1820
153;2015;1822
161;2013;2481
161;2014;2492
161;2015;2462
162;2013;311
162;2014;379
162;2015;953
171;2013;884
171;2014;894
171;2015;901
172;2013;2138
172;2014;2164
172;2015;2171
173;2013;1729
173;2014;1746
173;2015;1753
174;2013;3909
174;2014;3917
174;2015;3952
180;2013;3729
180;2014;3717
180;2015;3725
190;2013;1345
190;2014;1352
190;2015;1355
201;2013;1703
201;2014;1709
201;2015;1717
202;2013;1222
202;2014;1235
202;2015;1235
203;2013;567
203;2014;566
203;2015;605
204;2013;390
204;2014;389
204;2015;390
205;2013;973
205;2014;975
205;2015;978
206;2013;1054
206;2014;1066
206;2015;1066
207;2013;3064
207;2014;3063
207;2015;3048
208;2013;1030
208;2014;1031
208;2015;1032
301;2013;437
301;2014;451
301;2015;452
302;2013;42
302;2014;41
302;2015;46
