wbe;jahr;arbeitsstaetten
011;2011;169
011;2012;167
011;2013;162
011;2014;151
011;2015;154
012;2011;880
012;2012;909
012;2013;939
012;2014;951
012;2015;967
013;2011;179
013;2012;184
013;2013;183
013;2014;186
013;2015;204
014;2011;249
014;2012;260
014;2013;263
014;2014;260
014;2015;254
021;2011;298
021;2012;298
021;2013;289
021;2014;303
021;2015;297
022;2011;103
022;2012;101
022;2013;103
022;2014;108
022;2015;109
023;2011;436
023;2012;435
023;2013;444
023;2014;446
023;2015;446
024;2011;708
024;2012;732
024;2013;738
024;2014;754
024;2015;746
025;2011;364
025;2012;345
025;2013;352
025;2014;365
025;2015;358
026;2011;40
026;2012;43
026;2013;45
026;2014;45
026;2015;47
031;2011;224
031;2012;226
031;2013;239
031;2014;255
031;2015;260
032;2011;390
032;2012;399
032;2013;405
032;2014;412
032;2015;403
033;2011;683
033;2012;694
033;2013;708
033;2014;724
033;2015;715
034;2011;107
034;2012;126
034;2013;135
034;2014;136
034;2015;134
041;2011;184
041;2012;192
041;2013;197
041;2014;211
041;2015;225
042;2011;134
042;2012;137
042;2013;145
042;2014;150
042;2015;153
051;2011;132
051;2012;133
051;2013;133
051;2014;142
051;2015;141
052;2011;284
052;2012;302
052;2013;294
052;2014;297
052;2015;289
053;2011;700
053;2012;705
053;2013;716
053;2014;759
053;2015;741
054;2011;130
054;2012;129
054;2013;126
054;2014;140
054;2015;134
055;2011;470
055;2012;487
055;2013;488
055;2014;497
055;2015;530
061;2011;653
061;2012;650
061;2013;637
061;2014;649
061;2015;662
062;2011;566
062;2012;550
062;2013;557
062;2014;591
062;2015;604
063;2011;274
063;2012;272
063;2013;276
063;2014;308
063;2015;300
071;2011;239
071;2012;248
071;2013;254
071;2014;266
071;2015;285
072;2011;151
072;2012;150
072;2013;143
072;2014;162
072;2015;157
073;2011;18
073;2012;20
073;2013;20
073;2014;22
073;2015;18
081;2011;297
081;2012;295
081;2013;302
081;2014;301
081;2015;293
082;2011;94
082;2012;96
082;2013;98
082;2014;108
082;2015;107
083;2011;92
083;2012;99
083;2013;107
083;2014;111
083;2015;105
084;2011;101
084;2012;95
084;2013;94
084;2014;106
084;2015;106
085;2011;241
085;2012;254
085;2013;259
085;2014;278
085;2015;293
091;2011;387
091;2012;393
091;2013;405
091;2014;425
091;2015;415
092;2011;76
092;2012;73
092;2013;74
092;2014;76
092;2015;74
101;2011;346
101;2012;357
101;2013;335
101;2014;368
101;2015;373
102;2011;152
102;2012;158
102;2013;158
102;2014;167
102;2015;177
103;2011;126
103;2012;122
103;2013;126
103;2014;129
103;2015;130
111;2011;199
111;2012;201
111;2013;190
111;2014;211
111;2015;213
112;2011;115
112;2012;116
112;2013;124
112;2014;123
112;2015;125
113;2011;330
113;2012;339
113;2013;357
113;2014;360
113;2015;356
114;2011;193
114;2012;197
114;2013;204
114;2014;214
114;2015;229
115;2011;193
115;2012;188
115;2013;193
115;2014;214
115;2015;209
119;2011;60
119;2012;59
119;2013;55
119;2014;56
119;2015;49
121;2011;271
121;2012;272
121;2013;271
121;2014;288
121;2015;291
122;2011;232
122;2012;242
122;2013;241
122;2014;245
122;2015;247
131;2011;129
131;2012;132
131;2013;125
131;2014;123
131;2015;121
132;2011;255
132;2012;275
132;2013;286
132;2014;287
132;2015;288
141;2011;306
141;2012;302
141;2013;303
141;2014;323
141;2015;325
142;2011;92
142;2012;93
142;2013;96
142;2014;105
142;2015;115
151;2011;98
151;2012;95
151;2013;93
151;2014;96
151;2015;98
152;2011;111
152;2012;106
152;2013;113
152;2014;114
152;2015;112
153;2011;86
153;2012;89
153;2013;86
153;2014;96
153;2015;107
160;2011;NaN
161;2011;269
161;2012;279
161;2013;274
161;2014;270
161;2015;252
162;2011;28
162;2012;30
162;2013;33
162;2014;37
162;2015;48
171;2011;99
171;2012;101
171;2013;119
171;2014;115
171;2015;115
172;2011;243
172;2012;254
172;2013;272
172;2014;286
172;2015;292
173;2011;190
173;2012;214
173;2013;196
173;2014;203
173;2015;203
174;2011;413
174;2012;430
174;2013;429
174;2014;441
174;2015;439
180;2011;312
180;2012;311
180;2013;313
180;2014;350
180;2015;348
190;2011;330
190;2012;343
190;2013;320
190;2014;334
190;2015;333
201;2011;291
201;2012;280
201;2013;279
201;2014;296
201;2015;286
202;2011;123
202;2012;124
202;2013;123
202;2014;128
202;2015;127
203;2011;42
203;2012;44
203;2013;42
203;2014;46
203;2015;46
204;2011;39
204;2012;40
204;2013;42
204;2014;41
204;2015;39
205;2011;97
205;2012;97
205;2013;99
205;2014;91
205;2015;80
206;2011;81
206;2012;85
206;2013;86
206;2014;94
206;2015;99
207;2011;207
207;2012;207
207;2013;221
207;2014;226
207;2015;227
208;2011;115
208;2012;113
208;2013;101
208;2014;105
208;2015;101
301;2011;36
301;2012;43
301;2013;45
301;2014;44
301;2015;44
302;2011;10
302;2012;10
302;2013;9
302;2014;9
302;2015;9
