wbe;jahr;area
011;2000;11
011;2001;11
011;2002;11
011;2003;11
011;2004;11
011;2005;11
011;2006;11
011;2007;11
011;2008;11
011;2009;11
011;2010;11
011;2011;11
011;2012;11
011;2013;11
011;2014;11
012;2000;13
012;2001;13
012;2002;13
012;2003;13
012;2004;13
012;2005;13
012;2006;13
012;2007;13
012;2008;13
012;2009;13
012;2010;13
012;2011;13
012;2012;13
012;2013;13
012;2014;13
013;2000;5
013;2001;5
013;2002;5
013;2003;5
013;2004;5
013;2005;5
013;2006;5
013;2007;5
013;2008;5
013;2009;5
013;2010;5
013;2011;5
013;2012;5
013;2013;5
013;2014;5
014;2000;8
014;2001;8
014;2002;8
014;2003;8
014;2004;8
014;2005;8
014;2006;8
014;2007;8
014;2008;8
014;2009;8
014;2010;8
014;2011;8
014;2012;8
014;2013;8
014;2014;8
021;2000;26
021;2001;26
021;2002;26
021;2003;26
021;2004;26
021;2005;26
021;2006;26
021;2007;26
021;2008;26
021;2009;26
021;2010;26
021;2011;26
021;2012;26
021;2013;26
021;2014;26
022;2000;4
022;2001;4
022;2002;4
022;2003;4
022;2004;4
022;2005;4
022;2006;4
022;2007;4
022;2008;4
022;2009;4
022;2010;4
022;2011;4
022;2012;4
022;2013;4
022;2014;4
023;2000;12
023;2001;12
023;2002;12
023;2003;12
023;2004;12
023;2005;12
023;2006;12
023;2007;12
023;2008;12
023;2009;12
023;2010;12
023;2011;12
023;2012;12
023;2013;12
023;2014;12
024;2000;24
024;2001;24
024;2002;24
024;2003;24
024;2004;24
024;2005;24
024;2006;24
024;2007;24
024;2008;24
024;2009;24
024;2010;24
024;2011;24
024;2012;24
024;2013;24
024;2014;24
025;2000;19
025;2001;19
025;2002;19
025;2003;19
025;2004;19
025;2005;19
025;2006;19
025;2007;19
025;2008;19
025;2009;19
025;2010;19
025;2011;19
025;2012;19
025;2013;19
025;2014;19
026;2000;4
026;2001;4
026;2002;4
026;2003;4
026;2004;4
026;2005;4
026;2006;4
026;2007;4
026;2008;4
026;2009;4
026;2010;4
026;2011;4
026;2012;4
026;2013;4
026;2014;4
031;2000;27
031;2001;27
031;2002;27
031;2003;27
031;2004;27
031;2005;27
031;2006;27
031;2007;27
031;2008;27
031;2009;27
031;2010;27
031;2011;27
031;2012;27
031;2013;27
031;2014;27
032;2000;26
032;2001;26
032;2002;26
032;2003;26
032;2004;26
032;2005;26
032;2006;26
032;2007;26
032;2008;26
032;2009;26
032;2010;26
032;2011;26
032;2012;26
032;2013;26
032;2014;26
033;2000;32
033;2001;32
033;2002;32
033;2003;32
033;2004;32
033;2005;32
033;2006;32
033;2007;32
033;2008;32
033;2009;32
033;2010;32
033;2011;32
033;2012;32
033;2013;32
033;2014;32
034;2000;6
034;2001;6
034;2002;6
034;2003;6
034;2004;6
034;2005;6
034;2006;6
034;2007;6
034;2008;6
034;2009;6
034;2010;6
034;2011;6
034;2012;6
034;2013;6
034;2014;6
041;2000;26
041;2001;26
041;2002;26
041;2003;26
041;2004;26
041;2005;26
041;2006;26
041;2007;26
041;2008;26
041;2009;26
041;2010;26
041;2011;26
041;2012;26
041;2013;26
041;2014;26
042;2000;42
042;2001;42
042;2002;42
042;2003;42
042;2004;42
042;2005;42
042;2006;42
042;2007;42
042;2008;42
042;2009;42
042;2010;42
042;2011;42
042;2012;42
042;2013;42
042;2014;42
051;2000;5
051;2001;5
051;2002;5
051;2003;5
051;2004;5
051;2005;5
051;2006;5
051;2007;5
051;2008;5
051;2009;5
051;2010;5
051;2011;5
051;2012;5
051;2013;5
051;2014;5
052;2000;22
052;2001;22
052;2002;22
052;2003;22
052;2004;22
052;2005;22
052;2006;22
052;2007;22
052;2008;22
052;2009;22
052;2010;22
052;2011;22
052;2012;22
052;2013;22
052;2014;22
053;2000;91
053;2001;91
053;2002;91
053;2003;91
053;2004;91
053;2005;91
053;2006;91
053;2007;91
053;2008;91
053;2009;91
053;2010;91
053;2011;91
053;2012;91
053;2013;91
053;2014;91
054;2000;50
054;2001;50
054;2002;50
054;2003;50
054;2004;50
054;2005;50
054;2006;50
054;2007;50
054;2008;50
054;2009;50
054;2010;50
054;2011;50
054;2012;50
054;2013;50
054;2014;50
055;2000;130
055;2001;130
