wbe;jahr;baeume
011;2014;84
011;2015;86
012;2014;26
012;2015;26
013;2014;31
013;2015;32
014;2014;32
014;2015;31
021;2014;571
021;2015;597
022;2014;65
022;2015;66
023;2014;135
023;2015;135
024;2014;363
024;2015;365
025;2014;199
025;2015;202
026;2014;76
026;2015;76
031;2014;313
031;2015;360
032;2014;151
032;2015;152
033;2014;247
033;2015;232
034;2014;84
034;2015;72
041;2014;344
041;2015;331
042;2014;338
042;2015;333
051;2014;33
051;2015;33
052;2014;168
052;2015;160
053;2014;852
053;2015;844
054;2014;708
054;2015;718
055;2014;733
055;2015;727
061;2014;622
061;2015;626
062;2014;212
062;2015;218
063;2014;171
063;2015;174
071;2014;683
071;2015;701
072;2014;1273
072;2015;1258
073;2014;48
073;2015;47
081;2014;393
081;2015;397
082;2014;281
082;2015;301
083;2014;153
083;2015;157
084;2014;1097
084;2015;1089
085;2014;349
085;2015;344
091;2014;103
091;2015;105
092;2014;587
092;2015;588
101;2014;311
101;2015;311
102;2014;275
102;2015;272
103;2014;746
103;2015;723
111;2014;275
111;2015;276
112;2014;84
112;2015;84
113;2014;185
113;2015;183
114;2014;400
114;2015;401
115;2014;1567
115;2015;1533
121;2014;160
121;2015;157
122;2014;154
122;2015;154
131;2014;188
131;2015;185
132;2014;197
132;2015;200
141;2014;285
141;2015;294
142;2014;1028
142;2015;1078
151;2014;657
151;2015;666
152;2014;492
152;2015;493
153;2014;762
153;2015;761
161;2014;314
161;2015;323
162;2014;353
162;2015;448
171;2014;76
171;2015;75
172;2014;248
172;2015;249
173;2014;85
173;2015;85
174;2014;377
174;2015;375
180;2014;1143
180;2015;1122
190;2014;591
190;2015;583
201;2014;821
201;2015;811
202;2014;214
202;2015;211
203;2014;143
203;2015;135
204;2014;140
204;2015;132
205;2014;1036
205;2015;1036
206;2014;1641
206;2015;1642
207;2014;916
207;2015;912
208;2014;302
208;2015;311
301;2014;40
301;2015;40
302;2014;0
302;2015;0
011;2013;84
012;2013;26
013;2013;35
014;2013;32
021;2013;579
022;2013;65
023;2013;131
024;2013;364
025;2013;200
026;2013;76
031;2013;331
032;2013;153
033;2013;239
034;2013;84
041;2013;344
042;2013;336
051;2013;33
052;2013;168
053;2013;863
054;2013;742
055;2013;574
061;2013;602
062;2013;213
063;2013;171
071;2013;680
072;2013;1259
073;2013;47
081;2013;395
082;2013;283
083;2013;154
084;2013;1082
085;2013;344
091;2013;105
092;2013;573
101;2013;317
102;2013;215
103;2013;697
111;2013;279
112;2013;85
113;2013;190
114;2013;349
115;2013;1533
121;2013;162
122;2013;160
131;2013;190
132;2013;211
141;2013;283
142;2013;1024
151;2013;679
152;2013;496
153;2013;746
161;2013;317
162;2013;353
171;2013;67
172;2013;239
173;2013;85
174;2013;380
180;2013;1105
190;2013;613
201;2013;828
202;2013;189
203;2013;143
204;2013;141
205;2013;1029
206;2013;1277
207;2013;912
208;2013;302
301;2013;37
