wbe;jahr;baeume_dichte
011;2014;7.8
011;2015;8.0
012;2014;1.9
012;2015;1.9
013;2014;6.2
013;2015;6.4
014;2014;3.8
014;2015;3.6
021;2014;21.5
021;2015;22.5
022;2014;16.0
022;2015;16.2
023;2014;11.0
023;2015;11.0
024;2014;15.5
024;2015;15.6
025;2014;10.2
025;2015;10.4
026;2014;16.9
026;2015;16.9
031;2014;11.4
031;2015;13.1
032;2014;5.8
032;2015;5.8
033;2014;7.8
033;2015;7.3
034;2014;13.9
034;2015;11.9
041;2014;13.4
041;2015;12.9
042;2014;8.0
042;2015;7.8
051;2014;6.7
051;2015;6.7
052;2014;7.6
052;2015;7.2
053;2014;9.3
053;2015;9.3
054;2014;14.3
054;2015;14.5
055;2014;5.6
055;2015;5.6
061;2014;11.0
061;2015;11.0
062;2014;5.7
062;2015;5.8
063;2014;7.7
063;2015;7.8
071;2014;7.4
071;2015;7.6
072;2014;12.7
072;2015;12.5
073;2014;0.7
073;2015;0.7
081;2014;11.6
081;2015;11.7
082;2014;12.7
082;2015;13.6
083;2014;9.0
083;2015;9.3
084;2014;34.1
084;2015;33.9
085;2014;7.3
085;2015;7.2
091;2014;4.1
091;2015;4.2
092;2014;24.9
092;2015;24.9
101;2014;10.5
101;2015;10.5
102;2014;9.5
102;2015;9.4
103;2014;14.7
103;2015;14.3
111;2014;14.4
111;2015;14.5
112;2014;8.1
112;2015;8.1
113;2014;7.9
113;2015;7.8
114;2014;5.5
114;2015;5.5
115;2014;15.7
115;2015;15.4
121;2014;10.6
121;2015;10.4
122;2014;15.9
122;2015;15.9
131;2014;22.7
131;2015;22.4
132;2014;13.2
132;2015;13.4
141;2014;10.7
141;2015;11.0
142;2014;20.9
142;2015;21.9
151;2014;4.3
151;2015;4.3
152;2014;8.6
152;2015;8.6
153;2014;7.7
153;2015;7.7
161;2014;8.5
161;2015;8.7
162;2014;13.5
162;2015;17.1
171;2014;9.6
171;2015;9.5
172;2014;14.2
172;2015;14.2
173;2014;9.4
173;2015;9.4
174;2014;15.0
174;2015;14.9
180;2014;12.5
180;2015;12.3
190;2014;4.4
190;2015;4.3
201;2014;6.8
201;2015;6.7
202;2014;2.3
202;2015;2.3
203;2014;1.1
203;2015;1.1
204;2014;0.8
204;2015;0.7
205;2014;5.8
205;2015;5.8
206;2014;17.9
206;2015;17.9
207;2014;5.6
207;2015;5.6
208;2014;2.4
208;2015;2.5
301;2014;0.3
301;2015;0.3
302;2014;0.0
302;2015;0.0
011;2013;7.8
012;2013;1.9
013;2013;7.0
014;2013;3.8
021;2013;21.8
022;2013;16.0
023;2013;10.7
024;2013;15.5
025;2013;10.3
026;2013;16.9
031;2013;12.1
032;2013;5.9
033;2013;7.5
034;2013;13.9
041;2013;13.4
042;2013;7.9
051;2013;6.7
052;2013;7.6
053;2013;9.5
054;2013;14.9
055;2013;4.4
061;2013;10.6
062;2013;5.7
063;2013;7.7
071;2013;7.4
072;2013;12.5
073;2013;0.7
081;2013;11.6
082;2013;12.8
083;2013;9.1
084;2013;33.6
085;2013;7.2
091;2013;4.2
092;2013;24.3
101;2013;10.7
102;2013;7.4
103;2013;13.8
111;2013;14.6
112;2013;8.2
113;2013;8.1
114;2013;4.8
115;2013;15.4
121;2013;10.7
122;2013;16.5
131;2013;23.0
132;2013;14.2
141;2013;10.6
142;2013;20.8
151;2013;4.4
152;2013;8.7
153;2013;7.6
161;2013;8.5
162;2013;13.5
171;2013;8.5
172;2013;13.7
173;2013;9.4
174;2013;15.1
180;2013;12.1
190;2013;4.5
201;2013;6.8
202;2013;2.0
203;2013;1.1
204;2013;0.8
205;2013;5.8
206;2013;14.0
207;2013;5.6
208;2013;2.4
301;2013;0.3
