wbe;jahr;empfte
011;2011;1564
011;2012;1598
011;2013;1571
011;2014;1613
011;2015;1593
012;2011;6537
012;2012;6497
012;2013;6683
012;2014;7024
012;2015;6398
013;2011;712
013;2012;697
013;2013;725
013;2014;747
013;2015;775
014;2011;1802
014;2012;1772
014;2013;1905
014;2014;1913
014;2015;1906
021;2011;6767
021;2012;6223
021;2013;6874
021;2014;7023
021;2015;6819
022;2011;505
022;2012;490
022;2013;574
022;2014;543
022;2015;482
023;2011;3949
023;2012;3948
023;2013;4072
023;2014;3970
023;2015;3308
024;2011;7815
024;2012;7574
024;2013;7732
024;2014;7895
024;2015;8245
025;2011;2575
025;2012;2643
025;2013;2607
025;2014;2693
025;2015;2695
026;2011;224
026;2012;245
026;2013;242
026;2014;252
026;2015;263
031;2011;3054
031;2012;3092
031;2013;2945
031;2014;3052
031;2015;3086
032;2011;2085
032;2012;1996
032;2013;2084
032;2014;1963
032;2015;2040
033;2011;3283
033;2012;3332
033;2013;3428
033;2014;3548
033;2015;3564
034;2011;2016
034;2012;2044
034;2013;2154
034;2014;2191
034;2015;2185
041;2011;551
041;2012;564
041;2013;554
041;2014;563
041;2015;589
042;2011;658
042;2012;656
042;2013;484
042;2014;489
042;2015;526
051;2011;1490
051;2012;1393
051;2013;1342
051;2014;1326
051;2015;1267
052;2011;6274
052;2012;6359
052;2013;6022
052;2014;6156
052;2015;6247
053;2011;6025
053;2012;6222
053;2013;6260
053;2014;5931
053;2015;6316
054;2011;1206
054;2012;1145
054;2013;1174
054;2014;1324
054;2015;1283
055;2011;7905
055;2012;8334
055;2013;8476
055;2014;8981
055;2015;9220
061;2011;6254
061;2012;6537
061;2013;6580
061;2014;6473
061;2015;5844
062;2011;4524
062;2012;4394
062;2013;4530
062;2014;4490
062;2015;4406
063;2011;904
063;2012;912
063;2013;774
063;2014;805
063;2015;777
071;2011;540
071;2012;550
071;2013;572
071;2014;566
071;2015;560
072;2011;586
072;2012;561
072;2013;586
072;2014;586
072;2015;612
073;2011;64
073;2012;61
073;2013;62
073;2014;60
073;2015;63
081;2011;1256
081;2012;1215
081;2013;1246
081;2014;1181
081;2015;1200
082;2011;195
082;2012;176
082;2013;198
082;2014;193
082;2015;175
083;2011;512
083;2012;520
083;2013;516
083;2014;500
083;2015;852
084;2011;262
084;2012;154
084;2013;154
084;2014;159
084;2015;183
085;2011;452
085;2012;472
085;2013;489
085;2014;469
085;2015;492
091;2011;1760
091;2012;1639
091;2013;1691
091;2014;1692
091;2015;1724
092;2011;536
092;2012;542
092;2013;459
092;2014;328
092;2015;300
101;2011;918
101;2012;920
101;2013;949
101;2014;991
101;2015;990
102;2011;1048
102;2012;945
102;2013;994
102;2014;928
102;2015;910
103;2011;593
103;2012;646
103;2013;677
103;2014;689
103;2015;696
111;2011;641
111;2012;659
111;2013;651
111;2014;655
111;2015;624
112;2011;324
112;2012;322
112;2013;319
112;2014;318
112;2015;334
113;2011;785
113;2012;827
113;2013;874
113;2014;890
113;2015;850
114;2011;9363
114;2012;9231
114;2013;9608
114;2014;9556
114;2015;9337
115;2011;3550
115;2012;3947
115;2013;3955
115;2014;4019
115;2015;3823
119;2011;3955
119;2012;3721
119;2013;3499
119;2014;3509
119;2015;3439
121;2011;2836
121;2012;2877
121;2013;2911
121;2014;2848
121;2015;2900
122;2011;1188
122;2012;1126
122;2013;1094
122;2014;1093
122;2015;1126
131;2011;1315
131;2012;1376
131;2013;1421
131;2014;1342
131;2015;1263
132;2011;1349
132;2012;1330
132;2013;1384
132;2014;1412
132;2015;1424
141;2011;1041
141;2012;941
141;2013;929
141;2014;991
141;2015;984
142;2011;8040
142;2012;8783
142;2013;8677
142;2014;9155
142;2015;9661
151;2011;978
151;2012;957
151;2013;974
151;2014;971
151;2015;894
152;2011;1118
152;2012;1121
152;2013;1205
152;2014;1271
152;2015;1242
153;2011;857
153;2012;855
153;2013;816
153;2014;793
153;2015;891
160;2011;33
161;2011;4887
161;2012;4710
161;2013;5000
161;2014;4816
161;2015;4599
162;2011;250
162;2012;430
162;2013;677
162;2014;799
162;2015;771
171;2011;461
171;2012;481
171;2013;476
171;2014;404
171;2015;405
172;2011;660
172;2012;605
172;2013;565
172;2014;590
172;2015;611
173;2011;542
173;2012;546
173;2013;543
173;2014;571
173;2015;568
174;2011;1385
174;2012;1373
174;2013;1490
174;2014;1307
174;2015;1368
180;2011;6605
180;2012;6912
180;2013;6171
180;2014;6025
180;2015;5799
190;2011;4508
190;2012;4754
190;2013;5384
190;2014;5884
190;2015;6261
201;2011;1334
201;2012;1384
201;2013;1395
201;2014;1421
201;2015;1489
202;2011;394
202;2012;349
202;2013;363
202;2014;360
202;2015;391
203;2011;198
203;2012;205
203;2013;198
203;2014;198
203;2015;177
204;2011;257
204;2012;272
204;2013;285
204;2014;299
204;2015;304
205;2011;179
205;2012;179
205;2013;197
205;2014;141
205;2015;137
206;2011;164
206;2012;160
206;2013;150
206;2014;173
206;2015;165
207;2011;597
207;2012;584
207;2013;642
207;2014;627
207;2015;643
208;2011;207
208;2012;199
208;2013;192
208;2014;216
208;2015;213
301;2011;93
301;2012;102
301;2013;112
301;2014;108
301;2015;107
302;2011;231
302;2012;251
302;2013;240
302;2014;244
302;2015;245
