wbe;jahr;empfte_1_2
011;2011;22
011;2012;37
011;2013;35
011;2014;40
011;2015;42
012;2011;145
012;2012;134
012;2013;127
012;2014;129
012;2015;140
013;2011;29
013;2012;24
013;2013;21
013;2014;18
013;2015;20
014;2011;57
014;2012;58
014;2013;58
014;2014;63
014;2015;63
021;2011;54
021;2012;54
021;2013;54
021;2014;43
021;2015;50
022;2011;23
022;2012;19
022;2013;20
022;2014;23
022;2015;25
023;2011;110
023;2012;102
023;2013;31
023;2014;43
023;2015;49
024;2011;189
024;2012;225
024;2013;240
024;2014;284
024;2015;379
025;2011;325
025;2012;317
025;2013;421
025;2014;444
025;2015;476
026;2011;5
026;2012;5
026;2013;4
026;2014;7
026;2015;3
031;2011;224
031;2012;207
031;2013;201
031;2014;172
031;2015;169
032;2011;143
032;2012;150
032;2013;134
032;2014;137
032;2015;149
033;2011;208
033;2012;183
033;2013;178
033;2014;180
033;2015;183
034;2011;8
034;2012;8
034;2013;6
034;2014;20
034;2015;16
041;2011;58
041;2012;54
041;2013;51
041;2014;47
041;2015;56
042;2011;311
042;2012;325
042;2013;222
042;2014;236
042;2015;210
051;2011;126
051;2012;40
051;2013;38
051;2014;70
051;2015;63
052;2011;589
052;2012;601
052;2013;461
052;2014;489
052;2015;634
053;2011;146
053;2012;120
053;2013;108
053;2014;117
053;2015;125
054;2011;61
054;2012;44
054;2013;69
054;2014;77
054;2015;72
055;2011;2388
055;2012;2369
055;2013;2306
055;2014;2451
055;2015;2611
061;2011;1142
061;2012;1191
061;2013;1253
061;2014;1274
061;2015;1260
062;2011;243
062;2012;235
062;2013;239
062;2014;276
062;2015;270
063;2011;281
063;2012;278
063;2013;265
063;2014;258
063;2015;188
071;2011;86
071;2012;84
071;2013;99
071;2014;65
071;2015;66
072;2011;15
072;2012;12
072;2013;11
072;2014;20
072;2015;18
073;2011;4
073;2012;5
073;2013;5
073;2014;4
073;2015;3
081;2011;30
081;2012;37
081;2013;32
081;2014;36
081;2015;37
082;2011;41
082;2012;45
082;2013;65
082;2014;70
082;2015;38
083;2011;159
083;2012;160
083;2013;158
083;2014;152
083;2015;152
084;2011;21
084;2012;16
084;2013;16
084;2014;16
084;2015;19
085;2011;90
085;2012;96
085;2013;93
085;2014;90
085;2015;87
091;2011;339
091;2012;342
091;2013;342
091;2014;343
091;2015;343
092;2011;172
092;2012;166
092;2013;67
092;2014;63
092;2015;61
101;2011;159
101;2012;161
101;2013;186
101;2014;122
101;2015;139
102;2011;60
102;2012;54
102;2013;63
102;2014;66
102;2015;68
103;2011;308
103;2012;359
103;2013;347
103;2014;328
103;2015;324
111;2011;42
111;2012;44
111;2013;43
111;2014;45
111;2015;48
112;2011;53
112;2012;54
112;2013;53
112;2014;51
112;2015;57
113;2011;261
113;2012;275
113;2013;282
113;2014;272
113;2015;228
114;2011;6808
114;2012;6814
114;2013;7163
114;2014;7129
114;2015;7110
115;2011;865
115;2012;800
115;2013;801
115;2014;813
115;2015;779
119;2011;1897
119;2012;1432
119;2013;1207
119;2014;1204
119;2015;1199
121;2011;41
121;2012;37
121;2013;36
121;2014;41
121;2015;37
122;2011;49
122;2012;47
122;2013;53
122;2014;46
122;2015;61
131;2011;59
131;2012;50
131;2013;77
131;2014;69
131;2015;80
132;2011;198
132;2012;213
132;2013;212
132;2014;205
132;2015;186
141;2011;57
141;2012;60
141;2013;57
141;2014;61
141;2015;46
142;2011;7351
142;2012;8079
142;2013;7994
142;2014;8467
142;2015;8890
151;2011;593
151;2012;580
151;2013;586
151;2014;565
151;2015;507
152;2011;32
152;2012;31
152;2013;41
152;2014;46
152;2015;45
153;2011;194
153;2012;184
153;2013;162
153;2014;181
153;2015;199
160;2011;0
161;2011;1306
161;2012;1005
161;2013;1075
161;2014;1046
161;2015;1077
162;2011;80
162;2012;71
162;2013;2
162;2014;84
162;2015;135
171;2011;20
171;2012;19
171;2013;21
171;2014;17
171;2015;21
172;2011;156
172;2012;103
172;2013;105
172;2014;97
172;2015;103
173;2011;230
173;2012;224
173;2013;228
173;2014;241
173;2015;231
174;2011;296
174;2012;290
174;2013;296
174;2014;280
174;2015;289
180;2011;3843
180;2012;4194
180;2013;3864
180;2014;3644
180;2015;3527
190;2011;876
190;2012;969
190;2013;907
190;2014;919
190;2015;894
201;2011;167
201;2012;152
201;2013;155
201;2014;166
201;2015;171
202;2011;87
202;2012;85
202;2013;85
202;2014;82
202;2015;77
203;2011;63
203;2012;64
203;2013;73
203;2014;73
203;2015;53
204;2011;30
204;2012;27
204;2013;26
204;2014;24
204;2015;23
205;2011;22
205;2012;18
205;2013;21
205;2014;16
205;2015;14
206;2011;24
206;2012;33
206;2013;28
206;2014;38
206;2015;31
207;2011;140
207;2012;142
207;2013;145
207;2014;146
207;2015;158
208;2011;34
208;2012;32
208;2013;28
208;2014;32
208;2015;34
301;2011;14
301;2012;12
301;2013;15
301;2014;13
301;2015;14
302;2011;3
302;2012;3
302;2013;2
302;2014;2
302;2015;2
