wbe;jahr;empfte_3
011;2011;1542
011;2012;1562
011;2013;1536
011;2014;1573
011;2015;1551
012;2011;6392
012;2012;6363
012;2013;6556
012;2014;6895
012;2015;6258
013;2011;683
013;2012;673
013;2013;704
013;2014;729
013;2015;754
014;2011;1745
014;2012;1714
014;2013;1847
014;2014;1850
014;2015;1843
021;2011;6714
021;2012;6169
021;2013;6820
021;2014;6980
021;2015;6770
022;2011;481
022;2012;471
022;2013;554
022;2014;520
022;2015;458
023;2011;3839
023;2012;3846
023;2013;4041
023;2014;3926
023;2015;3259
024;2011;7626
024;2012;7349
024;2013;7492
024;2014;7611
024;2015;7866
025;2011;2250
025;2012;2326
025;2013;2186
025;2014;2248
025;2015;2220
026;2011;220
026;2012;240
026;2013;238
026;2014;245
026;2015;259
031;2011;2829
031;2012;2885
031;2013;2744
031;2014;2881
031;2015;2917
032;2011;1941
032;2012;1846
032;2013;1950
032;2014;1827
032;2015;1891
033;2011;3075
033;2012;3149
033;2013;3250
033;2014;3367
033;2015;3381
034;2011;2008
034;2012;2037
034;2013;2148
034;2014;2171
034;2015;2169
041;2011;493
041;2012;510
041;2013;504
041;2014;516
041;2015;533
042;2011;347
042;2012;331
042;2013;262
042;2014;253
042;2015;316
051;2011;1364
051;2012;1352
051;2013;1304
051;2014;1256
051;2015;1205
052;2011;5685
052;2012;5758
052;2013;5562
052;2014;5667
052;2015;5613
053;2011;5879
053;2012;6101
053;2013;6152
053;2014;5814
053;2015;6192
054;2011;1146
054;2012;1100
054;2013;1105
054;2014;1247
054;2015;1211
055;2011;5517
055;2012;5965
055;2013;6170
055;2014;6530
055;2015;6609
061;2011;5112
061;2012;5345
061;2013;5326
061;2014;5200
061;2015;4584
062;2011;4281
062;2012;4159
062;2013;4291
062;2014;4214
062;2015;4136
063;2011;622
063;2012;634
063;2013;510
063;2014;548
063;2015;589
071;2011;454
071;2012;467
071;2013;473
071;2014;500
071;2015;494
072;2011;572
072;2012;548
072;2013;575
072;2014;566
072;2015;593
073;2011;60
073;2012;56
073;2013;56
073;2014;56
073;2015;59
081;2011;1226
081;2012;1177
081;2013;1214
081;2014;1145
081;2015;1163
082;2011;155
082;2012;131
082;2013;132
082;2014;122
082;2015;136
083;2011;353
083;2012;360
083;2013;358
083;2014;348
083;2015;699
084;2011;242
084;2012;139
084;2013;138
084;2014;143
084;2015;163
085;2011;363
085;2012;376
085;2013;396
085;2014;379
085;2015;405
091;2011;1421
091;2012;1297
091;2013;1348
091;2014;1348
091;2015;1381
092;2011;364
092;2012;376
092;2013;392
092;2014;265
092;2015;239
101;2011;759
101;2012;760
101;2013;763
101;2014;869
101;2015;850
102;2011;987
102;2012;891
102;2013;931
102;2014;863
102;2015;842
103;2011;285
103;2012;286
103;2013;330
103;2014;361
103;2015;371
111;2011;599
111;2012;616
111;2013;608
111;2014;610
111;2015;576
112;2011;272
112;2012;267
112;2013;266
112;2014;267
112;2015;276
113;2011;524
113;2012;552
113;2013;592
113;2014;617
113;2015;622
114;2011;2555
114;2012;2417
114;2013;2445
114;2014;2427
114;2015;2228
115;2011;2685
115;2012;3147
115;2013;3154
115;2014;3206
115;2015;3044
119;2011;2058
119;2012;2288
119;2013;2292
119;2014;2305
119;2015;2240
121;2011;2795
121;2012;2841
121;2013;2876
121;2014;2807
121;2015;2863
122;2011;1139
122;2012;1078
122;2013;1042
122;2014;1047
122;2015;1065
131;2011;1256
131;2012;1326
131;2013;1344
131;2014;1273
131;2015;1183
132;2011;1151
132;2012;1116
132;2013;1171
132;2014;1207
132;2015;1238
141;2011;984
141;2012;881
141;2013;872
141;2014;930
141;2015;938
142;2011;688
142;2012;704
142;2013;683
142;2014;688
142;2015;770
151;2011;385
151;2012;378
151;2013;388
151;2014;406
151;2015;387
152;2011;1086
152;2012;1090
152;2013;1163
152;2014;1226
152;2015;1197
153;2011;663
153;2012;671
153;2013;654
153;2014;612
153;2015;692
160;2011;33
161;2011;3581
161;2012;3705
161;2013;3925
161;2014;3770
161;2015;3522
162;2011;171
162;2012;359
162;2013;675
162;2014;715
162;2015;636
171;2011;440
171;2012;461
171;2013;455
171;2014;387
171;2015;384
172;2011;504
172;2012;502
172;2013;460
172;2014;493
172;2015;508
173;2011;313
173;2012;322
173;2013;315
173;2014;330
173;2015;336
174;2011;1090
174;2012;1084
174;2013;1194
174;2014;1027
174;2015;1079
180;2011;2762
180;2012;2718
180;2013;2308
180;2014;2381
180;2015;2271
190;2011;3632
190;2012;3785
190;2013;4477
190;2014;4964
190;2015;5367
201;2011;1167
201;2012;1231
201;2013;1240
201;2014;1254
201;2015;1318
202;2011;308
202;2012;264
202;2013;278
202;2014;279
202;2015;314
203;2011;136
203;2012;142
203;2013;124
203;2014;125
203;2015;124
204;2011;227
204;2012;245
204;2013;260
204;2014;275
204;2015;282
205;2011;157
205;2012;161
205;2013;177
205;2014;125
205;2015;123
206;2011;140
206;2012;127
206;2013;122
206;2014;136
206;2015;134
207;2011;456
207;2012;442
207;2013;497
207;2014;481
207;2015;485
208;2011;172
208;2012;168
208;2013;164
208;2014;184
208;2015;179
301;2011;79
301;2012;90
301;2013;96
301;2014;95
301;2015;93
302;2011;229
302;2012;249
302;2013;237
302;2014;242
302;2015;243
