wbe;jahr;empfte_3_rel
011;2011;98.6
011;2012;97.7
011;2013;97.8
011;2014;97.5
011;2015;97.4
012;2011;97.8
012;2012;97.9
012;2013;98.1
012;2014;98.2
012;2015;97.8
013;2011;95.9
013;2012;96.5
013;2013;97.1
013;2014;97.5
013;2015;97.4
014;2011;96.8
014;2012;96.7
014;2013;97.0
014;2014;96.7
014;2015;96.7
021;2011;99.2
021;2012;99.1
021;2013;99.2
021;2014;99.4
021;2015;99.3
022;2011;95.4
022;2012;96.1
022;2013;96.6
022;2014;95.8
022;2015;94.9
023;2011;97.2
023;2012;97.4
023;2013;99.2
023;2014;98.9
023;2015;98.5
024;2011;97.6
024;2012;97.0
024;2013;96.9
024;2014;96.4
024;2015;95.4
025;2011;87.4
025;2012;88.0
025;2013;83.8
025;2014;83.5
025;2015;82.4
026;2011;97.8
026;2012;98.1
026;2013;98.4
026;2014;97.3
026;2015;98.8
031;2011;92.7
031;2012;93.3
031;2013;93.2
031;2014;94.4
031;2015;94.5
032;2011;93.1
032;2012;92.5
032;2013;93.6
032;2014;93.0
032;2015;92.7
033;2011;93.7
033;2012;94.5
033;2013;94.8
033;2014;94.9
033;2015;94.9
034;2011;99.6
034;2012;99.6
034;2013;99.7
034;2014;99.1
034;2015;99.3
041;2011;89.4
041;2012;90.4
041;2013;90.9
041;2014;91.7
041;2015;90.4
042;2011;52.7
042;2012;50.4
042;2013;54.1
042;2014;51.7
042;2015;60.0
051;2011;91.5
051;2012;97.1
051;2013;97.1
051;2014;94.7
051;2015;95.1
052;2011;90.6
052;2012;90.6
052;2013;92.3
052;2014;92.1
052;2015;89.9
053;2011;97.6
053;2012;98.1
053;2013;98.3
053;2014;98.0
053;2015;98.0
054;2011;95.0
054;2012;96.1
054;2013;94.1
054;2014;94.2
054;2015;94.4
055;2011;69.8
055;2012;71.6
055;2013;72.8
055;2014;72.7
055;2015;71.7
061;2011;81.7
061;2012;81.8
061;2013;81.0
061;2014;80.3
061;2015;78.4
062;2011;94.6
062;2012;94.6
062;2013;94.7
062;2014;93.8
062;2015;93.9
063;2011;68.9
063;2012;69.5
063;2013;65.8
063;2014;68.0
063;2015;75.8
071;2011;84.1
071;2012;84.8
071;2013;82.7
071;2014;88.4
071;2015;88.2
072;2011;97.5
072;2012;97.8
072;2013;98.1
072;2014;96.6
072;2015;97.0
073;2011;93.9
073;2012;92.2
073;2013;91.5
073;2014;92.5
073;2015;94.4
081;2011;97.6
081;2012;96.9
081;2013;97.5
081;2014;97.0
081;2015;96.9
082;2011;79.2
082;2012;74.3
082;2013;66.9
082;2014;63.5
082;2015;78.2
083;2011;68.9
083;2012;69.2
083;2013;69.4
083;2014;69.6
083;2015;82.1
084;2011;92.2
084;2012;89.9
084;2013;89.7
084;2014;90.0
084;2015;89.4
085;2011;80.2
085;2012;79.6
085;2013;81.1
085;2014;80.8
085;2015;82.4
091;2011;80.7
091;2012;79.1
091;2013;79.8
091;2014;79.7
091;2015;80.1
092;2011;67.9
092;2012;69.3
092;2013;85.3
092;2014;80.8
092;2015;79.7
101;2011;82.7
101;2012;82.5
101;2013;80.4
101;2014;87.7
101;2015;85.9
102;2011;94.2
102;2012;94.3
102;2013;93.7
102;2014;92.9
102;2015;92.6
103;2011;48.1
103;2012;44.3
103;2013;48.7
103;2014;52.3
103;2015;53.4
111;2011;93.5
111;2012;93.4
111;2013;93.4
111;2014;93.2
111;2015;92.3
112;2011;83.8
112;2012;83.1
112;2013;83.5
112;2014;83.9
112;2015;82.8
113;2011;66.8
113;2012;66.7
113;2013;67.7
113;2014;69.4
113;2015;73.2
114;2011;27.3
114;2012;26.2
114;2013;25.4
114;2014;25.4
114;2015;23.9
115;2011;75.6
115;2012;79.7
115;2013;79.7
115;2014;79.8
115;2015;79.6
119;2011;52.0
119;2012;61.5
119;2013;65.5
119;2014;65.7
119;2015;65.1
121;2011;98.6
121;2012;98.7
121;2013;98.8
121;2014;98.6
121;2015;98.7
122;2011;95.9
122;2012;95.8
122;2013;95.2
122;2014;95.8
122;2015;94.6
131;2011;95.5
131;2012;96.4
131;2013;94.6
131;2014;94.9
131;2015;93.7
132;2011;85.3
132;2012;84.0
132;2013;84.7
132;2014;85.5
132;2015;86.9
141;2011;94.6
141;2012;93.6
141;2013;93.9
141;2014;93.8
141;2015;95.4
142;2011;8.6
142;2012;8.0
142;2013;7.9
142;2014;7.5
142;2015;8.0
151;2011;39.4
151;2012;39.4
151;2013;39.9
151;2014;41.8
151;2015;43.3
152;2011;97.2
152;2012;97.3
152;2013;96.6
152;2014;96.4
152;2015;96.3
153;2011;77.4
153;2012;78.4
153;2013;80.1
153;2014;77.1
153;2015;77.6
160;2011;100.0
161;2011;73.3
161;2012;78.7
161;2013;78.5
161;2014;78.3
161;2015;76.6
162;2011;68.2
162;2012;83.4
162;2013;99.7
162;2014;89.5
162;2015;82.5
