wbe;jahr;empfte_m
011;2011;886
011;2012;909
011;2013;883
011;2014;890
011;2015;829
012;2011;3102
012;2012;3119
012;2013;3259
012;2014;3457
012;2015;3129
013;2011;369
013;2012;376
013;2013;378
013;2014;375
013;2015;390
014;2011;960
014;2012;940
014;2013;1013
014;2014;1039
014;2015;1004
021;2011;2670
021;2012;2490
021;2013;2693
021;2014;2795
021;2015;2691
022;2011;297
022;2012;288
022;2013;316
022;2014;301
022;2015;269
023;2011;2474
023;2012;2470
023;2013;2595
023;2014;2536
023;2015;2055
024;2011;4402
024;2012;4202
024;2013;4303
024;2014;4443
024;2015;4637
025;2011;1609
025;2012;1649
025;2013;1633
025;2014;1712
025;2015;1744
026;2011;121
026;2012;124
026;2013;117
026;2014;135
026;2015;141
031;2011;1451
031;2012;1483
031;2013;1356
031;2014;1442
031;2015;1442
032;2011;1034
032;2012;1011
032;2013;1082
032;2014;1089
032;2015;1089
033;2011;1829
033;2012;1868
033;2013;1883
033;2014;1988
033;2015;1991
034;2011;1400
034;2012;1419
034;2013;1466
034;2014;1490
034;2015;1459
041;2011;301
041;2012;315
041;2013;313
041;2014;316
041;2015;316
042;2011;519
042;2012;528
042;2013;356
042;2014;368
042;2015;403
051;2011;827
051;2012;751
051;2013;707
051;2014;695
051;2015;645
052;2011;3820
052;2012;3881
052;2013;3638
052;2014;3753
052;2015;3819
053;2011;3729
053;2012;3813
053;2013;3867
053;2014;3634
053;2015;3910
054;2011;478
054;2012;424
054;2013;431
054;2014;488
054;2015;471
055;2011;5890
055;2012;6246
055;2013;6236
055;2014;6578
055;2015;6711
061;2011;4368
061;2012;4592
061;2013;4608
061;2014;4504
061;2015;4022
062;2011;2570
062;2012;2504
062;2013;2579
062;2014;2512
062;2015;2485
063;2011;585
063;2012;597
063;2013;509
063;2014;522
063;2015;488
071;2011;291
071;2012;292
071;2013;307
071;2014;285
071;2015;280
072;2011;290
072;2012;277
072;2013;276
072;2014;286
072;2015;293
073;2011;38
073;2012;34
073;2013;31
073;2014;31
073;2015;32
081;2011;682
081;2012;643
081;2013;644
081;2014;608
081;2015;614
082;2011;114
082;2012;104
082;2013;123
082;2014;122
082;2015;99
083;2011;258
083;2012;259
083;2013;265
083;2014;260
083;2015;484
084;2011;186
084;2012;84
084;2013;81
084;2014;89
084;2015;117
085;2011;243
085;2012;252
085;2013;250
085;2014;249
085;2015;264
091;2011;827
091;2012;779
091;2013;800
091;2014;797
091;2015;845
092;2011;420
092;2012;416
092;2013;337
092;2014;228
092;2015;208
101;2011;605
101;2012;589
101;2013;631
101;2014;599
101;2015;617
102;2011;381
102;2012;357
102;2013;374
102;2014;363
102;2015;360
103;2011;457
103;2012;517
103;2013;542
103;2014;540
103;2015;538
111;2011;329
111;2012;348
111;2013;345
111;2014;352
111;2015;323
112;2011;172
112;2012;165
112;2013;165
112;2014;171
112;2015;175
113;2011;485
113;2012;507
113;2013;532
113;2014;543
113;2015;493
114;2011;5966
114;2012;5901
114;2013;6052
114;2014;5900
114;2015;5779
115;2011;2170
115;2012;2471
115;2013;2453
115;2014;2441
115;2015;2198
119;2011;3006
119;2012;2761
119;2013;2574
119;2014;2598
119;2015;2532
121;2011;1297
121;2012;1325
121;2013;1352
121;2014;1302
121;2015;1348
122;2011;500
122;2012;482
122;2013;507
122;2014;525
122;2015;524
131;2011;734
131;2012;794
131;2013;790
131;2014;723
131;2015;692
132;2011;726
132;2012;696
132;2013;715
132;2014;735
132;2015;694
141;2011;552
141;2012;502
141;2013;486
141;2014;536
141;2015;513
142;2011;4904
142;2012;5304
142;2013;5220
142;2014;5400
142;2015;5618
151;2011;677
151;2012;672
151;2013;671
151;2014;676
151;2015;612
152;2011;383
152;2012;375
152;2013;407
152;2014;425
152;2015;414
153;2011;582
153;2012;580
153;2013;565
153;2014;557
153;2015;624
160;2011;30
161;2011;3018
161;2012;2857
161;2013;2995
161;2014;2899
161;2015;2775
162;2011;108
162;2012;231
162;2013;406
162;2014;541
162;2015;505
171;2011;259
171;2012;269
171;2013;262
171;2014;207
171;2015;203
172;2011;427
172;2012;382
172;2013;355
172;2014;367
172;2015;381
173;2011;405
173;2012;408
173;2013;406
173;2014;433
173;2015;419
174;2011;796
174;2012;791
174;2013;843
174;2014;804
174;2015;825
180;2011;4506
180;2012;4784
180;2013;4060
180;2014;3921
180;2015;3747
190;2011;2820
190;2012;3056
190;2013;3509
190;2014;3948
190;2015;4203
201;2011;616
201;2012;644
201;2013;644
201;2014;669
201;2015;687
202;2011;281
202;2012;238
202;2013;240
202;2014;230
202;2015;236
203;2011;110
203;2012;111
203;2013;111
203;2014;110
203;2015;94
204;2011;103
204;2012;109
204;2013;119
204;2014;125
204;2015;116
205;2011;132
205;2012;134
205;2013;143
205;2014;101
205;2015;98
206;2011;106
206;2012;108
206;2013;100
206;2014;113
206;2015;108
207;2011;331
207;2012;321
207;2013;344
207;2014;346
207;2015;366
208;2011;116
208;2012;110
208;2013;105
208;2014;106
208;2015;107
301;2011;57
301;2012;58
301;2013;64
301;2014;61
301;2015;60
302;2011;91
302;2012;106
302;2013;99
302;2014;95
302;2015;89
