wbe;jahr;empfte_m_rel
011;2011;56.7
011;2012;56.9
011;2013;56.2
011;2014;55.2
011;2015;52.1
012;2011;47.4
012;2012;48.0
012;2013;48.8
012;2014;49.2
012;2015;48.9
013;2011;51.8
013;2012;53.9
013;2013;52.1
013;2014;50.2
013;2015;50.3
014;2011;53.2
014;2012;53.0
014;2013;53.2
014;2014;54.3
014;2015;52.7
021;2011;39.5
021;2012;40.0
021;2013;39.2
021;2014;39.8
021;2015;39.5
022;2011;58.8
022;2012;58.7
022;2013;55.0
022;2014;55.4
022;2015;55.8
023;2011;62.7
023;2012;62.6
023;2013;63.7
023;2014;63.9
023;2015;62.1
024;2011;56.3
024;2012;55.5
024;2013;55.7
024;2014;56.3
024;2015;56.2
025;2011;62.5
025;2012;62.4
025;2013;62.6
025;2014;63.6
025;2015;64.7
026;2011;53.7
026;2012;50.6
026;2013;48.3
026;2014;53.4
026;2015;53.7
031;2011;47.5
031;2012;47.9
031;2013;46.0
031;2014;47.2
031;2015;46.7
032;2011;49.6
032;2012;50.7
032;2013;51.9
032;2014;55.5
032;2015;53.4
033;2011;55.7
033;2012;56.1
033;2013;54.9
033;2014;56.0
033;2015;55.9
034;2011;69.4
034;2012;69.4
034;2013;68.1
034;2014;68.0
034;2015;66.8
041;2011;54.7
041;2012;55.8
041;2013;56.5
041;2014;56.2
041;2015;53.6
042;2011;78.9
042;2012;80.5
042;2013;73.7
042;2014;75.2
042;2015;76.7
051;2011;55.5
051;2012;54.0
051;2013;52.7
051;2014;52.4
051;2015;50.9
052;2011;60.9
052;2012;61.0
052;2013;60.4
052;2014;61.0
052;2015;61.1
053;2011;61.9
053;2012;61.3
053;2013;61.8
053;2014;61.3
053;2015;61.9
054;2011;39.6
054;2012;37.0
054;2013;36.7
054;2014;36.9
054;2015;36.7
055;2011;74.5
055;2012;74.9
055;2013;73.6
055;2014;73.2
055;2015;72.8
061;2011;69.8
061;2012;70.3
061;2013;70.0
061;2014;69.6
061;2015;68.8
062;2011;56.8
062;2012;57.0
062;2013;56.9
062;2014;56.0
062;2015;56.4
063;2011;64.7
063;2012;65.4
063;2013;65.7
063;2014;64.9
063;2015;62.8
071;2011;53.9
071;2012;53.1
071;2013;53.6
071;2014;50.4
071;2015;50.0
072;2011;49.4
072;2012;49.4
072;2013;47.1
072;2014;48.8
072;2015;47.8
073;2011;59.6
073;2012;56.4
073;2013;50.9
073;2014;51.0
073;2015;50.6
081;2011;54.3
081;2012;52.9
081;2013;51.7
081;2014;51.5
081;2015;51.2
082;2011;58.3
082;2012;59.1
082;2013;62.1
082;2014;63.1
082;2015;56.7
083;2011;50.3
083;2012;49.8
083;2013;51.3
083;2014;51.9
083;2015;56.8
084;2011;71.1
084;2012;54.7
084;2013;52.7
084;2014;56.0
084;2015;64.0
085;2011;53.7
085;2012;53.4
085;2013;51.2
085;2014;53.2
085;2015;53.6
091;2011;47.0
