wbe;jahr;emptot
011;2011;2096
011;2012;2130
011;2013;2111
011;2014;2131
011;2015;2167
012;2011;8529
012;2012;8556
012;2013;8920
012;2014;9247
012;2015;8476
013;2011;980
013;2012;978
013;2013;993
013;2014;1017
013;2015;1056
014;2011;2314
014;2012;2307
014;2013;2653
014;2014;2679
014;2015;2744
021;2011;8532
021;2012;8244
021;2013;8629
021;2014;9179
021;2015;8975
022;2011;710
022;2012;709
022;2013;782
022;2014;747
022;2015;670
023;2011;5306
023;2012;5400
023;2013;5372
023;2014;5312
023;2015;4556
024;2011;9815
024;2012;9613
024;2013;9650
024;2014;9757
024;2015;10181
025;2011;3200
025;2012;3353
025;2013;3311
025;2014;3493
025;2015;3361
026;2011;300
026;2012;345
026;2013;338
026;2014;347
026;2015;369
031;2011;3827
031;2012;3922
031;2013;3724
031;2014;3874
031;2015;3965
032;2011;2874
032;2012;2828
032;2013;2866
032;2014;2645
032;2015;2870
033;2011;4328
033;2012;4458
033;2013;4502
033;2014;4667
033;2015;4698
034;2011;2431
034;2012;2351
034;2013;2485
034;2014;2520
034;2015;2530
041;2011;811
041;2012;838
041;2013;788
041;2014;837
041;2015;874
042;2011;780
042;2012;787
042;2013;617
042;2014;638
042;2015;675
051;2011;1904
051;2012;1814
051;2013;1716
051;2014;1724
051;2015;1665
052;2011;7736
052;2012;7865
052;2013;7451
052;2014;7524
052;2015;7635
053;2011;7442
053;2012;7732
053;2013;7752
053;2014;7402
053;2015;7815
054;2011;1703
054;2012;1655
054;2013;1644
054;2014;1836
054;2015;1761
055;2011;9802
055;2012;10368
055;2013;10556
055;2014;11679
055;2015;11842
061;2011;7523
061;2012;7852
061;2013;8012
061;2014;7928
061;2015;7080
062;2011;5688
062;2012;5625
062;2013;5783
062;2014;5860
062;2015;5983
063;2011;1217
063;2012;1235
063;2013;1023
063;2014;1084
063;2015;1061
071;2011;792
071;2012;801
071;2013;837
071;2014;844
071;2015;832
072;2011;841
072;2012;840
072;2013;863
072;2014;899
072;2015;882
073;2011;90
073;2012;94
073;2013;88
073;2014;87
073;2015;85
081;2011;1798
081;2012;1791
081;2013;1710
081;2014;1714
081;2015;1730
082;2011;276
082;2012;256
082;2013;279
082;2014;278
082;2015;257
083;2011;676
083;2012;671
083;2013;668
083;2014;663
083;2015;1082
084;2011;336
084;2012;230
084;2013;236
084;2014;252
084;2015;275
085;2011;650
085;2012;687
085;2013;705
085;2014;709
085;2015;738
091;2011;2367
091;2012;2090
091;2013;2136
091;2014;2201
091;2015;2241
092;2011;645
092;2012;686
092;2013;611
092;2014;430
092;2015;393
101;2011;1273
101;2012;1310
101;2013;1349
101;2014;1478
101;2015;1457
102;2011;1244
102;2012;1195
102;2013;1255
102;2014;1188
102;2015;1170
103;2011;732
103;2012;794
103;2013;826
103;2014;849
103;2015;870
111;2011;885
111;2012;935
111;2013;912
111;2014;974
111;2015;945
112;2011;426
112;2012;431
112;2013;442
112;2014;444
112;2015;434
113;2011;1051
113;2012;1123
113;2013;1187
113;2014;1235
113;2015;1199
114;2011;10179
114;2012;10096
114;2013;10236
114;2014;10233
114;2015;10065
115;2011;4162
115;2012;4659
115;2013;4706
115;2014;4818
115;2015;4633
119;2011;4315
119;2012;4106
119;2013;3836
119;2014;3864
119;2015;3780
121;2011;3667
121;2012;3748
121;2013;3747
121;2014;3742
121;2015;3798
122;2011;1581
122;2012;1517
122;2013;1448
122;2014;1495
122;2015;1508
131;2011;1688
131;2012;1754
131;2013;1802
131;2014;1734
131;2015;1620
132;2011;1794
132;2012;1811
132;2013;1918
132;2014;1944
132;2015;1913
141;2011;1463
141;2012;1370
141;2013;1403
141;2014;1537
141;2015;1647
142;2011;8787
142;2012;9582
142;2013;9382
142;2014;9898
142;2015;10463
151;2011;1188
151;2012;1198
151;2013;1175
151;2014;1166
151;2015;1075
152;2011;1493
152;2012;1499
152;2013;1582
152;2014;1660
152;2015;1570
153;2011;1067
153;2012;1072
153;2013;1018
153;2014;977
153;2015;1118
160;2011;34
161;2011;5577
161;2012;5445
161;2013;5769
161;2014;5556
161;2015;5312
162;2011;297
162;2012;516
162;2013;833
162;2014;947
162;2015;934
171;2011;634
171;2012;672
171;2013;661
171;2014;553
171;2015;551
172;2011;917
172;2012;864
172;2013;812
172;2014;852
172;2015;876
173;2011;729
173;2012;744
173;2013;725
173;2014;764
173;2015;762
174;2011;1893
174;2012;1929
174;2013;2010
174;2014;1733
174;2015;1759
180;2011;7216
180;2012;7650
180;2013;6790
180;2014;6663
180;2015;6412
190;2011;6098
190;2012;6607
190;2013;7630
190;2014;7460
190;2015;7830
201;2011;1886
201;2012;1997
201;2013;2122
201;2014;2180
201;2015;2159
202;2011;490
202;2012;454
202;2013;482
202;2014;490
202;2015;541
203;2011;241
203;2012;252
203;2013;259
203;2014;257
203;2015;206
204;2011;350
204;2012;371
204;2013;386
204;2014;402
204;2015;385
205;2011;277
205;2012;274
205;2013;289
205;2014;226
205;2015;199
206;2011;241
206;2012;228
206;2013;221
206;2014;251
206;2015;246
207;2011;833
207;2012;816
207;2013;926
207;2014;934
207;2015;943
208;2011;291
208;2012;290
208;2013;276
208;2014;335
208;2015;324
301;2011;138
301;2012;157
301;2013;173
301;2014;162
301;2015;162
302;2011;348
302;2012;373
302;2013;355
302;2014;369
302;2015;363
