wbe;jahr;emptot_1_2
011;2011;25
011;2012;45
011;2013;44
011;2014;46
011;2015;53
012;2011;191
012;2012;182
012;2013;176
012;2014;175
012;2015;185
013;2011;36
013;2012;32
013;2013;28
013;2014;24
013;2015;26
014;2011;77
014;2012;81
014;2013;87
014;2014;87
014;2015;83
021;2011;76
021;2012;74
021;2013;76
021;2014;61
021;2015;64
022;2011;32
022;2012;28
022;2013;29
022;2014;30
022;2015;33
023;2011;117
023;2012;109
023;2013;37
023;2014;48
023;2015;55
024;2011;210
024;2012;244
024;2013;259
024;2014;312
024;2015;413
025;2011;340
025;2012;337
025;2013;445
025;2014;466
025;2015;501
026;2011;8
026;2012;8
026;2013;6
026;2014;9
026;2015;5
031;2011;246
031;2012;231
031;2013;223
031;2014;202
031;2015;194
032;2011;161
032;2012;172
032;2013;152
032;2014;155
032;2015;168
033;2011;227
033;2012;201
033;2013;202
033;2014;204
033;2015;206
034;2011;10
034;2012;11
034;2013;8
034;2014;22
034;2015;18
041;2011;64
041;2012;63
041;2013;61
041;2014;54
041;2015;65
042;2011;322
042;2012;339
042;2013;236
042;2014;254
042;2015;223
051;2011;132
051;2012;43
051;2013;41
051;2014;73
051;2015;71
052;2011;638
052;2012;655
052;2013;505
052;2014;526
052;2015;676
053;2011;164
053;2012;143
053;2013;128
053;2014;140
053;2015;142
054;2011;63
054;2012;50
054;2013;75
054;2014;81
054;2015;78
055;2011;2510
055;2012;2491
055;2013;2423
055;2014;2575
055;2015;2728
061;2011;1198
061;2012;1252
061;2013;1334
061;2014;1345
061;2015;1331
062;2011;273
062;2012;272
062;2013;277
062;2014;322
062;2015;311
063;2011;297
063;2012;299
063;2013;285
063;2014;280
063;2015;211
071;2011;90
071;2012;89
071;2013;109
071;2014;74
071;2015;74
072;2011;16
072;2012;14
072;2013;14
072;2014;26
072;2015;25
073;2011;5
073;2012;6
073;2013;6
073;2014;5
073;2015;4
081;2011;36
081;2012;43
081;2013;37
081;2014;44
081;2015;43
082;2011;43
082;2012;50
082;2013;73
082;2014;76
082;2015;43
083;2011;169
083;2012;170
083;2013;167
083;2014;160
083;2015;159
084;2011;25
084;2012;18
084;2013;17
084;2014;19
084;2015;24
085;2011;104
085;2012;117
085;2013;116
085;2014;111
085;2015;105
091;2011;379
091;2012;384
091;2013;387
091;2014;399
091;2015;401
092;2011;176
092;2012;172
092;2013;75
092;2014;70
092;2015;71
101;2011;178
101;2012;186
101;2013;212
101;2014;146
101;2015;162
102;2011;71
102;2012;66
102;2013;77
102;2014;79
102;2015;79
103;2011;325
103;2012;384
103;2013;370
103;2014;348
103;2015;342
111;2011;47
111;2012;52
111;2013;49
111;2014;53
111;2015;58
112;2011;63
112;2012;64
112;2013;63
112;2014;62
112;2015;69
113;2011;281
113;2012;301
113;2013;311
113;2014;305
113;2015;256
114;2011;7065
114;2012;7360
114;2013;7491
114;2014;7411
114;2015;7418
115;2011;908
115;2012;862
115;2013;857
115;2014;880
115;2015;840
119;2011;1918
119;2012;1455
119;2013;1224
119;2014;1220
119;2015;1218
121;2011;49
121;2012;45
121;2013;43
121;2014;49
121;2015;42
122;2011;55
122;2012;57
122;2013;61
122;2014;52
122;2015;70
131;2011;68
131;2012;58
131;2013;88
131;2014;84
131;2015;97
132;2011;213
132;2012;234
132;2013;232
132;2014;230
132;2015;209
141;2011;75
141;2012;79
141;2013;70
141;2014;72
141;2015;53
142;2011;7739
142;2012;8488
142;2013;8356
142;2014;8877
142;2015;9308
151;2011;645
151;2012;634
151;2013;619
151;2014;588
151;2015;528
152;2011;34
152;2012;34
152;2013;46
152;2014;55
152;2015;53
153;2011;203
153;2012;194
153;2013;172
153;2014;190
153;2015;207
160;2011;0
161;2011;1371
161;2012;1097
161;2013;1138
161;2014;1098
161;2015;1129
162;2011;84
162;2012;75
162;2013;3
162;2014;87
162;2015;138
171;2011;23
171;2012;24
171;2013;28
171;2014;23
171;2015;27
172;2011;175
172;2012;119
172;2013;124
172;2014;116
172;2015;122
173;2011;248
173;2012;242
173;2013;250
173;2014;257
173;2015;246
174;2011;315
174;2012;313
174;2013;323
174;2014;310
174;2015;323
180;2011;3973
180;2012;4444
180;2013;4030
180;2014;3787
180;2015;3672
190;2011;919
190;2012;1029
190;2013;941
190;2014;954
190;2015;934
201;2011;187
201;2012;179
201;2013;183
201;2014;193
201;2015;197
202;2011;95
202;2012;95
202;2013;96
202;2014;95
202;2015;90
203;2011;69
203;2012;70
203;2013;80
203;2014;80
203;2015;58
204;2011;33
204;2012;30
204;2013;30
204;2014;28
204;2015;26
205;2011;24
205;2012;20
205;2013;23
205;2014;19
205;2015;17
206;2011;29
206;2012;39
206;2013;33
206;2014;45
206;2015;35
207;2011;156
207;2012;160
207;2013;162
207;2014;168
207;2015;176
208;2011;39
208;2012;36
208;2013;35
208;2014;39
208;2015;41
301;2011;18
301;2012;17
301;2013;21
301;2014;18
301;2015;19
302;2011;5
302;2012;5
302;2013;4
302;2014;4
302;2015;3
