wbe;jahr;emptot_1_2_rel
011;2011;1.2
011;2012;2.1
011;2013;2.1
011;2014;2.2
011;2015;2.4
012;2011;2.2
012;2012;2.1
012;2013;2.0
012;2014;1.9
012;2015;2.2
013;2011;3.7
013;2012;3.3
013;2013;2.8
013;2014;2.4
013;2015;2.5
014;2011;3.3
014;2012;3.5
014;2013;3.3
014;2014;3.2
014;2015;3.0
021;2011;0.9
021;2012;0.9
021;2013;0.9
021;2014;0.7
021;2015;0.7
022;2011;4.5
022;2012;3.9
022;2013;3.7
022;2014;4.0
022;2015;4.9
023;2011;2.2
023;2012;2.0
023;2013;0.7
023;2014;0.9
023;2015;1.2
024;2011;2.1
024;2012;2.5
024;2013;2.7
024;2014;3.2
024;2015;4.1
025;2011;10.6
025;2012;10.1
025;2013;13.4
025;2014;13.3
025;2015;14.9
026;2011;2.7
026;2012;2.3
026;2013;1.8
026;2014;2.6
026;2015;1.4
031;2011;6.4
031;2012;5.9
031;2013;6.0
031;2014;5.2
031;2015;4.9
032;2011;5.6
032;2012;6.1
032;2013;5.3
032;2014;5.9
032;2015;5.9
033;2011;5.2
033;2012;4.5
033;2013;4.5
033;2014;4.4
033;2015;4.4
034;2011;0.4
034;2012;0.5
034;2013;0.3
034;2014;0.9
034;2015;0.7
041;2011;7.9
041;2012;7.5
041;2013;7.7
041;2014;6.5
041;2015;7.4
042;2011;41.3
042;2012;43.1
042;2013;38.2
042;2014;39.8
042;2015;33.0
051;2011;6.9
051;2012;2.4
051;2013;2.4
051;2014;4.2
051;2015;4.3
052;2011;8.2
052;2012;8.3
052;2013;6.8
052;2014;7.0
052;2015;8.9
053;2011;2.2
053;2012;1.8
053;2013;1.7
053;2014;1.9
053;2015;1.8
054;2011;3.7
054;2012;3.0
054;2013;4.6
054;2014;4.4
054;2015;4.4
055;2011;25.6
055;2012;24.0
055;2013;23.0
055;2014;22.0
055;2015;23.0
061;2011;15.9
061;2012;15.9
061;2013;16.7
061;2014;17.0
061;2015;18.8
062;2011;4.8
062;2012;4.8
062;2013;4.8
062;2014;5.5
062;2015;5.2
063;2011;24.4
063;2012;24.2
063;2013;27.9
063;2014;25.8
063;2015;19.9
071;2011;11.4
071;2012;11.1
071;2013;13.0
071;2014;8.8
071;2015;8.9
072;2011;1.9
072;2012;1.7
072;2013;1.6
072;2014;2.9
072;2015;2.8
073;2011;5.6
073;2012;6.4
073;2013;6.8
073;2014;5.7
073;2015;4.7
081;2011;2.0
081;2012;2.4
081;2013;2.2
081;2014;2.6
081;2015;2.5
082;2011;15.6
082;2012;19.5
082;2013;26.2
082;2014;27.3
082;2015;16.7
083;2011;25.0
083;2012;25.3
083;2013;25.0
083;2014;24.1
083;2015;14.7
084;2011;7.4
084;2012;7.8
084;2013;7.2
084;2014;7.5
084;2015;8.7
085;2011;16.0
085;2012;17.0
085;2013;16.5
085;2014;15.7
085;2015;14.2
091;2011;16.0
091;2012;18.4
091;2013;18.1
091;2014;18.1
091;2015;17.9
092;2011;27.3
092;2012;25.1
092;2013;12.3
092;2014;16.3
092;2015;18.1
101;2011;14.0
101;2012;14.2
101;2013;15.7
101;2014;9.9
101;2015;11.1
102;2011;5.7
102;2012;5.5
102;2013;6.1
102;2014;6.6
102;2015;6.8
103;2011;44.4
103;2012;48.4
103;2013;44.8
103;2014;41.0
103;2015;39.3
111;2011;5.3
111;2012;5.6
111;2013;5.4
111;2014;5.4
111;2015;6.1
112;2011;14.8
112;2012;14.8
112;2013;14.3
112;2014;14.0
112;2015;15.9
113;2011;26.7
113;2012;26.8
113;2013;26.2
113;2014;24.7
113;2015;21.4
114;2011;69.4
114;2012;72.9
114;2013;73.2
114;2014;72.4
114;2015;73.7
115;2011;21.8
115;2012;18.5
115;2013;18.2
115;2014;18.3
115;2015;18.1
119;2011;44.4
119;2012;35.4
119;2013;31.9
119;2014;31.6
119;2015;32.2
121;2011;1.3
121;2012;1.2
121;2013;1.1
121;2014;1.3
121;2015;1.1
122;2011;3.5
122;2012;3.8
122;2013;4.2
122;2014;3.5
122;2015;4.6
131;2011;4.0
131;2012;3.3
131;2013;4.9
131;2014;4.8
131;2015;6.0
132;2011;11.9
132;2012;12.9
132;2013;12.1
132;2014;11.8
132;2015;10.9
141;2011;5.1
141;2012;5.8
141;2013;5.0
141;2014;4.7
141;2015;3.2
142;2011;88.1
142;2012;88.6
142;2013;89.1
142;2014;89.7
142;2015;89.0
151;2011;54.3
151;2012;52.9
151;2013;52.7
151;2014;50.4
151;2015;49.1
152;2011;2.3
152;2012;2.3
152;2013;2.9
152;2014;3.3
152;2015;3.4
153;2011;19.0
153;2012;18.1
153;2013;16.9
153;2014;19.4
153;2015;18.5
160;2011;0.0
161;2011;24.6
161;2012;20.1
161;2013;19.7
161;2014;19.8
161;2015;21.3
162;2011;28.3
162;2012;14.5
162;2013;0.4
162;2014;9.2
162;2015;14.8
171;2011;3.6
171;2012;3.6
171;2013;4.2
171;2014;4.2
171;2015;4.9
172;2011;19.1
172;2012;13.8
172;2013;15.3
172;2014;13.6
172;2015;13.9
173;2011;34.0
173;2012;32.5
173;2013;34.5
173;2014;33.6
173;2015;32.3
174;2011;16.6
174;2012;16.2
174;2013;16.1
174;2014;17.9
174;2015;18.4
180;2011;55.1
180;2012;58.1
180;2013;59.4
180;2014;56.8
180;2015;57.3
190;2011;15.1
190;2012;15.6
190;2013;12.3
190;2014;12.8
190;2015;11.9
201;2011;9.9
201;2012;9.0
201;2013;8.6
201;2014;8.9
201;2015;9.1
202;2011;19.4
202;2012;20.9
202;2013;19.9
202;2014;19.4
202;2015;16.6
203;2011;28.6
203;2012;27.8
203;2013;30.9
203;2014;31.1
203;2015;28.2
204;2011;9.4
204;2012;8.1
204;2013;7.8
204;2014;7.0
204;2015;6.8
205;2011;8.7
205;2012;7.3
205;2013;8.0
205;2014;8.4
205;2015;8.5
206;2011;12.0
206;2012;17.1
206;2013;14.9
206;2014;17.9
206;2015;14.2
207;2011;18.7
207;2012;19.6
207;2013;17.5
207;2014;18.0
207;2015;18.7
208;2011;13.4
208;2012;12.4
208;2013;12.7
208;2014;11.6
208;2015;12.7
301;2011;13.0
301;2012;10.8
301;2013;12.1
301;2014;11.1
301;2015;11.7
302;2011;1.4
302;2012;1.3
302;2013;1.1
302;2014;1.1
302;2015;0.8
