wbe;jahr;emptot_3
011;2011;2071
011;2012;2085
011;2013;2067
011;2014;2085
011;2015;2114
012;2011;8338
012;2012;8374
012;2013;8744
012;2014;9072
012;2015;8291
013;2011;944
013;2012;946
013;2013;965
013;2014;993
013;2015;1030
014;2011;2237
014;2012;2226
014;2013;2566
014;2014;2592
014;2015;2661
021;2011;8456
021;2012;8170
021;2013;8553
021;2014;9118
021;2015;8911
022;2011;678
022;2012;681
022;2013;753
022;2014;717
022;2015;637
023;2011;5189
023;2012;5291
023;2013;5335
023;2014;5264
023;2015;4501
024;2011;9605
024;2012;9369
024;2013;9391
024;2014;9445
024;2015;9768
025;2011;2860
025;2012;3016
025;2013;2866
025;2014;3027
025;2015;2860
026;2011;292
026;2012;337
026;2013;332
026;2014;338
026;2015;364
031;2011;3581
031;2012;3691
031;2013;3501
031;2014;3672
031;2015;3771
032;2011;2713
032;2012;2656
032;2013;2714
032;2014;2490
032;2015;2702
033;2011;4101
033;2012;4257
033;2013;4300
033;2014;4463
033;2015;4492
034;2011;2421
034;2012;2340
034;2013;2477
034;2014;2498
034;2015;2512
041;2011;747
041;2012;775
041;2013;727
041;2014;783
041;2015;809
042;2011;458
042;2012;448
042;2013;381
042;2014;384
042;2015;452
051;2011;1772
051;2012;1771
051;2013;1675
051;2014;1651
051;2015;1594
052;2011;7098
052;2012;7210
052;2013;6946
052;2014;6998
052;2015;6959
053;2011;7278
053;2012;7589
053;2013;7624
053;2014;7262
053;2015;7673
054;2011;1640
054;2012;1605
054;2013;1569
054;2014;1755
054;2015;1683
055;2011;7292
055;2012;7877
055;2013;8133
055;2014;9104
055;2015;9114
061;2011;6325
061;2012;6600
061;2013;6678
061;2014;6583
061;2015;5749
062;2011;5415
062;2012;5353
062;2013;5506
062;2014;5538
062;2015;5672
063;2011;920
063;2012;936
063;2013;738
063;2014;804
063;2015;850
071;2011;702
071;2012;712
071;2013;728
071;2014;770
071;2015;758
072;2011;825
072;2012;826
072;2013;849
072;2014;873
072;2015;857
073;2011;85
073;2012;88
073;2013;82
073;2014;82
073;2015;81
081;2011;1762
081;2012;1748
081;2013;1673
081;2014;1670
081;2015;1687
082;2011;233
082;2012;206
082;2013;206
082;2014;202
082;2015;214
083;2011;507
083;2012;501
083;2013;501
083;2014;503
083;2015;923
084;2011;311
084;2012;212
084;2013;219
084;2014;233
084;2015;251
085;2011;546
085;2012;570
085;2013;589
085;2014;598
085;2015;633
091;2011;1988
091;2012;1706
091;2013;1749
091;2014;1802
091;2015;1840
092;2011;469
092;2012;514
092;2013;536
092;2014;360
092;2015;322
101;2011;1095
101;2012;1124
101;2013;1137
101;2014;1332
101;2015;1295
102;2011;1173
102;2012;1129
102;2013;1178
102;2014;1109
102;2015;1091
103;2011;407
103;2012;410
103;2013;456
103;2014;501
103;2015;528
111;2011;838
111;2012;883
111;2013;863
111;2014;921
111;2015;887
112;2011;363
112;2012;367
112;2013;379
112;2014;382
112;2015;365
113;2011;770
113;2012;822
113;2013;876
113;2014;930
113;2015;943
114;2011;3114
114;2012;2736
114;2013;2745
114;2014;2822
114;2015;2647
115;2011;3254
115;2012;3797
115;2013;3849
115;2014;3938
115;2015;3793
119;2011;2397
119;2012;2651
119;2013;2612
119;2014;2644
119;2015;2562
121;2011;3618
121;2012;3703
121;2013;3704
121;2014;3693
121;2015;3756
122;2011;1526
122;2012;1460
122;2013;1387
122;2014;1443
122;2015;1438
131;2011;1620
131;2012;1696
131;2013;1714
131;2014;1650
131;2015;1523
132;2011;1581
132;2012;1577
132;2013;1686
132;2014;1714
132;2015;1704
141;2011;1388
141;2012;1291
141;2013;1333
141;2014;1465
141;2015;1594
142;2011;1048
142;2012;1094
142;2013;1026
142;2014;1021
142;2015;1155
151;2011;543
151;2012;564
151;2013;556
151;2014;578
151;2015;547
152;2011;1459
152;2012;1465
152;2013;1536
152;2014;1605
152;2015;1517
153;2011;864
153;2012;878
153;2013;846
153;2014;787
153;2015;911
160;2011;34
161;2011;4206
161;2012;4348
161;2013;4631
161;2014;4458
161;2015;4183
162;2011;213
162;2012;441
162;2013;830
162;2014;860
162;2015;796
171;2011;611
171;2012;648
171;2013;633
171;2014;530
171;2015;524
172;2011;742
172;2012;745
172;2013;688
172;2014;736
172;2015;754
173;2011;481
173;2012;502
173;2013;475
173;2014;507
173;2015;516
174;2011;1578
174;2012;1616
174;2013;1687
174;2014;1423
174;2015;1436
180;2011;3243
180;2012;3206
180;2013;2760
180;2014;2876
180;2015;2740
190;2011;5179
190;2012;5578
190;2013;6689
190;2014;6506
190;2015;6896
201;2011;1699
201;2012;1818
201;2013;1939
201;2014;1987
201;2015;1962
202;2011;395
202;2012;359
202;2013;386
202;2014;395
202;2015;451
203;2011;172
203;2012;182
203;2013;179
203;2014;177
203;2015;148
204;2011;317
204;2012;341
204;2013;356
204;2014;374
204;2015;359
205;2011;253
205;2012;254
205;2013;266
205;2014;207
205;2015;182
206;2011;212
206;2012;189
206;2013;188
206;2014;206
206;2015;211
207;2011;677
207;2012;656
207;2013;764
207;2014;766
207;2015;767
208;2011;252
208;2012;254
208;2013;241
208;2014;296
208;2015;283
301;2011;120
301;2012;140
301;2013;152
301;2014;144
301;2015;143
302;2011;343
302;2012;368
302;2013;351
302;2014;365
302;2015;360
