wbe;jahr;emptot_3_rel
011;2011;98.8
011;2012;97.9
011;2013;97.9
011;2014;97.8
011;2015;97.6
012;2011;97.8
012;2012;97.9
012;2013;98.0
012;2014;98.1
012;2015;97.8
013;2011;96.3
013;2012;96.7
013;2013;97.2
013;2014;97.6
013;2015;97.5
014;2011;96.7
014;2012;96.5
014;2013;96.7
014;2014;96.8
014;2015;97.0
021;2011;99.1
021;2012;99.1
021;2013;99.1
021;2014;99.3
021;2015;99.3
022;2011;95.5
022;2012;96.1
022;2013;96.3
022;2014;96.0
022;2015;95.1
023;2011;97.8
023;2012;98.0
023;2013;99.3
023;2014;99.1
023;2015;98.8
024;2011;97.9
024;2012;97.5
024;2013;97.3
024;2014;96.8
024;2015;95.9
025;2011;89.4
025;2012;89.9
025;2013;86.6
025;2014;86.7
025;2015;85.1
026;2011;97.3
026;2012;97.7
026;2013;98.2
026;2014;97.4
026;2015;98.6
031;2011;93.6
031;2012;94.1
031;2013;94.0
031;2014;94.8
031;2015;95.1
032;2011;94.4
032;2012;93.9
032;2013;94.7
032;2014;94.1
032;2015;94.1
033;2011;94.8
033;2012;95.5
033;2013;95.5
033;2014;95.6
033;2015;95.6
034;2011;99.6
034;2012;99.5
034;2013;99.7
034;2014;99.1
034;2015;99.3
041;2011;92.1
041;2012;92.5
041;2013;92.3
041;2014;93.5
041;2015;92.6
042;2011;58.7
042;2012;56.9
042;2013;61.8
042;2014;60.2
042;2015;67.0
051;2011;93.1
051;2012;97.6
051;2013;97.6
051;2014;95.8
051;2015;95.7
052;2011;91.8
052;2012;91.7
052;2013;93.2
052;2014;93.0
052;2015;91.1
053;2011;97.8
053;2012;98.2
053;2013;98.3
053;2014;98.1
053;2015;98.2
054;2011;96.3
054;2012;97.0
054;2013;95.4
054;2014;95.6
054;2015;95.6
055;2011;74.4
055;2012;76.0
055;2013;77.0
055;2014;78.0
055;2015;77.0
061;2011;84.1
061;2012;84.1
061;2013;83.3
061;2014;83.0
061;2015;81.2
062;2011;95.2
062;2012;95.2
062;2013;95.2
062;2014;94.5
062;2015;94.8
063;2011;75.6
063;2012;75.8
063;2013;72.1
063;2014;74.2
063;2015;80.1
071;2011;88.6
071;2012;88.9
071;2013;87.0
071;2014;91.2
071;2015;91.1
072;2011;98.1
072;2012;98.3
072;2013;98.4
072;2014;97.1
072;2015;97.2
073;2011;94.4
073;2012;93.6
073;2013;93.2
073;2014;94.3
073;2015;95.3
081;2011;98.0
081;2012;97.6
081;2013;97.8
081;2014;97.4
081;2015;97.5
082;2011;84.4
082;2012;80.5
082;2013;73.8
082;2014;72.7
082;2015;83.3
083;2011;75.0
083;2012;74.7
083;2013;75.0
083;2014;75.9
083;2015;85.3
084;2011;92.6
084;2012;92.2
084;2013;92.8
084;2014;92.5
084;2015;91.3
085;2011;84.0
085;2012;83.0
085;2013;83.5
085;2014;84.3
085;2015;85.8
091;2011;84.0
091;2012;81.6
091;2013;81.9
091;2014;81.9
091;2015;82.1
092;2011;72.7
092;2012;74.9
092;2013;87.7
092;2014;83.7
092;2015;81.9
101;2011;86.0
101;2012;85.8
101;2013;84.3
101;2014;90.1
101;2015;88.9
102;2011;94.3
102;2012;94.5
102;2013;93.9
102;2014;93.4
102;2015;93.2
103;2011;55.6
103;2012;51.6
103;2013;55.2
103;2014;59.0
103;2015;60.7
111;2011;94.7
111;2012;94.4
111;2013;94.6
111;2014;94.6
111;2015;93.9
112;2011;85.2
112;2012;85.2
112;2013;85.7
112;2014;86.0
112;2015;84.1
