wbe;jahr;emptot_m
011;2011;1068
011;2012;1101
011;2013;1065
011;2014;1054
011;2015;1024
012;2011;3572
012;2012;3612
012;2013;3828
012;2014;4025
012;2015;3694
013;2011;438
013;2012;454
013;2013;452
013;2014;443
013;2015;457
014;2011;1078
014;2012;1071
014;2013;1248
014;2014;1280
014;2015;1248
021;2011;3004
021;2012;2923
021;2013;3061
021;2014;3265
021;2015;3151
022;2011;349
022;2012;353
022;2013;371
022;2014;357
022;2015;319
023;2011;2993
023;2012;3013
023;2013;3084
023;2014;3091
023;2015;2549
024;2011;4955
024;2012;4783
024;2013;4909
024;2014;5018
024;2015;5183
025;2011;1828
025;2012;1885
025;2013;1873
025;2014;2000
025;2015;1980
026;2011;143
026;2012;149
026;2013;144
026;2014;159
026;2015;172
031;2011;1659
031;2012;1712
031;2013;1537
031;2014;1617
031;2015;1642
032;2011;1262
032;2012;1255
032;2013;1321
032;2014;1311
032;2015;1404
033;2011;2086
033;2012;2142
033;2013;2170
033;2014;2299
033;2015;2331
034;2011;1642
034;2012;1541
034;2013;1584
034;2014;1619
034;2015;1596
041;2011;387
041;2012;409
041;2013;400
041;2014;414
041;2015;426
042;2011;553
042;2012;564
042;2013;400
042;2014;421
042;2015;454
051;2011;951
051;2012;868
051;2013;813
051;2014;820
051;2015;756
052;2011;4392
052;2012;4479
052;2013;4199
052;2014;4277
052;2015;4396
053;2011;4182
053;2012;4289
053;2013;4360
053;2014;4146
053;2015;4440
054;2011;597
054;2012;535
054;2013;537
054;2014;584
054;2015;559
055;2011;6569
055;2012;6983
055;2013;7027
055;2014;7766
055;2015;7823
061;2011;4753
061;2012;4986
061;2013;5053
061;2014;4935
061;2015;4429
062;2011;2853
062;2012;2806
062;2013;2909
062;2014;2973
062;2015;3017
063;2011;694
063;2012;707
063;2013;589
063;2014;614
063;2015;585
071;2011;359
071;2012;357
071;2013;374
071;2014;358
071;2015;351
072;2011;373
072;2012;369
072;2013;369
072;2014;391
072;2015;389
073;2011;47
073;2012;48
073;2013;42
073;2014;40
073;2015;39
081;2011;847
081;2012;803
081;2013;767
081;2014;742
081;2015;740
082;2011;136
082;2012;125
082;2013;150
082;2014;146
082;2015;122
083;2011;295
083;2012;294
083;2013;301
083;2014;301
083;2015;553
084;2011;208
084;2012;103
084;2013;105
084;2014;115
084;2015;143
085;2011;290
085;2012;308
085;2013;307
085;2014;323
085;2015;339
091;2011;967
091;2012;887
091;2013;908
091;2014;927
091;2015;983
092;2011;454
092;2012;483
092;2013;405
092;2014;256
092;2015;237
101;2011;743
101;2012;730
101;2013;787
101;2014;777
101;2015;787
102;2011;414
102;2012;408
102;2013;429
102;2014;421
102;2015;419
103;2011;504
103;2012;572
103;2013;595
103;2014;598
103;2015;608
111;2011;408
111;2012;440
111;2013;427
111;2014;452
111;2015;430
112;2011;201
112;2012;195
112;2013;199
112;2014;210
112;2015;205
113;2011;561
113;2012;592
113;2013;633
113;2014;656
113;2015;591
114;2011;6252
114;2012;6179
114;2013;6238
114;2014;6121
114;2015;6034
115;2011;2340
115;2012;2715
115;2013;2725
115;2014;2719
115;2015;2469
119;2011;3201
119;2012;2967
119;2013;2760
119;2014;2790
119;2015;2708
121;2011;1507
121;2012;1541
121;2013;1553
121;2014;1528
121;2015;1574
122;2011;603
122;2012;591
122;2013;595
122;2014;643
122;2015;637
131;2011;847
131;2012;910
131;2013;898
131;2014;833
131;2015;791
132;2011;845
132;2012;814
132;2013;857
132;2014;873
132;2015;828
141;2011;639
141;2012;598
141;2013;570
141;2014;656
141;2015;648
142;2011;5118
142;2012;5540
142;2013;5430
142;2014;5605
142;2015;5853
151;2011;746
151;2012;752
151;2013;742
151;2014;744
151;2015;675
152;2011;438
152;2012;421
152;2013;462
152;2014;481
152;2015;459
153;2011;647
153;2012;649
153;2013;627
153;2014;624
153;2015;701
160;2011;30
161;2011;3256
161;2012;3122
161;2013;3291
161;2014;3173
161;2015;2990
162;2011;122
162;2012;253
162;2013;457
162;2014;591
162;2015;549
171;2011;322
171;2012;343
171;2013;328
171;2014;258
171;2015;255
172;2011;513
172;2012;468
172;2013;440
172;2014;469
172;2015;472
173;2011;470
173;2012;468
173;2013;474
173;2014;502
173;2015;485
174;2011;917
174;2012;935
174;2013;982
174;2014;947
174;2015;969
180;2011;4699
180;2012;5035
180;2013;4262
180;2014;4106
180;2015;3948
190;2011;3384
190;2012;3800
190;2013;4515
190;2014;4502
190;2015;4784
201;2011;716
201;2012;784
201;2013;843
201;2014;873
201;2015;841
202;2011;307
202;2012;269
202;2013;272
202;2014;264
202;2015;273
203;2011;122
203;2012;124
203;2013;129
203;2014;126
203;2015;104
204;2011;122
204;2012;133
204;2013;141
204;2014;150
204;2015;135
205;2011;189
205;2012;179
205;2013;188
205;2014;148
205;2015;125
206;2011;130
206;2012;134
206;2013;128
206;2014;142
206;2015;140
207;2011;387
207;2012;370
207;2013;400
207;2014;420
207;2015;445
208;2011;140
208;2012;139
208;2013;135
208;2014;141
208;2015;136
301;2011;73
301;2012;74
301;2013;80
301;2014;76
301;2015;72
302;2011;116
302;2012;136
302;2013;125
302;2014;122
302;2015;117
