wbe;jahr;emptot_m_rel
011;2011;51.0
011;2012;51.7
011;2013;50.5
011;2014;49.5
011;2015;47.3
012;2011;41.9
012;2012;42.2
012;2013;42.9
012;2014;43.5
012;2015;43.6
013;2011;44.7
013;2012;46.4
013;2013;45.5
013;2014;43.6
013;2015;43.3
014;2011;46.6
014;2012;46.4
014;2013;47.0
014;2014;47.8
014;2015;45.5
021;2011;35.2
021;2012;35.5
021;2013;35.5
021;2014;35.6
021;2015;35.1
022;2011;49.2
022;2012;49.8
022;2013;47.4
022;2014;47.8
022;2015;47.6
023;2011;56.4
023;2012;55.8
023;2013;57.4
023;2014;58.2
023;2015;55.9
024;2011;50.5
024;2012;49.8
024;2013;50.9
024;2014;51.4
024;2015;50.9
025;2011;57.1
025;2012;56.2
025;2013;56.6
025;2014;57.3
025;2015;58.9
026;2011;47.7
026;2012;43.2
026;2013;42.6
026;2014;45.8
026;2015;46.6
031;2011;43.3
031;2012;43.7
031;2013;41.3
031;2014;41.7
031;2015;41.4
032;2011;43.9
032;2012;44.4
032;2013;46.1
032;2014;49.6
032;2015;48.9
033;2011;48.2
033;2012;48.0
033;2013;48.2
033;2014;49.3
033;2015;49.6
034;2011;67.5
034;2012;65.5
034;2013;63.7
034;2014;64.2
034;2015;63.1
041;2011;47.7
041;2012;48.8
041;2013;50.8
041;2014;49.5
041;2015;48.7
042;2011;70.9
042;2012;71.7
042;2013;64.8
042;2014;66.0
042;2015;67.3
051;2011;49.9
051;2012;47.9
051;2013;47.4
051;2014;47.6
051;2015;45.4
052;2011;56.8
052;2012;56.9
052;2013;56.4
052;2014;56.8
052;2015;57.6
053;2011;56.2
053;2012;55.5
053;2013;56.2
053;2014;56.0
053;2015;56.8
054;2011;35.1
054;2012;32.3
054;2013;32.7
054;2014;31.8
054;2015;31.7
055;2011;67.0
055;2012;67.4
055;2013;66.6
055;2014;66.5
055;2015;66.1
061;2011;63.2
061;2012;63.5
061;2013;63.1
061;2014;62.2
061;2015;62.6
062;2011;50.2
062;2012;49.9
062;2013;50.3
062;2014;50.7
062;2015;50.4
063;2011;57.0
063;2012;57.2
063;2013;57.6
063;2014;56.6
063;2015;55.1
071;2011;45.3
071;2012;44.6
071;2013;44.7
071;2014;42.4
071;2015;42.2
072;2011;44.4
072;2012;43.9
072;2013;42.8
072;2014;43.5
072;2015;44.1
073;2011;52.2
073;2012;51.1
073;2013;47.7
073;2014;46.0
073;2015;45.9
081;2011;47.1
081;2012;44.8
081;2013;44.9
081;2014;43.3
081;2015;42.8
082;2011;49.3
082;2012;48.8
082;2013;53.8
082;2014;52.5
082;2015;47.5
083;2011;43.6
083;2012;43.8
083;2013;45.1
083;2014;45.4
083;2015;51.1
084;2011;61.9
084;2012;44.8
084;2013;44.5
084;2014;45.6
084;2015;52.0
085;2011;44.6
085;2012;44.8
085;2013;43.5
085;2014;45.6
085;2015;45.9
091;2011;40.9
091;2012;42.4
091;2013;42.5
091;2014;42.1
091;2015;43.9
092;2011;70.4
092;2012;70.4
092;2013;66.3
092;2014;59.5
092;2015;60.3
101;2011;58.4
101;2012;55.7
101;2013;58.3
101;2014;52.6
101;2015;54.0
102;2011;33.3
102;2012;34.1
102;2013;34.2
102;2014;35.4
102;2015;35.8
103;2011;68.9
103;2012;72.0
103;2013;72.0
103;2014;70.4
103;2015;69.9
111;2011;46.1
111;2012;47.1
111;2013;46.8
111;2014;46.4
111;2015;45.5
112;2011;47.2
112;2012;45.2
112;2013;45.0
112;2014;47.3
112;2015;47.2
113;2011;53.4
113;2012;52.7
113;2013;53.3
113;2014;53.1
113;2015;49.3
114;2011;61.4
114;2012;61.2
114;2013;60.9
114;2014;59.8
114;2015;60.0
115;2011;56.2
115;2012;58.3
115;2013;57.9
115;2014;56.4
115;2015;53.3
119;2011;74.2
119;2012;72.3
119;2013;71.9
119;2014;72.2
119;2015;71.6
121;2011;41.1
121;2012;41.1
121;2013;41.4
121;2014;40.8
121;2015;41.4
122;2011;38.1
122;2012;39.0
122;2013;41.1
122;2014;43.0
122;2015;42.2
131;2011;50.2
131;2012;51.9
131;2013;49.8
131;2014;48.0
131;2015;48.8
132;2011;47.1
132;2012;44.9
132;2013;44.7
132;2014;44.9
132;2015;43.3
141;2011;43.7
141;2012;43.6
141;2013;40.6
141;2014;42.7
141;2015;39.3
142;2011;58.2
142;2012;57.8
142;2013;57.9
142;2014;56.6
142;2015;55.9
151;2011;62.8
151;2012;62.8
151;2013;63.1
151;2014;63.8
151;2015;62.8
152;2011;29.3
152;2012;28.1
152;2013;29.2
152;2014;29.0
152;2015;29.2
153;2011;60.6
153;2012;60.5
153;2013;61.6
153;2014;63.9
153;2015;62.7
160;2011;88.2
161;2011;58.4
161;2012;57.3
161;2013;57.0
161;2014;57.1
161;2015;56.3
162;2011;41.1
162;2012;49.0
162;2013;54.9
162;2014;62.4
162;2015;58.8
171;2011;50.8
171;2012;51.0
171;2013;49.6
171;2014;46.7
171;2015;46.3
172;2011;55.9
172;2012;54.2
172;2013;54.2
172;2014;55.0
172;2015;53.9
173;2011;64.5
173;2012;62.9
173;2013;65.4
173;2014;65.7
173;2015;63.6
174;2011;48.4
174;2012;48.5
174;2013;48.9
174;2014;54.6
174;2015;55.1
180;2011;65.1
180;2012;65.8
180;2013;62.8
180;2014;61.6
180;2015;61.6
190;2011;55.5
190;2012;57.5
190;2013;59.2
190;2014;60.3
190;2015;61.1
201;2011;38.0
201;2012;39.3
201;2013;39.7
201;2014;40.0
201;2015;39.0
202;2011;62.7
202;2012;59.3
202;2013;56.4
202;2014;53.9
202;2015;50.5
203;2011;50.6
203;2012;49.2
203;2013;49.8
203;2014;49.0
203;2015;50.5
204;2011;34.9
204;2012;35.8
204;2013;36.5
204;2014;37.3
204;2015;35.1
205;2011;68.2
205;2012;65.3
205;2013;65.1
205;2014;65.5
205;2015;62.8
206;2011;53.9
206;2012;58.8
206;2013;57.9
206;2014;56.6
206;2015;56.9
207;2011;46.5
207;2012;45.3
207;2013;43.2
207;2014;45.0
207;2015;47.2
208;2011;48.1
208;2012;47.9
208;2013;48.9
208;2014;42.1
208;2015;42.0
301;2011;52.9
301;2012;47.1
301;2013;46.2
301;2014;46.9
301;2015;44.4
302;2011;33.3
302;2012;36.5
302;2013;35.2
302;2014;33.1
302;2015;32.2
