wbe;jahr;emptot_w
011;2011;1028
011;2012;1029
011;2013;1046
011;2014;1077
011;2015;1143
012;2011;4957
012;2012;4944
012;2013;5092
012;2014;5222
012;2015;4782
013;2011;542
013;2012;524
013;2013;541
013;2014;574
013;2015;599
014;2011;1236
014;2012;1236
014;2013;1405
014;2014;1399
014;2015;1496
021;2011;5528
021;2012;5321
021;2013;5568
021;2014;5914
021;2015;5824
022;2011;361
022;2012;356
022;2013;411
022;2014;390
022;2015;351
023;2011;2313
023;2012;2387
023;2013;2288
023;2014;2221
023;2015;2007
024;2011;4860
024;2012;4830
024;2013;4741
024;2014;4739
024;2015;4998
025;2011;1372
025;2012;1468
025;2013;1438
025;2014;1493
025;2015;1381
026;2011;157
026;2012;196
026;2013;194
026;2014;188
026;2015;197
031;2011;2168
031;2012;2210
031;2013;2187
031;2014;2257
031;2015;2323
032;2011;1612
032;2012;1573
032;2013;1545
032;2014;1334
032;2015;1466
033;2011;2242
033;2012;2316
033;2013;2332
033;2014;2368
033;2015;2367
034;2011;789
034;2012;810
034;2013;901
034;2014;901
034;2015;934
041;2011;424
041;2012;429
041;2013;388
041;2014;423
041;2015;448
042;2011;227
042;2012;223
042;2013;217
042;2014;217
042;2015;221
051;2011;953
051;2012;946
051;2013;903
051;2014;904
051;2015;909
052;2011;3344
052;2012;3386
052;2013;3252
052;2014;3247
052;2015;3239
053;2011;3260
053;2012;3443
053;2013;3392
053;2014;3256
053;2015;3375
054;2011;1106
054;2012;1120
054;2013;1107
054;2014;1252
054;2015;1202
055;2011;3233
055;2012;3385
055;2013;3529
055;2014;3913
055;2015;4019
061;2011;2770
061;2012;2866
061;2013;2959
061;2014;2993
061;2015;2651
062;2011;2835
062;2012;2819
062;2013;2874
062;2014;2887
062;2015;2966
063;2011;523
063;2012;528
063;2013;434
063;2014;470
063;2015;476
071;2011;433
071;2012;444
071;2013;463
071;2014;486
071;2015;481
072;2011;468
072;2012;471
072;2013;494
072;2014;508
072;2015;493
073;2011;43
073;2012;46
073;2013;46
073;2014;47
073;2015;46
081;2011;951
081;2012;988
081;2013;943
081;2014;972
081;2015;990
082;2011;140
082;2012;131
082;2013;129
082;2014;132
082;2015;135
083;2011;381
083;2012;377
083;2013;367
083;2014;362
083;2015;529
084;2011;128
084;2012;127
084;2013;131
084;2014;137
084;2015;132
085;2011;360
085;2012;379
085;2013;398
085;2014;386
085;2015;399
091;2011;1400
091;2012;1203
091;2013;1228
091;2014;1274
091;2015;1258
092;2011;191
092;2012;203
092;2013;206
092;2014;174
092;2015;156
101;2011;530
101;2012;580
101;2013;562
101;2014;701
101;2015;670
102;2011;830
102;2012;787
102;2013;826
102;2014;767
102;2015;751
103;2011;228
103;2012;222
103;2013;231
103;2014;251
103;2015;262
111;2011;477
111;2012;495
111;2013;485
111;2014;522
111;2015;515
112;2011;225
112;2012;236
112;2013;243
112;2014;234
112;2015;229
113;2011;490
113;2012;531
113;2013;554
113;2014;579
113;2015;608
114;2011;3927
114;2012;3917
114;2013;3998
114;2014;4112
114;2015;4031
115;2011;1822
115;2012;1944
115;2013;1981
115;2014;2099
115;2015;2164
119;2011;1114
119;2012;1139
119;2013;1076
119;2014;1074
119;2015;1072
121;2011;2160
121;2012;2207
121;2013;2194
121;2014;2214
121;2015;2224
122;2011;978
122;2012;926
122;2013;853
122;2014;852
122;2015;871
131;2011;841
131;2012;844
131;2013;904
131;2014;901
131;2015;829
132;2011;949
132;2012;997
132;2013;1061
132;2014;1071
132;2015;1085
141;2011;824
141;2012;772
141;2013;833
141;2014;881
141;2015;999
142;2011;3669
142;2012;4042
142;2013;3952
142;2014;4293
142;2015;4610
151;2011;442
151;2012;446
151;2013;433
151;2014;422
151;2015;400
152;2011;1055
152;2012;1078
152;2013;1120
152;2014;1179
152;2015;1111
153;2011;420
153;2012;423
153;2013;391
153;2014;353
153;2015;417
160;2011;4
161;2011;2321
161;2012;2323
161;2013;2478
161;2014;2383
161;2015;2322
162;2011;175
162;2012;263
162;2013;376
162;2014;356
162;2015;385
171;2011;312
171;2012;329
171;2013;333
171;2014;295
171;2015;296
172;2011;404
172;2012;396
172;2013;372
172;2014;383
172;2015;404
173;2011;259
173;2012;276
173;2013;251
173;2014;262
173;2015;277
174;2011;976
174;2012;994
174;2013;1028
174;2014;786
174;2015;790
180;2011;2517
180;2012;2615
180;2013;2528
180;2014;2557
180;2015;2464
190;2011;2714
190;2012;2807
190;2013;3115
190;2014;2958
190;2015;3046
201;2011;1170
201;2012;1213
201;2013;1279
201;2014;1307
201;2015;1318
202;2011;183
202;2012;185
202;2013;210
202;2014;226
202;2015;268
203;2011;119
203;2012;128
203;2013;130
203;2014;131
203;2015;102
204;2011;228
204;2012;238
204;2013;245
204;2014;252
204;2015;250
205;2011;88
205;2012;95
205;2013;101
205;2014;78
205;2015;74
206;2011;111
206;2012;94
206;2013;93
206;2014;109
206;2015;106
207;2011;446
207;2012;446
207;2013;526
207;2014;514
207;2015;498
208;2011;151
208;2012;151
208;2013;141
208;2014;194
208;2015;188
301;2011;65
301;2012;83
301;2013;93
301;2014;86
301;2015;90
302;2011;232
302;2012;237
302;2013;230
302;2014;247
302;2015;246
