wbe;jahr;emptot_w_rel
011;2011;49.0
011;2012;48.3
011;2013;49.5
011;2014;50.5
011;2015;52.7
012;2011;58.1
012;2012;57.8
012;2013;57.1
012;2014;56.5
012;2015;56.4
013;2011;55.3
013;2012;53.6
013;2013;54.5
013;2014;56.4
013;2015;56.7
014;2011;53.4
014;2012;53.6
014;2013;53.0
014;2014;52.2
014;2015;54.5
021;2011;64.8
021;2012;64.5
021;2013;64.5
021;2014;64.4
021;2015;64.9
022;2011;50.8
022;2012;50.2
022;2013;52.6
022;2014;52.2
022;2015;52.4
023;2011;43.6
023;2012;44.2
023;2013;42.6
023;2014;41.8
023;2015;44.1
024;2011;49.5
024;2012;50.2
024;2013;49.1
024;2014;48.6
024;2015;49.1
025;2011;42.9
025;2012;43.8
025;2013;43.4
025;2014;42.7
025;2015;41.1
026;2011;52.3
026;2012;56.8
026;2013;57.4
026;2014;54.2
026;2015;53.4
031;2011;56.7
031;2012;56.3
031;2013;58.7
031;2014;58.3
031;2015;58.6
032;2011;56.1
032;2012;55.6
032;2013;53.9
032;2014;50.4
032;2015;51.1
033;2011;51.8
033;2012;52.0
033;2013;51.8
033;2014;50.7
033;2015;50.4
034;2011;32.5
034;2012;34.5
034;2013;36.3
034;2014;35.8
034;2015;36.9
041;2011;52.3
041;2012;51.2
041;2013;49.2
041;2014;50.5
041;2015;51.3
042;2011;29.1
042;2012;28.3
042;2013;35.2
042;2014;34.0
042;2015;32.7
051;2011;50.1
051;2012;52.1
051;2013;52.6
051;2014;52.4
051;2015;54.6
052;2011;43.2
052;2012;43.1
052;2013;43.6
052;2014;43.2
052;2015;42.4
053;2011;43.8
053;2012;44.5
053;2013;43.8
053;2014;44.0
053;2015;43.2
054;2011;64.9
054;2012;67.7
054;2013;67.3
054;2014;68.2
054;2015;68.3
055;2011;33.0
055;2012;32.6
055;2013;33.4
055;2014;33.5
055;2015;33.9
061;2011;36.8
061;2012;36.5
061;2013;36.9
061;2014;37.8
061;2015;37.4
062;2011;49.8
062;2012;50.1
062;2013;49.7
062;2014;49.3
062;2015;49.6
063;2011;43.0
063;2012;42.8
063;2013;42.4
063;2014;43.4
063;2015;44.9
071;2011;54.7
071;2012;55.4
071;2013;55.3
071;2014;57.6
071;2015;57.8
072;2011;55.6
072;2012;56.1
072;2013;57.2
072;2014;56.5
072;2015;55.9
073;2011;47.8
073;2012;48.9
073;2013;52.3
073;2014;54.0
073;2015;54.1
081;2011;52.9
081;2012;55.2
081;2013;55.1
081;2014;56.7
081;2015;57.2
082;2011;50.7
082;2012;51.2
082;2013;46.2
082;2014;47.5
082;2015;52.5
083;2011;56.4
083;2012;56.2
083;2013;54.9
083;2014;54.6
083;2015;48.9
084;2011;38.1
084;2012;55.2
084;2013;55.5
084;2014;54.4
084;2015;48.0
085;2011;55.4
085;2012;55.2
085;2013;56.5
085;2014;54.4
085;2015;54.1
091;2011;59.1
091;2012;57.6
091;2013;57.5
091;2014;57.9
091;2015;56.1
092;2011;29.6
092;2012;29.6
092;2013;33.7
092;2014;40.5
092;2015;39.7
101;2011;41.6
101;2012;44.3
101;2013;41.7
101;2014;47.4
101;2015;46.0
102;2011;66.7
102;2012;65.9
102;2013;65.8
102;2014;64.6
102;2015;64.2
103;2011;31.1
103;2012;28.0
103;2013;28.0
103;2014;29.6
103;2015;30.1
111;2011;53.9
111;2012;52.9
111;2013;53.2
111;2014;53.6
111;2015;54.5
112;2011;52.8
112;2012;54.8
112;2013;55.0
