wbe;jahr;evangelischreformiert
011;2000;36.1
011;2001;36.6
011;2002;37.9
011;2003;35.1
011;2004;35.3
011;2005;35.3
011;2006;38.2
011;2007;37.1
011;2008;37.5
011;2009;34.4
011;2010;32.2
011;2011;33.3
011;2012;30.8
011;2013;28.9
011;2014;27.8
011;2015;27.6
012;2000;25.3
012;2001;26.5
012;2002;23.1
012;2003;24.7
012;2004;22.7
012;2005;23.4
012;2006;19.2
012;2007;17.9
012;2008;15.5
012;2009;14.4
012;2010;15.4
012;2011;18.2
012;2012;14.1
012;2013;11.4
012;2014;12.1
012;2015;11.9
013;2000;26.3
013;2001;26.8
013;2002;26.0
013;2003;25.6
013;2004;24.6
013;2005;26.5
013;2006;24.3
013;2007;24.4
013;2008;25.7
013;2009;25.9
013;2010;25.3
013;2011;23.9
013;2012;24.9
013;2013;23.9
013;2014;22.5
013;2015;21.7
014;2000;25.2
014;2001;25.2
014;2002;25.7
014;2003;25.1
014;2004;25.2
014;2005;25.0
014;2006;24.2
014;2007;22.0
014;2008;22.1
014;2009;23.3
014;2010;22.1
014;2011;21.5
014;2012;19.2
014;2013;18.6
014;2014;18.3
014;2015;18.6
021;2000;22.0
021;2001;21.7
021;2002;21.0
021;2003;21.7
021;2004;21.6
021;2005;20.7
021;2006;21.7
021;2007;20.1
021;2008;18.9
021;2009;17.1
021;2010;16.6
021;2011;16.4
021;2012;16.3
021;2013;15.1
021;2014;15.3
021;2015;15.6
022;2000;22.6
022;2001;22.3
022;2002;20.9
022;2003;21.5
022;2004;20.2
022;2005;20.2
022;2006;21.4
022;2007;21.4
022;2008;21.4
022;2009;19.6
022;2010;17.7
022;2011;16.0
022;2012;15.3
022;2013;13.0
022;2014;12.4
022;2015;10.9
023;2000;22.1
023;2001;20.7
023;2002;21.2
023;2003;20.2
023;2004;21.0
023;2005;21.7
023;2006;19.6
023;2007;18.8
023;2008;17.6
023;2009;18.3
023;2010;18.6
023;2011;18.0
023;2012;15.8
023;2013;15.9
023;2014;13.6
023;2015;12.3
024;2000;25.8
024;2001;23.6
024;2002;21.8
024;2003;21.7
024;2004;20.2
024;2005;20.5
024;2006;19.3
024;2007;18.1
024;2008;16.8
024;2009;16.4
024;2010;16.0
024;2011;15.6
024;2012;14.4
024;2013;14.1
024;2014;15.2
024;2015;13.9
025;2000;32.2
025;2001;31.8
025;2002;31.4
025;2003;31.4
025;2004;30.4
025;2005;29.8
025;2006;28.1
