wbe;jahr;gesbev
011;2000;288
011;2001;292
011;2002;282
011;2003;285
011;2004;286
011;2005;303
011;2006;293
011;2007;307
011;2008;291
011;2009;276
011;2010;264
011;2011;261
011;2012;260
011;2013;273
011;2014;284
011;2015;272
012;2000;395
012;2001;392
012;2002;373
012;2003;384
012;2004;375
012;2005;381
012;2006;370
012;2007;379
012;2008;375
012;2009;382
012;2010;390
012;2011;391
012;2012;396
012;2013;405
012;2014;389
012;2015;403
013;2000;543
013;2001;557
013;2002;546
013;2003;527
013;2004;528
013;2005;520
013;2006;526
013;2007;545
013;2008;552
013;2009;537
013;2010;526
013;2011;539
013;2012;550
013;2013;557
013;2014;565
013;2015;571
014;2000;896
014;2001;878
014;2002;892
014;2003;892
014;2004;882
014;2005;880
014;2006;847
014;2007;840
014;2008;822
014;2009;786
014;2010;792
014;2011;799
014;2012;843
014;2013;839
014;2014;836
014;2015;839
021;2000;1503
021;2001;1475
021;2002;1431
021;2003;1389
021;2004;1386
021;2005;1381
021;2006;1321
021;2007;1313
021;2008;1331
021;2009;1346
021;2010;1292
021;2011;1343
021;2012;1381
021;2013;1434
021;2014;1421
021;2015;1417
022;2000;504
022;2001;503
022;2002;502
022;2003;488
022;2004;485
022;2005;515
022;2006;524
022;2007;518
022;2008;543
022;2009;537
022;2010;547
022;2011;530
022;2012;524
022;2013;529
022;2014;507
022;2015;549
023;2000;746
023;2001;750
023;2002;750
023;2003;744
023;2004;728
023;2005;727
023;2006;769
023;2007;775
023;2008;803
023;2009;804
023;2010;814
023;2011;787
023;2012;790
023;2013;780
023;2014;784
023;2015;783
024;2000;612
024;2001;615
024;2002;614
024;2003;605
024;2004;608
024;2005;604
024;2006;605
024;2007;597
024;2008;602
024;2009;652
024;2010;676
024;2011;641
024;2012;627
024;2013;674
024;2014;663
024;2015;676
025;2000;1158
025;2001;1156
025;2002;1131
025;2003;1111
025;2004;1112
025;2005;1102
025;2006;1159
025;2007;1163
025;2008;1217
025;2009;1228
025;2010;1202
025;2011;1154
025;2012;1140
025;2013;1198
025;2014;1292
025;2015;1312
026;2000;202
026;2001;206
026;2002;222
026;2003;214
026;2004;215
026;2005;217
026;2006;218
026;2007;228
026;2008;201
026;2009;195
026;2010;208
026;2011;197
026;2012;200
026;2013;199
026;2014;201
026;2015;195
031;2000;3205
031;2001;3136
031;2002;3104
031;2003;3141
031;2004;3161
031;2005;3107
031;2006;3079
031;2007;3073
031;2008;3105
031;2009;3097
031;2010;3072
031;2011;3066
031;2012;3059
031;2013;3181
031;2014;3185
031;2015;3158
032;2000;3517
032;2001;3518
032;2002;3582
032;2003;3546
032;2004;3652
032;2005;3665
032;2006;3665
032;2007;3654
032;2008;3633
032;2009;3634
032;2010;3581
032;2011;3621
032;2012;3611
032;2013;3600
032;2014;3561
032;2015;3621
033;2000;3449
033;2001;3419
033;2002;3435
033;2003;3466
033;2004;3473
033;2005;3500
033;2006;3428
033;2007;3438
033;2008;3449
033;2009;3453
033;2010;3534
033;2011;3603
033;2012;3648
033;2013;3695
033;2014;3608
033;2015;3624
034;2000;190
034;2001;179
034;2002;186
034;2003;187
034;2004;204
034;2005;217
034;2006;227
034;2007;219
034;2008;212
034;2009;218
034;2010;194
034;2011;177
034;2012;215
034;2013;247
034;2014;235
034;2015;205
041;2000;4063
041;2001;4082
041;2002;3945
041;2003;3993
041;2004;3966
041;2005;3963
041;2006;3944
041;2007;4008
041;2008;3998
041;2009;3994
041;2010;4000
041;2011;4082
041;2012;4123
041;2013;4220
041;2014;4206
041;2015;4239
042;2000;4567
042;2001;4503
042;2002;4412
042;2003;4383
042;2004;4415
042;2005;4399
042;2006;4500
042;2007;4443
042;2008;4470
042;2009;4450
042;2010;4492
042;2011;4515
042;2012;4565
042;2013;4586
042;2014;4657
042;2015;4609
051;2000;63
051;2001;76
051;2002;70
051;2003;57
051;2004;59
051;2005;57
051;2006;72
051;2007;80
051;2008;71
051;2009;63
051;2010;41
051;2011;42
051;2012;46
051;2013;51
051;2014;57
051;2015;57
052;2000;1012
052;2001;998
052;2002;997
052;2003;988
052;2004;1001
052;2005;969
052;2006;1002
052;2007;993
052;2008;1051
052;2009;1054
052;2010;1049
052;2011;1049
052;2012;1055
052;2013;1072
052;2014;1079
052;2015;1055
053;2000;5842
053;2001;5855
053;2002;5896
053;2003;5790
053;2004;5870
053;2005;5868
053;2006;5936
053;2007;5960
053;2008;6080
053;2009;6086
053;2010;6156
053;2011;6201
053;2012;6239
053;2013;6316
053;2014;6248
053;2015;6261
054;2000;2225
054;2001;2201
054;2002;2221
054;2003;2176
054;2004;2266
054;2005;2285
054;2006;2269
054;2007;2319
054;2008;2335
054;2009;2322
054;2010;2363
054;2011;2379
054;2012;2362
054;2013;2369
054;2014;2443
054;2015;2473
055;2000;815
055;2001;796
055;2002;885
055;2003;895
055;2004;892
055;2005;899
055;2006;858
055;2007;860
055;2008;913
055;2009;958
055;2010;969
055;2011;967
055;2012;975
055;2013;990
055;2014;1063
