wbe;jahr;gruenflaeche
011;2013;1.7
011;2014;1.7
011;2015;1.7
012;2013;0.0
012;2014;0.0
012;2015;0.0
013;2013;0.4
013;2014;0.4
013;2015;0.4
014;2013;0.4
014;2014;0.4
014;2015;0.4
021;2013;6.2
021;2014;6.2
021;2015;6.2
022;2013;0.2
022;2014;0.2
022;2015;0.2
023;2013;1.1
023;2014;1.1
023;2015;1.1
024;2013;3.0
024;2014;3.1
024;2015;3.1
025;2013;6.2
025;2014;6.2
025;2015;6.4
026;2013;0.8
026;2014;0.8
026;2015;0.8
031;2013;6.4
031;2014;6.3
031;2015;6.5
032;2013;7.2
032;2014;7.2
032;2015;7.2
033;2013;7.8
033;2014;7.8
033;2015;7.8
034;2013;0.5
034;2014;0.5
034;2015;0.5
041;2013;7.7
041;2014;7.7
041;2015;7.7
042;2013;17.0
042;2014;16.8
042;2015;16.8
051;2013;0.2
051;2014;0.2
051;2015;0.2
052;2013;6.1
052;2014;6.2
052;2015;6.0
053;2013;44.4
053;2014;44.5
053;2015;43.0
054;2013;27.8
054;2014;27.6
054;2015;27.2
055;2013;18.1
055;2014;19.2
055;2015;19.2
061;2013;8.4
061;2014;8.5
061;2015;8.6
062;2013;6.7
062;2014;6.7
062;2015;6.7
063;2013;5.5
063;2014;5.5
063;2015;5.5
071;2013;55.6
071;2014;56.4
071;2015;56.4
072;2013;68.0
072;2014;67.9
072;2015;68.0
073;2013;61.0
073;2014;60.9
073;2015;60.9
081;2013;13.2
081;2014;13.4
081;2015;13.4
082;2013;10.0
082;2014;10.0
082;2015;10.0
083;2013;6.1
083;2014;6.1
083;2015;6.1
084;2013;12.9
084;2014;13.4
084;2015;13.4
085;2013;20.6
085;2014;20.7
085;2015;20.7
091;2013;5.0
091;2014;5.0
091;2015;5.0
092;2013;10.8
092;2014;10.8
092;2015;10.8
101;2013;4.5
101;2014;4.5
101;2015;4.5
102;2013;9.9
102;2014;9.9
102;2015;9.0
103;2013;25.9
103;2014;25.8
103;2015;26.5
111;2013;5.0
111;2014;5.0
111;2015;5.0
112;2013;2.0
112;2014;2.0
112;2015;2.0
113;2013;3.1
113;2014;3.3
113;2015;3.3
114;2013;4.9
114;2014;5.2
114;2015;5.2
115;2013;46.0
115;2014;45.7
115;2015;45.7
121;2013;1.3
121;2014;1.2
121;2015;1.2
122;2013;0.8
122;2014;0.8
122;2015;0.8
131;2013;1.0
131;2014;1.0
131;2015;1.0
132;2013;2.6
132;2014;2.6
132;2015;2.6
141;2013;7.2
141;2014;7.2
141;2015;7.7
142;2013;14.0
142;2014;12.9
142;2015;12.9
151;2013;90.3
151;2014;90.3
151;2015;90.9
152;2013;32.7
152;2014;32.7
152;2015;32.7
153;2013;59.2
153;2014;59.0
153;2015;58.9
161;2013;3.0
161;2014;3.0
161;2015;3.0
162;2013;3.3
162;2014;3.3
162;2015;3.3
171;2013;2.0
171;2014;2.0
171;2015;2.0
172;2013;2.9
172;2014;2.9
172;2015;2.9
173;2013;1.0
173;2014;1.0
173;2015;1.0
174;2013;3.9
174;2014;3.9
174;2015;4.0
180;2013;10.2
180;2014;10.8
180;2015;10.9
190;2013;21.0
190;2014;21.0
190;2015;21.0
201;2013;85.3
201;2014;85.0
201;2015;85.0
202;2013;70.3
202;2014;70.1
202;2015;69.9
203;2013;113.2
203;2014;113.2
203;2015;113.2
204;2013;171.2
204;2014;171.2
204;2015;171.3
205;2013;151.0
205;2014;151.0
205;2015;151.1
206;2013;61.5
206;2014;61.4
206;2015;61.4
207;2013;115.0
207;2014;115.1
207;2015;113.8
208;2013;98.1
208;2014;98.1
208;2015;98.1
301;2013;123.8
301;2014;123.8
301;2015;123.8
302;2013;77.2
302;2014;77.2
302;2015;77.2
