wbe;jahr;gruenflaeche_ant
011;2013;15.5
011;2014;15.5
011;2015;15.5
012;2013;0.2
012;2014;0.2
012;2015;0.2
013;2013;8.1
013;2014;8.1
013;2015;8.1
014;2013;4.8
014;2014;4.8
014;2015;4.9
021;2013;23.2
021;2014;23.2
021;2015;23.2
022;2013;5.9
022;2014;5.9
022;2015;5.9
023;2013;8.9
023;2014;8.9
023;2015;8.9
024;2013;12.7
024;2014;13.4
024;2015;13.3
025;2013;31.7
025;2014;32.1
025;2015;33.0
026;2013;18.2
026;2014;18.6
026;2015;18.6
031;2013;23.2
031;2014;23.0
031;2015;23.6
032;2013;27.7
032;2014;27.7
032;2015;27.6
033;2013;24.6
033;2014;24.6
033;2015;24.6
034;2013;8.9
034;2014;8.9
034;2015;8.9
041;2013;29.4
041;2014;29.9
041;2015;30.0
042;2013;39.9
042;2014;39.6
042;2015;39.5
051;2013;3.4
051;2014;3.4
051;2015;3.4
052;2013;27.5
052;2014;27.9
052;2015;27.2
053;2013;48.7
053;2014;48.8
053;2015;47.2
054;2013;55.9
054;2014;55.6
054;2015;54.7
055;2013;13.9
055;2014;14.7
055;2015;14.7
061;2013;14.8
061;2014;15.0
061;2015;15.1
062;2013;17.8
062;2014;17.8
062;2015;17.8
063;2013;24.6
063;2014;24.6
063;2015;24.6
071;2013;60.3
071;2014;61.2
071;2015;61.2
072;2013;67.5
072;2014;67.5
072;2015;67.6
073;2013;92.0
073;2014;91.8
073;2015;91.9
081;2013;38.8
081;2014;39.5
081;2015;39.4
082;2013;45.2
082;2014;45.1
082;2015;45.0
083;2013;36.0
083;2014;35.7
083;2015;35.7
084;2013;40.0
084;2014;41.7
084;2015;41.7
085;2013;43.3
085;2014;43.4
085;2015;43.4
091;2013;19.9
091;2014;19.9
091;2015;20.0
092;2013;45.7
092;2014;45.5
092;2015;45.5
101;2013;15.1
101;2014;15.3
101;2015;15.3
102;2013;34.3
102;2014;34.3
102;2015;31.2
103;2013;51.1
103;2014;50.9
103;2015;52.3
111;2013;26.3
111;2014;26.3
111;2015;26.4
112;2013;18.9
112;2014;18.9
112;2015;18.9
113;2013;13.4
113;2014;14.0
113;2015;13.9
114;2013;6.8
114;2014;7.1
114;2015;7.1
115;2013;46.0
115;2014;45.9
115;2015;45.8
121;2013;8.9
121;2014;7.9
121;2015;7.9
122;2013;8.3
122;2014;8.5
122;2015;8.5
131;2013;12.2
131;2014;12.7
131;2015;12.7
132;2013;17.8
132;2014;17.8
132;2015;17.8
141;2013;27.0
141;2014;27.0
141;2015;28.7
142;2013;28.4
142;2014;26.3
142;2015;26.2
151;2013;58.7
151;2014;58.7
151;2015;59.1
152;2013;57.1
152;2014;57.1
152;2015;57.1
153;2013;59.8
153;2014;59.9
153;2015;59.9
161;2013;8.2
161;2014;8.2
161;2015;8.0
162;2013;12.6
162;2014;12.6
162;2015;12.6
171;2013;24.9
171;2014;24.9
171;2015;24.9
172;2013;16.8
172;2014;16.8
172;2015;16.8
173;2013;11.1
173;2014;11.1
173;2015;11.1
174;2013;15.7
174;2014;15.7
174;2015;16.0
180;2013;11.1
180;2014;11.9
180;2015;11.9
190;2013;15.5
190;2014;15.5
190;2015;15.5
201;2013;70.2
201;2014;70.0
201;2015;70.0
202;2013;75.7
202;2014;75.4
202;2015;75.3
203;2013;88.8
203;2014;88.8
203;2015;88.8
204;2013;92.1
204;2014;92.1
204;2015;92.1
205;2013;84.4
205;2014;84.4
205;2015;84.5
206;2013;67.2
206;2014;67.2
206;2015;67.1
207;2013;70.8
207;2014;70.9
207;2015;70.1
208;2013;78.1
208;2014;78.1
208;2015;78.1
301;2013;89.8
301;2014;89.8
301;2015;89.8
302;2013;91.0
302;2014;91.0
302;2015;91.0
