wbe;jahr;m
011;2000;142
011;2001;139
011;2002;137
011;2003;143
011;2004;142
011;2005;146
011;2006;151
011;2007;160
011;2008;148
011;2009;137
011;2010;131
011;2011;127
011;2012;125
011;2013;134
011;2014;142
011;2015;135
012;2000;215
012;2001;214
012;2002;201
012;2003;205
012;2004;204
012;2005;212
012;2006;209
012;2007;219
012;2008;220
012;2009;216
012;2010;214
012;2011;215
012;2012;212
012;2013;210
012;2014;202
012;2015;210
013;2000;267
013;2001;277
013;2002;266
013;2003;257
013;2004;260
013;2005;254
013;2006;253
013;2007;264
013;2008;274
013;2009;262
013;2010;246
013;2011;262
013;2012;267
013;2013;269
013;2014;280
013;2015;293
014;2000;436
014;2001;411
014;2002;430
014;2003;428
014;2004;422
014;2005;412
014;2006;403
014;2007;392
014;2008;388
014;2009;378
014;2010;384
014;2011;389
014;2012;405
014;2013;408
014;2014;409
014;2015;429
021;2000;766
021;2001;744
021;2002;734
021;2003;700
021;2004;691
021;2005;684
021;2006;665
021;2007;658
021;2008;661
021;2009;655
021;2010;636
021;2011;651
021;2012;683
021;2013;704
021;2014;705
021;2015;716
022;2000;238
022;2001;245
022;2002;238
022;2003;231
022;2004;238
022;2005;253
022;2006;245
022;2007;242
022;2008;258
022;2009;254
022;2010;263
022;2011;261
022;2012;252
022;2013;265
022;2014;258
022;2015;273
023;2000;395
023;2001;403
023;2002;406
023;2003;397
023;2004;394
023;2005;411
023;2006;430
023;2007;435
023;2008;437
023;2009;422
023;2010;424
023;2011;417
023;2012;421
023;2013;416
023;2014;418
023;2015;404
024;2000;295
024;2001;300
024;2002;301
024;2003;298
024;2004;286
024;2005;297
024;2006;307
024;2007;293
024;2008;299
024;2009;329
024;2010;343
024;2011;333
024;2012;307
024;2013;336
024;2014;325
024;2015;329
025;2000;521
025;2001;527
025;2002;506
025;2003;490
025;2004;497
025;2005;495
025;2006;515
025;2007;517
025;2008;540
025;2009;550
025;2010;530
025;2011;505
025;2012;504
025;2013;549
025;2014;590
025;2015;587
026;2000;104
026;2001;110
026;2002;119
026;2003;109
026;2004;110
026;2005;111
026;2006;116
026;2007;119
026;2008;104
026;2009;100
026;2010;105
026;2011;99
026;2012;106
026;2013;101
026;2014;99
026;2015;103
031;2000;1453
031;2001;1374
