wbe;jahr;personenwagen_anz
162;2015;362
011;2009;103
011;2010;90
011;2011;90
011;2012;92
011;2013;96
011;2014;106
011;2015;102
012;2009;86
012;2010;81
012;2011;86
012;2012;92
012;2013;89
012;2014;81
012;2015;84
013;2009;124
013;2010;119
013;2011;124
013;2012;132
013;2013;131
013;2014;122
013;2015;118
014;2009;183
014;2010;189
014;2011;194
014;2012;198
014;2013;200
014;2014;194
014;2015;199
021;2009;320
021;2010;281
021;2011;285
021;2012;301
021;2013;310
021;2014;297
021;2015;306
022;2009;108
022;2010;107
022;2011;112
022;2012;111
022;2013;109
022;2014;104
022;2015;110
023;2009;135
023;2010;125
023;2011;125
023;2012;126
023;2013;116
023;2014;116
023;2015;125
024;2009;128
024;2010;122
024;2011;123
024;2012;115
024;2013;118
024;2014;112
024;2015;127
025;2009;382
025;2010;361
025;2011;367
025;2012;352
025;2013;361
025;2014;419
025;2015;438
026;2009;73
026;2010;67
026;2011;72
026;2012;68
026;2013;70
026;2014;75
026;2015;67
031;2009;613
031;2010;573
031;2011;574
031;2012;586
031;2013;586
031;2014;562
031;2015;584
032;2009;886
032;2010;873
032;2011;879
032;2012;888
032;2013;864
032;2014;859
032;2015;896
033;2009;835
033;2010;817
033;2011;848
033;2012;837
033;2013;842
033;2014;793
033;2015;820
034;2009;39
034;2010;36
034;2011;33
034;2012;44
034;2013;53
034;2014;44
034;2015;44
041;2009;1049
041;2010;1020
041;2011;1065
041;2012;1087
041;2013;1109
041;2014;1074
041;2015;1119
042;2009;1188
042;2010;1197
042;2011;1230
042;2012;1232
042;2013;1230
042;2014;1210
042;2015;1266
051;2009;9
051;2010;8
051;2011;7
051;2012;8
051;2013;8
051;2014;8
051;2015;10
052;2009;296
052;2010;282
052;2011;296
052;2012;290
052;2013;289
052;2014;282
052;2015;295
053;2009;1932
053;2010;1906
053;2011;1943
053;2012;1946
053;2013;1938
053;2014;1898
053;2015;1947
054;2009;731
054;2010;736
054;2011;757
054;2012;775
054;2013;754
054;2014;756
054;2015;748
055;2009;277
055;2010;256
055;2011;263
055;2012;271
055;2013;262
055;2014;244
055;2015;249
061;2009;1260
061;2010;1214
061;2011;1258
061;2012;1285
061;2013;1249
061;2014;1245
061;2015;1274
062;2009;1500
062;2010;1457
062;2011;1491
062;2012;1480
062;2013;1443
062;2014;1364
062;2015;1416
063;2009;1117
063;2010;1072
063;2011;1136
063;2012;1119
063;2013;1102
063;2014;1004
063;2015;1050
071;2009;1673
071;2010;1633
071;2011;1675
071;2012;1704
071;2013;1696
071;2014;1651
071;2015;1696
072;2009;1137
072;2010;1109
072;2011;1114
072;2012;1125
072;2013;1132
072;2014;1106
072;2015;1165
073;2009;97
073;2010;101
073;2011;110
073;2012;110
073;2013;106
073;2014;114
073;2015;115
081;2009;616
081;2010;583
081;2011;600
081;2012;603
081;2013;618
