wbe;jahr;sess10
011;2000;132
011;2001;133
011;2002;140
011;2003;138
011;2004;130
011;2005;130
011;2006;125
011;2007;127
011;2008;124
011;2009;114
011;2010;99
011;2011;97
011;2012;91
011;2013;100
011;2014;108
011;2015;113
012;2000;107
012;2001;111
012;2002;117
012;2003;115
012;2004;112
012;2005;117
012;2006;119
012;2007;121
012;2008;125
012;2009;130
012;2010;125
012;2011;129
012;2012;131
012;2013;121
012;2014;119
012;2015;122
013;2000;164
013;2001;169
013;2002;157
013;2003;161
013;2004;159
013;2005;160
013;2006;161
013;2007;177
013;2008;173
013;2009;184
013;2010;176
013;2011;170
013;2012;180
013;2013;173
013;2014;173
013;2015;175
014;2000;322
014;2001;321
014;2002;319
014;2003;310
014;2004;317
014;2005;300
014;2006;310
014;2007;317
014;2008;312
014;2009;317
014;2010;298
014;2011;297
014;2012;300
014;2013;294
014;2014;291
014;2015;280
021;2000;582
021;2001;576
021;2002;562
021;2003;561
021;2004;557
021;2005;533
021;2006;505
021;2007;506
021;2008;487
021;2009;447
021;2010;425
021;2011;395
021;2012;377
021;2013;381
021;2014;394
021;2015;378
022;2000;197
022;2001;201
022;2002;200
022;2003;183
022;2004;183
022;2005;175
022;2006;177
022;2007;169
022;2008;165
022;2009;164
022;2010;169
022;2011;156
022;2012;152
022;2013;141
022;2014;139
022;2015;147
023;2000;225
023;2001;226
023;2002;227
023;2003;212
023;2004;211
023;2005;203
023;2006;230
023;2007;233
023;2008;231
023;2009;224
023;2010;205
023;2011;196
023;2012;198
023;2013;182
023;2014;164
023;2015;166
024;2000;208
024;2001;209
024;2002;209
024;2003;201
024;2004;197
024;2005;190
024;2006;194
024;2007;187
024;2008;186
024;2009;179
024;2010;178
024;2011;157
024;2012;159
024;2013;157
024;2014;152
024;2015;149
025;2000;529
025;2001;517
025;2002;495
025;2003;484
025;2004;470
025;2005;451
025;2006;450
025;2007;461
025;2008;473
025;2009;453
025;2010;429
025;2011;423
025;2012;413
025;2013;417
025;2014;419
025;2015;426
026;2000;63
026;2001;67
026;2002;67
026;2003;80
026;2004;90
026;2005;98
026;2006;104
026;2007;115
026;2008;99
026;2009;95
026;2010;105
026;2011;91
026;2012;94
026;2013;93
026;2014;91
026;2015;96
031;2000;1012
031;2001;988
031;2002;948
031;2003;923
031;2004;937
031;2005;923
031;2006;916
031;2007;911
031;2008;901
031;2009;872
031;2010;873
031;2011;825
031;2012;841
031;2013;838
031;2014;820
031;2015;800
032;2000;1301
032;2001;1304
032;2002;1268
032;2003;1239
032;2004;1229
032;2005;1233
032;2006;1242
032;2007;1273
032;2008;1284
032;2009;1278
032;2010;1205
032;2011;1216
032;2012;1197
032;2013;1192
032;2014;1197
032;2015;1221
033;2000;1289
033;2001;1281
033;2002;1234
033;2003;1189
033;2004;1198
033;2005;1166
033;2006;1195
033;2007;1184
033;2008;1175
033;2009;1183
033;2010;1175
033;2011;1129
033;2012;1170
033;2013;1186
033;2014;1175
033;2015;1186
034;2000;37
034;2001;33
034;2002;36
034;2003;36
034;2004;41
034;2005;53
034;2006;49
034;2007;52
034;2008;54
034;2009;53
034;2010;45
034;2011;38
034;2012;39
034;2013;52
034;2014;52
034;2015;51
041;2000;1450
041;2001;1414
041;2002;1383
041;2003;1422
041;2004;1423
041;2005;1389
041;2006;1352
041;2007;1365
041;2008;1368
041;2009;1393
041;2010;1393
041;2011;1420
041;2012;1403
041;2013;1425
041;2014;1405
041;2015;1394
042;2000;2152
042;2001;2071
042;2002;2008
042;2003;1902
042;2004;1863
042;2005;1800
042;2006;1796
042;2007;1759
042;2008;1707
042;2009;1667
042;2010;1705
042;2011;1691
042;2012;1667
042;2013;1712
042;2014;1736
042;2015;1747
051;2000;7
051;2001;12
051;2002;15
051;2003;11
051;2004;18
051;2005;13
051;2006;16
051;2007;31
051;2008;26
051;2009;26
051;2010;9
051;2011;8
051;2012;8
051;2013;8
051;2014;8
051;2015;8
052;2000;504
052;2001;485
052;2002;476
052;2003;450
052;2004;449
052;2005;436
052;2006;431
052;2007;417
052;2008;442
052;2009;415
052;2010;401
052;2011;383
052;2012;375
052;2013;373
052;2014;363
052;2015;357
053;2000;2474
053;2001;2467
053;2002;2383
053;2003;2320
053;2004;2252
053;2005;2173
053;2006;2165
053;2007;2201
053;2008;2231
053;2009;2206
053;2010;2196
053;2011;2150
053;2012;2115
053;2013;2105
053;2014;2125
053;2015;2157
054;2000;1249
054;2001;1244
054;2002;1213
054;2003;1162
054;2004;1124
054;2005;1075
054;2006;1075
054;2007;1075
054;2008;1071
054;2009;1021
054;2010;989
054;2011;949
054;2012;940
054;2013;947
054;2014;959
054;2015;953
055;2000;411
055;2001;390
055;2002;379
055;2003;367
055;2004;356
055;2005;343
055;2006;330
055;2007;316
055;2008;313
055;2009;310
055;2010;323
055;2011;313
055;2012;323
055;2013;331
055;2014;329
055;2015;338
061;2000;2010
061;2001;1984
061;2002;1935
061;2003;1844
061;2004;1872
061;2005;1828
061;2006;1853
061;2007;1845
061;2008;1849
061;2009;1852
061;2010;1906
061;2011;1847
061;2012;1856
061;2013;1859
061;2014;1874
061;2015;1905
062;2000;2370
062;2001;2299
062;2002;2177
062;2003;2130
062;2004;2109
062;2005;2080
062;2006;2085
062;2007;2120
062;2008;2174
062;2009;2228
062;2010;2183
062;2011;2134
062;2012;2217
062;2013;2314
062;2014;2351
062;2015;2356
063;2000;1611
063;2001;1554
063;2002;1488
063;2003;1413
063;2004;1416
063;2005;1378
063;2006;1344
063;2007;1359
063;2008;1400
063;2009;1392
063;2010;1400
063;2011;1421
063;2012;1448
063;2013;1468
063;2014;1481
063;2015;1466
071;2000;2474
071;2001;2413
071;2002;2371
071;2003;2344
071;2004;2331
071;2005;2261
071;2006;2254
071;2007;2267
071;2008;2217
071;2009;2219
071;2010;2245
071;2011;2198
071;2012;2187
071;2013;2177
071;2014;2185
071;2015;2166
072;2000;1666
072;2001;1627
072;2002;1615
072;2003;1596
072;2004;1569
072;2005;1537
072;2006;1575
072;2007;1569
072;2008;1556
072;2009;1544
072;2010;1549
072;2011;1570
072;2012;1562
072;2013;1549
072;2014;1545
072;2015;1538
073;2000;115
073;2001;118
073;2002;118
073;2003;138
073;2004;138
073;2005;133
073;2006;138
073;2007;131
073;2008;122
073;2009;123
073;2010;124
073;2011;130
073;2012;132
073;2013;136
073;2014;141
073;2015;143
081;2000;856
081;2001;864
081;2002;851
081;2003;853
081;2004;850
081;2005;872
081;2006;889
081;2007;902
081;2008;910
081;2009;899
081;2010;893
081;2011;881
081;2012;883
081;2013;893
081;2014;897
081;2015;897
082;2000;998
082;2001;952
082;2002;951
082;2003;934
082;2004;923
082;2005;888
082;2006;858
082;2007;838
082;2008;814
082;2009;805
082;2010;803
082;2011;803
082;2012;790
082;2013;789
082;2014;788
082;2015;792
083;2000;1007
083;2001;988
083;2002;971
083;2003;915
083;2004;901
083;2005;872
083;2006;860
083;2007;868
083;2008;847
083;2009;837
083;2010;844
083;2011;842
083;2012;845
083;2013;841
083;2014;855
083;2015;834
084;2000;694
084;2001;691
084;2002;701
084;2003;681
084;2004;665
084;2005;677
084;2006;691
084;2007;671
084;2008;708
084;2009;705
084;2010;704
084;2011;678
084;2012;687
084;2013;665
084;2014;692
084;2015;685
085;2000;2508
085;2001;2488
085;2002;2472
085;2003;2433
085;2004;2382
085;2005;2346
085;2006;2301
085;2007;2313
085;2008;2341
085;2009;2371
085;2010;2366
085;2011;2395
085;2012;2401
085;2013;2423
085;2014;2458
085;2015;2484
091;2000;1808
091;2001;1777
091;2002;1710
091;2003;1691
091;2004;1716
091;2005;1673
091;2006;1659
091;2007;1653
091;2008;1632
091;2009;1629
091;2010;1630
091;2011;1560
091;2012;1610
091;2013;1640
091;2014;1717
091;2015;1681
092;2000;852
092;2001;812
092;2002;795
092;2003;803
092;2004;780
092;2005;769
092;2006;778
092;2007;753
092;2008;740
092;2009;729
092;2010;723
092;2011;701
092;2012;703
092;2013;729
092;2014;750
092;2015;736
101;2000;2141
101;2001;2071
101;2002;2012
101;2003;1945
101;2004;1954
101;2005;1859
101;2006;1820
101;2007;1846
101;2008;1897
101;2009;1885
101;2010;1950
101;2011;1912
101;2012;1943
101;2013;1995
101;2014;2054
101;2015;2066
102;2000;1791
102;2001;1723
102;2002;1680
102;2003;1639
102;2004;1609
102;2005;1586
102;2006;1553
102;2007;1513
102;2008;1475
102;2009;1468
102;2010;1445
102;2011;1477
102;2012;1506
102;2013;1482
102;2014;1515
102;2015;1480
103;2000;2103
103;2001;2054
103;2002;1940
103;2003;1843
103;2004;1817
103;2005;1807
103;2006;1808
103;2007;1755
103;2008;1763
103;2009;1710
103;2010;1784
103;2011;1869
103;2012;1871
103;2013;1917
103;2014;1886
103;2015;1879
111;2000;1136
111;2001;1128
111;2002;1096
111;2003;1065
111;2004;1056
111;2005;1038
111;2006;1003
111;2007;1005
111;2008;1006
111;2009;1018
111;2010;1015
111;2011;1000
111;2012;1017
111;2013;1028
111;2014;1054
111;2015;1060
112;2000;688
112;2001;685
112;2002;673
112;2003;665
112;2004;660
112;2005;647
112;2006;632
112;2007;637
112;2008;643
112;2009;664
112;2010;659
112;2011;679
112;2012;689
112;2013;691
112;2014;707
112;2015;708
113;2000;1868
113;2001;1871
113;2002;1814
113;2003;1794
113;2004;1761
113;2005;1724
113;2006;1748
113;2007;1795
113;2008;1864
113;2009;1879
113;2010;1904
113;2011;1912
113;2012;1982
113;2013;1992
113;2014;2009
113;2015;2082
114;2000;433
114;2001;424
114;2002;410
114;2003;397
114;2004;390
114;2005;349
114;2006;344
114;2007;337
114;2008;278
114;2009;287
114;2010;325
114;2011;304
114;2012;305
114;2013;322
114;2014;345
114;2015;367
115;2000;1450
115;2001;1406
115;2002;1417
115;2003;1562
115;2004;1550
115;2005;1535
115;2006;1526
115;2007;1546
115;2008;1551
115;2009;1560
115;2010;1577
115;2011;1563
115;2012;1581
115;2013;1588
115;2014;1591
115;2015;1561
121;2000;501
121;2001;507
121;2002;516
121;2003;491
121;2004;490
121;2005;458
121;2006;448
121;2007;437
121;2008;452
121;2009;472
121;2010;455
121;2011;438
121;2012;424
121;2013;409
121;2014;415
121;2015;414
122;2000;306
122;2001;314
122;2002;305
122;2003;282
122;2004;276
122;2005;283
122;2006;268
122;2007;258
122;2008;272
122;2009;264
122;2010;265
122;2011;259
122;2012;257
122;2013;243
122;2014;257
122;2015;257
131;2000;332
131;2001;325
131;2002;324
131;2003;294
131;2004;297
131;2005;295
131;2006;313
131;2007;324
131;2008;323
131;2009;327
131;2010;310
131;2011;313
131;2012;313
131;2013;338
131;2014;345
131;2015;349
132;2000;919
132;2001;896
132;2002;871
132;2003;877
132;2004;859
132;2005;869
132;2006;852
132;2007;873
132;2008;897
132;2009;923
132;2010;946
132;2011;889
132;2012;902
132;2013;899
132;2014;915
132;2015;915
141;2000;881
141;2001;865
141;2002;877
141;2003;838
141;2004;847
141;2005;829
141;2006;875
141;2007;951
141;2008;976
141;2009;972
141;2010;953
141;2011;950
141;2012;992
141;2013;1083
141;2014;1091
141;2015;1099
142;2000;1159
142;2001;1097
142;2002;1044
142;2003;985
142;2004;981
142;2005;963
142;2006;939
142;2007;956
142;2008;934
142;2009;930
142;2010;876
142;2011;871
142;2012;919
142;2013;946
142;2014;941
142;2015;933
151;2000;1320
151;2001;1309
151;2002;1254
151;2003;1221
151;2004;1200
151;2005;1179
151;2006;1162
151;2007;1149
151;2008;1099
151;2009;1089
151;2010;1065
151;2011;1029
151;2012;1003
151;2013;1007
151;2014;980
151;2015;987
152;2000;1260
152;2001;1247
152;2002;1273
152;2003;1285
152;2004;1301
152;2005;1283
152;2006;1273
152;2007;1294
152;2008;1304
152;2009;1332
152;2010;1329
152;2011;1313
152;2012;1309
152;2013;1293
152;2014;1272
152;2015;1245
153;2000;1921
153;2001;1904
153;2002;1837
153;2003;1817
153;2004;1797
153;2005;1728
153;2006;1690
153;2007;1671
153;2008;1607
153;2009;1589
153;2010;1579
153;2011;1581
153;2012;1540
153;2013;1491
153;2014;1477
153;2015;1513
161;2000;1254
161;2001;1210
161;2002;1182
161;2003;1140
161;2004;1144
161;2005;1137
161;2006;1120
161;2007;1158
161;2008;1154
161;2009;1166
161;2010;1134
161;2011;1100
161;2012;1153
161;2013;1184
161;2014;1192
161;2015;1250
162;2000;10
162;2001;10
162;2002;10
162;2003;10
162;2004;13
162;2005;17
162;2006;17
162;2007;12
162;2008;11
162;2009;18
162;2010;17
162;2011;28
162;2012;38
162;2013;42
162;2014;42
162;2015;43
171;2000;521
171;2001;506
171;2002;462
171;2003;446
171;2004;437
171;2005;460
171;2006;472
171;2007;471
171;2008;457
171;2009;414
171;2010;407
171;2011;410
171;2012;406
171;2013;406
171;2014;414
171;2015;404
172;2000;1252
172;2001;1172
172;2002;1126
172;2003;1105
172;2004;1137
172;2005;1095
172;2006;1107
172;2007;1153
172;2008;1163
