wbe;jahr;w
011;2000;146
011;2001;153
011;2002;145
011;2003;142
011;2004;144
011;2005;157
011;2006;142
011;2007;147
011;2008;143
011;2009;139
011;2010;133
011;2011;134
011;2012;135
011;2013;139
011;2014;142
011;2015;137
012;2000;180
012;2001;178
012;2002;172
012;2003;179
012;2004;171
012;2005;169
012;2006;161
012;2007;160
012;2008;155
012;2009;166
012;2010;176
012;2011;176
012;2012;184
012;2013;195
012;2014;187
012;2015;193
013;2000;276
013;2001;280
013;2002;280
013;2003;270
013;2004;268
013;2005;266
013;2006;273
013;2007;281
013;2008;278
013;2009;275
013;2010;280
013;2011;277
013;2012;283
013;2013;288
013;2014;285
013;2015;278
014;2000;460
014;2001;467
014;2002;462
014;2003;464
014;2004;460
014;2005;468
014;2006;444
014;2007;448
014;2008;434
014;2009;408
014;2010;408
014;2011;410
014;2012;438
014;2013;431
014;2014;427
014;2015;410
021;2000;737
021;2001;731
021;2002;697
021;2003;689
021;2004;695
021;2005;697
021;2006;656
021;2007;655
021;2008;670
021;2009;691
021;2010;656
021;2011;692
021;2012;698
021;2013;730
021;2014;716
021;2015;701
022;2000;266
022;2001;258
022;2002;264
022;2003;257
022;2004;247
022;2005;262
022;2006;279
022;2007;276
022;2008;285
022;2009;283
022;2010;284
022;2011;269
022;2012;272
022;2013;264
022;2014;249
022;2015;276
023;2000;351
023;2001;347
023;2002;344
023;2003;347
023;2004;334
023;2005;316
023;2006;339
023;2007;340
023;2008;366
023;2009;382
023;2010;390
023;2011;370
023;2012;369
023;2013;364
023;2014;366
023;2015;379
024;2000;317
024;2001;315
024;2002;313
024;2003;307
024;2004;322
024;2005;307
024;2006;298
024;2007;304
024;2008;303
024;2009;323
024;2010;333
024;2011;308
024;2012;320
024;2013;338
024;2014;338
024;2015;347
025;2000;637
025;2001;629
025;2002;625
025;2003;621
025;2004;615
025;2005;607
025;2006;644
025;2007;646
025;2008;677
025;2009;678
025;2010;672
025;2011;649
025;2012;636
025;2013;649
025;2014;702
025;2015;725
026;2000;98
026;2001;96
026;2002;103
026;2003;105
026;2004;105
026;2005;106
026;2006;102
026;2007;109
026;2008;97
026;2009;95
026;2010;103
026;2011;98
026;2012;94
026;2013;98
026;2014;102
026;2015;92
031;2000;1752
031;2001;1762
031;2002;1713
031;2003;1725
031;2004;1737
031;2005;1698
031;2006;1711
031;2007;1695
031;2008;1719
031;2009;1702
031;2010;1689
031;2011;1679
031;2012;1695
031;2013;1757
031;2014;1744
031;2015;1709
032;2000;1946
032;2001;1940
032;2002;1975
032;2003;1930
032;2004;2000
032;2005;1988
032;2006;2019
032;2007;2040
032;2008;2038
032;2009;2005
032;2010;1964
032;2011;1972
032;2012;1961
032;2013;1962
032;2014;1921
032;2015;1952
033;2000;1830
033;2001;1824
033;2002;1839
033;2003;1868
033;2004;1878
033;2005;1883
033;2006;1854
033;2007;1857
033;2008;1859
033;2009;1854
033;2010;1872
033;2011;1899
033;2012;1923
033;2013;1959
033;2014;1917
033;2015;1938
034;2000;93
034;2001;90
034;2002;90
034;2003;94
034;2004;95
034;2005;85
034;2006;84
034;2007;86
034;2008;81
034;2009;79
034;2010;79
034;2011;77
034;2012;87
034;2013;103
034;2014;99
034;2015;87
041;2000;2208
041;2001;2229
041;2002;2179
041;2003;2155
041;2004;2153
041;2005;2172
041;2006;2155
041;2007;2172
041;2008;2147
041;2009;2128
041;2010;2133
041;2011;2166
041;2012;2206
041;2013;2245
041;2014;2219
041;2015;2223
042;2000;2491
042;2001;2473
042;2002;2426
042;2003;2396
042;2004;2422
042;2005;2401
042;2006;2449
042;2007;2425
042;2008;2442
042;2009;2439
042;2010;2468
042;2011;2461
042;2012;2494
042;2013;2523
042;2014;2540
042;2015;2500
051;2000;22
051;2001;23
051;2002;23
051;2003;23
051;2004;24
051;2005;22
051;2006;28
051;2007;31
051;2008;27
051;2009;20
051;2010;13
051;2011;12
051;2012;16
051;2013;16
051;2014;16
051;2015;19
052;2000;568
052;2001;554
052;2002;564
052;2003;543
052;2004;550
052;2005;538
052;2006;548
052;2007;530
052;2008;546
052;2009;547
052;2010;554
052;2011;565
052;2012;550
052;2013;557
052;2014;538
052;2015;532
053;2000;3207
053;2001;3238
053;2002;3248
053;2003;3208
053;2004;3253
053;2005;3235
053;2006;3272
053;2007;3272
053;2008;3331
053;2009;3339
053;2010;3365
053;2011;3384
053;2012;3394
053;2013;3413
053;2014;3371
053;2015;3364
054;2000;1308
054;2001;1286
054;2002;1296
054;2003;1269
054;2004;1313
054;2005;1312
054;2006;1294
054;2007;1308
054;2008;1314
054;2009;1295
054;2010;1309
054;2011;1317
054;2012;1319
054;2013;1337
054;2014;1368
054;2015;1390
055;2000;419
055;2001;409
055;2002;460
055;2003;471
055;2004;474
055;2005;468
055;2006;451
055;2007;451
055;2008;470
055;2009;484
055;2010;495
055;2011;493
055;2012;507
055;2013;520
055;2014;571
055;2015;574
061;2000;3035
061;2001;2967
061;2002;3001
061;2003;3012
061;2004;2999
061;2005;2985
061;2006;3021
061;2007;2965
061;2008;2986
061;2009;2972
061;2010;2961
061;2011;2994
061;2012;3037
061;2013;3072
061;2014;3133
061;2015;3153
062;2000;3584
062;2001;3544
062;2002;3514
062;2003;3536
062;2004;3599
062;2005;3639
062;2006;3619
062;2007;3603
062;2008;3661
062;2009;3628
062;2010;3597
062;2011;3622
062;2012;3653
062;2013;3655
062;2014;3675
062;2015;3596
063;2000;2668
063;2001;2705
063;2002;2690
063;2003;2671
063;2004;2631
063;2005;2639
063;2006;2649
063;2007;2720
063;2008;2783
063;2009;2789
063;2010;2791
063;2011;2788
063;2012;2775
063;2013;2839
063;2014;2888
063;2015;2836
071;2000;2908
071;2001;2870
071;2002;2842
071;2003;2810
071;2004;2794
071;2005;2765
071;2006;2755
071;2007;2805
071;2008;2809
071;2009;2811
071;2010;2798
071;2011;2826
071;2012;2846
071;2013;2854
071;2014;2837
071;2015;2843
072;2000;1808
072;2001;1798
072;2002;1817
072;2003;1797
072;2004;1784
072;2005;1785
072;2006;1781
072;2007;1768
072;2008;1764
072;2009;1768
072;2010;1767
072;2011;1770
072;2012;1748
072;2013;1725
072;2014;1761
072;2015;1767
073;2000;127
073;2001;132
073;2002;134
073;2003;134
073;2004;134
073;2005;132
073;2006;133
073;2007;126
073;2008;124
073;2009;140
073;2010;153
073;2011;150
073;2012;162
073;2013;163
073;2014;160
073;2015;154
081;2000;1213
081;2001;1181
081;2002;1207
081;2003;1201
081;2004;1184
081;2005;1199
081;2006;1196
081;2007;1199
081;2008;1202
081;2009;1204
081;2010;1182
081;2011;1207
081;2012;1213
081;2013;1218
081;2014;1195
081;2015;1183
082;2000;1063
082;2001;1061
082;2002;1045
082;2003;1041
082;2004;1036
082;2005;1013
082;2006;1003
082;2007;1012
082;2008;1015
082;2009;1027
082;2010;1005
082;2011;1017
082;2012;1002
082;2013;1010
082;2014;1019
082;2015;1040
083;2000;1299
083;2001;1290
083;2002;1278
083;2003;1282
083;2004;1319
083;2005;1305
083;2006;1278
083;2007;1265
083;2008;1286
083;2009;1304
083;2010;1292
083;2011;1277
083;2012;1278
083;2013;1298
083;2014;1298
083;2015;1293
084;2000;902
084;2001;891
084;2002;897
084;2003;895
084;2004;908
084;2005;905
084;2006;883
084;2007;897
084;2008;880
084;2009;884
084;2010;895
084;2011;906
084;2012;906
084;2013;907
084;2014;932
084;2015;898
085;2000;2972
085;2001;2952
085;2002;2925
085;2003;2895
085;2004;2896
085;2005;2876
085;2006;2859
085;2007;2904
085;2008;2898
085;2009;2889
085;2010;2841
085;2011;2893
085;2012;2915
085;2013;2890
085;2014;2916
085;2015;2937
091;2000;2711
091;2001;2680
091;2002;2679
091;2003;2689
091;2004;2701
091;2005;2694
091;2006;2690
091;2007;2709
091;2008;2748
091;2009;2772
091;2010;2755
091;2011;2739
091;2012;2768
091;2013;2733
091;2014;2740
091;2015;2732
092;2000;1012
092;2001;993
092;2002;989
092;2003;1001
092;2004;1000
092;2005;1015
092;2006;1025
092;2007;1021
092;2008;1004
092;2009;1006
092;2010;998
092;2011;998
092;2012;1007
092;2013;990
092;2014;1018
092;2015;1015
101;2000;3359
101;2001;3321
101;2002;3354
101;2003;3361
101;2004;3372
101;2005;3262
101;2006;3248
101;2007;3271
101;2008;3268
101;2009;3271
101;2010;3332
101;2011;3304
101;2012;3280
101;2013;3297
101;2014;3370
101;2015;3348
102;2000;2528
102;2001;2555
102;2002;2541
102;2003;2534
102;2004;2543
102;2005;2457
102;2006;2390
102;2007;2361
102;2008;2399
102;2009;2406
102;2010;2408
102;2011;2410
102;2012;2447
102;2013;2480
102;2014;2463
102;2015;2481
103;2000;2884
103;2001;2900
103;2002;2877
103;2003;2898
103;2004;2885
103;2005;2852
103;2006;2826
103;2007;2850
103;2008;2820
103;2009;2775
103;2010;2820
103;2011;2862
103;2012;2859
103;2013;2879
103;2014;2866
103;2015;2919
111;2000;1932
111;2001;1935
111;2002;1960
111;2003;1999
111;2004;1962
111;2005;1937
111;2006;1926
111;2007;1961
111;2008;1948
111;2009;1943
111;2010;1974
111;2011;1944
111;2012;1971
111;2013;1996
111;2014;2003
111;2015;1988
112;2000;1064
112;2001;1057
112;2002;1060
112;2003;1043
112;2004;1042
112;2005;1052
112;2006;1057
112;2007;1049
112;2008;1064
112;2009;1068
112;2010;1069
112;2011;1056
112;2012;1075
112;2013;1085
112;2014;1079
112;2015;1070
113;2000;3325
113;2001;3304
113;2002;3364
113;2003;3335
113;2004;3320
113;2005;3304
113;2006;3290
113;2007;3288
113;2008;3337
113;2009;3383
113;2010;3352
113;2011;3371
113;2012;3380
113;2013;3468
113;2014;3473
113;2015;3440
114;2000;797
114;2001;772
114;2002;739
114;2003;723
114;2004;735
114;2005;686
114;2006;657
114;2007;653
114;2008;662
114;2009;727
114;2010;856
114;2011;934
114;2012;960
114;2013;942
114;2014;920
114;2015;939
115;2000;2125
115;2001;2115
115;2002;2108
115;2003;2105
115;2004;2080
115;2005;2075
115;2006;2081
115;2007;2053
115;2008;2055
115;2009;2079
115;2010;2078
115;2011;2057
115;2012;2057
115;2013;2051
115;2014;2120
115;2015;2084
121;2000;716
121;2001;717
121;2002;704
121;2003;682
121;2004;692
121;2005;664
121;2006;659
121;2007;659
121;2008;659
121;2009;675
121;2010;651
121;2011;641
121;2012;656
121;2013;678
121;2014;678
121;2015;690
122;2000;410
122;2001;410
122;2002;424
122;2003;427
122;2004;413
122;2005;397
122;2006;405
122;2007;411
122;2008;415
122;2009;439
122;2010;442
122;2011;451
122;2012;445
122;2013;476
122;2014;503
122;2015;500
131;2000;444
131;2001;447
131;2002;451
131;2003;456
131;2004;443
131;2005;435
131;2006;437
131;2007;445
131;2008;445
131;2009;471
131;2010;449
131;2011;446
131;2012;446
131;2013;454
131;2014;455
131;2015;461
132;2000;1508
132;2001;1461
132;2002;1431
132;2003;1436
132;2004;1459
132;2005;1436
132;2006;1442
132;2007;1482
132;2008;1535
132;2009;1512
132;2010;1504
132;2011;1533
132;2012;1562
132;2013;1575
132;2014;1558
132;2015;1522
141;2000;1450
141;2001;1464
141;2002;1504
141;2003;1551
141;2004;1571
141;2005;1558
141;2006;1554
141;2007;1566
141;2008;1564
141;2009;1592
141;2010;1596
141;2011;1585
141;2012;1583
141;2013;1589
141;2014;1690
141;2015;1692
142;2000;1379
142;2001;1353
142;2002;1357
142;2003;1338
142;2004;1348
142;2005;1353
142;2006;1321
142;2007;1298
142;2008;1295
142;2009;1320
142;2010;1279
142;2011;1262
142;2012;1254
142;2013;1268
142;2014;1282
142;2015;1282
151;2000;1449
151;2001;1417
151;2002;1409
151;2003;1407
151;2004;1385
151;2005;1417
151;2006;1411
151;2007;1383
151;2008;1363
151;2009;1389
151;2010;1355
151;2011;1425
151;2012;1401
151;2013;1444
151;2014;1499
151;2015;1540
152;2000;1489
152;2001;1483
152;2002;1453
152;2003;1421
152;2004;1427
152;2005;1422
152;2006;1407
152;2007;1398
152;2008;1396
152;2009;1385
152;2010;1385
152;2011;1411
152;2012;1396
152;2013;1396
152;2014;1396
152;2015;1367
153;2000;2092
153;2001;2110
153;2002;2070
153;2003;2029
153;2004;1986
153;2005;1911
153;2006;1812
153;2007;1764
153;2008;1817
153;2009;1854
153;2010;1863
153;2011;1854
153;2012;1842
153;2013;1834
153;2014;1866
153;2015;1897
161;2000;2049
161;2001;2063
161;2002;2131
161;2003;2143
161;2004;2149
161;2005;2144
161;2006;2187
161;2007;2232
161;2008;2260
161;2009;2234
161;2010;2206
161;2011;2158
161;2012;2241
161;2013;2297
161;2014;2247
161;2015;2228
162;2000;41
162;2001;58
162;2002;59
162;2003;68
162;2004;60
162;2005;70
162;2006;71
162;2007;76
162;2008;78
162;2009;190
162;2010;260
162;2011;288
162;2012;293
162;2013;284
162;2014;272
162;2015;704
171;2000;686
171;2001;679
171;2002;673
171;2003;676
171;2004;680
171;2005;691
171;2006;695
171;2007;667
171;2008;704
171;2009;700
171;2010;691
171;2011;670
171;2012;697
171;2013;695
171;2014;711
171;2015;723
172;2000;1865
172;2001;1789
172;2002;1797
172;2003;1789
172;2004;1833
172;2005;1801
172;2006;1765
172;2007;1778
172;2008;1823
172;2009;1787
172;2010;1796
172;2011;1809
172;2012;1824
172;2013;1855
172;2014;1847
172;2015;1853
173;2000;1362
173;2001;1345
173;2002;1400
173;2003;1446
173;2004;1445
173;2005;1431
173;2006;1416
173;2007;1471
173;2008;1492
173;2009;1465
173;2010;1457
173;2011;1492
173;2012;1500
173;2013;1511
173;2014;1476
173;2015;1476
174;2000;3492
174;2001;3541
174;2002;3570
174;2003;3603
174;2004;3617
174;2005;3613
174;2006;3661
174;2007;3651
174;2008;3654
174;2009;3549
174;2010;3625
174;2011;3703
174;2012;3686
174;2013;3714
174;2014;3722
174;2015;3664
180;2000;3468
180;2001;3432
180;2002;3451
180;2003;3454
180;2004;3450
180;2005;3424
180;2006;3495
180;2007;3421
180;2008;3507
180;2009;3533
180;2010;3488
180;2011;3533
180;2012;3558
180;2013;3592
180;2014;3594
180;2015;3554
190;2000;1221
190;2001;1215
190;2002;1256
190;2003;1275
190;2004;1270
190;2005;1288
190;2006;1280
190;2007;1273
190;2008;1274
190;2009;1305
190;2010;1303
190;2011;1334
190;2012;1411
190;2013;1415
190;2014;1430
190;2015;1432
201;2000;1849
201;2001;1917
201;2002;1935
201;2003;1938
201;2004;1926
201;2005;1878
201;2006;1872
201;2007;1860
201;2008;1883
201;2009;1893
201;2010;1889
201;2011;1893
201;2012;1903
201;2013;1868
201;2014;1873
201;2015;1876
202;2000;1150
202;2001;1178
202;2002;1160
202;2003;1167
202;2004;1162
202;2005;1184
202;2006;1191
202;2007;1166
202;2008;1156
202;2009;1176
202;2010;1188
202;2011;1205
202;2012;1180
202;2013;1185
202;2014;1210
202;2015;1221
203;2000;691
203;2001;664
203;2002;633
203;2003;622
203;2004;632
203;2005;625
203;2006;643
203;2007;655
203;2008;650
203;2009;655
203;2010;668
203;2011;678
203;2012;698
203;2013;700
203;2014;693
203;2015;688
204;2000;551
204;2001;557
204;2002;553
204;2003;543
204;2004;539
204;2005;518
204;2006;517
204;2007;533
204;2008;527
204;2009;527
204;2010;537
204;2011;538
204;2012;543
204;2013;539
204;2014;551
204;2015;533
205;2000;1073
205;2001;1081
205;2002;1090
205;2003;1074
205;2004;1068
205;2005;1070
205;2006;1067
205;2007;1053
205;2008;1057
205;2009;1079
205;2010;1099
205;2011;1102
205;2012;1087
205;2013;1111
205;2014;1088
205;2015;1072
206;2000;1222
206;2001;1217
206;2002;1236
206;2003;1234
206;2004;1240
206;2005;1213
206;2006;1212
206;2007;1210
206;2008;1216
206;2009;1218
206;2010;1238
206;2011;1252
206;2012;1248
206;2013;1260
206;2014;1278
206;2015;1261
207;2000;3317
207;2001;3322
207;2002;3290
207;2003;3309
207;2004;3332
207;2005;3317
207;2006;3333
207;2007;3342
207;2008;3325
207;2009;3272
207;2010;3307
207;2011;3282
207;2012;3291
207;2013;3343
207;2014;3348
207;2015;3339
208;2000;1108
208;2001;1120
208;2002;1120
208;2003;1122
208;2004;1132
208;2005;1137
208;2006;1137
208;2007;1117
208;2008;1167
208;2009;1146
208;2010;1125
208;2011;1117
208;2012;1129
208;2013;1133
208;2014;1131
208;2015;1121
301;2000;467
301;2001;462
301;2002;473
301;2003;477
301;2004;479
301;2005;476
301;2006;479
301;2007;470
301;2008;470
301;2009;480
301;2010;474
301;2011;486
301;2012;492
301;2013;486
301;2014;495
301;2015;479
302;2000;153
302;2001;152
302;2002;163
302;2003;172
302;2004;160
302;2005;163
302;2006;155
302;2007;154
302;2008;142
302;2009;151
302;2010;132
302;2011;130
302;2012;132
302;2013;131
302;2014;142
302;2015;132
